Zeelandic	Zeelandic	probability
ˈɒː	-	1.0
ˈɑu̯	ˈa_ɫ	1.0
ˈæi̯	ˈɛɪ̯	1.0
ˈæ_n	ˈɛ_n	1.0
ˈuːə̯	-	1.0
ˈu	ˈʊ	1.0
ˈoː	ˈɪ	1.0
ˈiːə̯	ˈɛ	1.0
ʋ	v	1.0
ɫ	ɫ	1.0
ɪ	ɪ	1.0
ə_n	n	1.0
z̥	z	1.0
x_t	χ_t	1.0
w_#>	#>	1.0
v_ə	b	1.0
s_x	ʃ	1.0
s_t	s_t	1.0
s_#>	ʃ_#>	1.0
p_ə	f_n	1.0
m	m	1.0
l	ɫ	1.0
k_ə	χ	1.0
k_#>	ɡ_#>	1.0
j	j	1.0
iː	-	1.0
i	-	1.0
d̥	t	1.0
b	b	1.0
<#_ˈɑ	<#_ˈɛ	1.0
<#_ɾ	<#_ʀ	1.0
<#_t	<#_ʦ	1.0
<#_n	<#_n	1.0
<#	<#_h	1.0
s	ʃ	0.917
n	n	0.9
ˈɪ	ˈɪ	0.875
ɾ	ʀ	0.865
v	f	0.864
ˈɑ	ˈa	0.857
ˈyː	ˈɔɪ̯	0.833
x	ɡ	0.824
z	z	0.818
ˈʊə̯	ˈɔɪ̯	0.8
ŋ	ŋ	0.8
k	k	0.773
d̥_#>	d_#>	0.75
ˈɪə̯	ˈɛɪ̯	0.7
ˈuː	ˈʊ	0.667
x_ə	ɡ_n	0.625
p	f	0.625
d	t	0.591
v̥	b	0.571
ˈɔ	ˈʊ	0.556
ˈeː	ˈɛ	0.556
ˈi	ˈaɪ̯	0.538
ˈɛː	ˈɔ	0.524
ˈæ	ˈɛ	0.5
ˈiː	ˈɪ	0.5
t	s	0.5
ˈi	ˈɪ	0.462
ˈɔ	ˈɔ	0.444
ˈøː	ˈʊ	0.429
v̥	f	0.429
d_ə	d_ə	0.429
d	d	0.409
ə	-	0.4
x_ə	ɡ	0.375
p	p	0.375
ˈʏ	ˈʊ	0.333
ˈʏ	ˈɛ	0.333
ˈʏ	ˈɔ	0.333
ˈuː	-	0.333
ˈɪə̯	-	0.3
ˈæ	ˈa	0.3
ˈiː	ˈaɪ̯	0.3
ˈøː	ˈɔ	0.286
ˈøː	-	0.286
d_ə	ə	0.286
d_ə	d	0.286
ə	n	0.25
t	ʦ	0.25
t	t	0.25
d̥_#>	#>	0.25
ˈɛː	ˈɛ	0.238
ˈɛː	ˈa	0.238
k	χ	0.227
ˈeː	ˈɪ	0.222
ˈeː	-	0.222
ˈʊə̯	ˈɔ	0.2
ˈæ	ˈɪ	0.2
ˈiː	ˈaɪ̯_ə	0.2
ə	ə	0.2
ŋ	-	0.2
z	ʃ	0.182
x	χ	0.176
ˈyː	ˈaɪ̯	0.167
ˈɑ	ˈɔ	0.143
v	b	0.136
ˈɪ	ˈaɪ̯	0.125
ə	ə_n	0.083
s	ʧ	0.083
ɾ	ə_ʀ	0.058
