Brazilian Portuguese	Brazilian Portuguese	probability
ˈɛ_w	ˈeː	1.0
ˈɔ_l	ˈuː	1.0
ˈũ	ˈy	1.0
ˈo_w	ˈɔː	1.0
ˈo_h	ˈuː	1.0
ˈo_d	ˈy_t	1.0
ˈĩ_j̃	ŋ	1.0
ˈi_h	ˈiː	1.0
ˈa_ʤ	ˈɛː	1.0
ˈa_w	ˈaː	1.0
ˈa_h	ˈaː	1.0
ʧ	t	1.0
ʤ	d	1.0
ʒ	ʤ	1.0
ʎ	ʤ	1.0
ʃ_t	s_t	1.0
ɾ_ɐ	a	1.0
ɾ_u	u	1.0
ɦ	r	1.0
ɡ	ɡ	1.0
ɐ̃	-	1.0
ɐ_#>	#>	1.0
w̃_#>	ŋ_#>	1.0
v_ˈa	v_ˈa	1.0
u_ʃ	i	1.0
u_#>	#>	1.0
t	t	1.0
p	p	1.0
õ	-	1.0
m_a	m	1.0
m	m	1.0
l	l	1.0
k	k	1.0
j_v	sː	1.0
j_t	t	1.0
j_m	y	1.0
ĩ	i_ŋ	1.0
h_ʧ	r_t	1.0
h_k	r_k	1.0
f	f	1.0
ẽ	-	1.0
e_ʃ	s	1.0
a_ɾ	ˈɛ	1.0
a_d	ɥ	1.0
a_b	a_v	1.0
<#_ˈo	<#_ˈø	1.0
<#_ˈa	<#_ˈɛː	1.0
<#_ʒ	<#_z	1.0
<#_ʃ	<#_ʧ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_h	<#_r	1.0
<#_d	<#_d	1.0
ɐ	a	0.97
s	s	0.957
u	u	0.937
n	n	0.92
ˈĩ	ˈi	0.75
j_ʃ	ʒ_e	0.75
v	v	0.735
h_#>	#>	0.667
#>	ŋ_#>	0.667
a	a	0.615
ʃ_#>	i_#>	0.6
<#_a	<#_a	0.6
i	e	0.579
ɾ	r	0.576
ˈe_h	e	0.571
ˈɐ̃	ˈa	0.56
b	b	0.524
ʃ	ʃ	0.5
j̃	ɲ	0.5
e	e	0.5
e	-	0.5
<#	<#_r	0.5
<#	<#_a	0.5
ˈe	ˈe	0.485
ˈa	ˈaː	0.458
ˈẽ	ˈe_ŋ	0.455
ˈu	ˈyː	0.444
d	-	0.444
ˈe_h	ˈiː	0.429
z	z	0.429
w	-	0.429
h	r	0.417
ʃ_#>	#>	0.4
j	-	0.4
<#_a	<#_ˈaː	0.4
ˈõ	ˈu	0.385
ˈi	ˈi	0.381
ˈi	-	0.381
b	v	0.381
ˈa	ˈa	0.375
ˈẽ	ˈe	0.364
w	w	0.357
ʃ	s	0.333
h_#>	j_#>	0.333
#>	a_#>	0.333
ˈɐ̃	ˈa_ŋ	0.32
j̃	ŋ	0.312
ˈõ	ˈu_ŋ	0.308
o	w	0.308
o	u	0.308
z	ʒ	0.286
z	-	0.286
ˈɛ	ˈeː	0.278
ˈɛ	ˈe	0.278
d	t	0.278
d	d	0.278
ˈo	ˈøː	0.267
ˈĩ	ˈi_ŋ	0.25
j_ʃ	j	0.25
h	j	0.25
ˈe	ˈeː	0.242
ˈi	ˈiː	0.238
o	-	0.231
a	-	0.231
ˈɛ	ˈɛː	0.222
ˈɛ	ˈɛ	0.222
ˈu	-	0.222
w	r	0.214
ɾ	j	0.212
ˈɔ	ˈɔː	0.211
ˈɔ	ˈøː	0.211
ˈɔ	ˈuː	0.211
ˈo	ˈu	0.2
j	ŋ	0.2
j̃	-	0.188
ˈẽ	ˈeː	0.182
v	-	0.176
ˈu	ˈuː	0.167
ˈu	ˈu	0.167
ˈo	ˈɔː	0.167
ʃ	e	0.167
h	e	0.167
h	d_e	0.167
ˈɔ	ˈɔ	0.158
i	u	0.158
ˈõ	ˈɔ	0.154
ˈõ	-	0.154
o	ɔː	0.154
a	ˈaː	0.154
ɾ	-	0.152
ˈo	ˈø	0.133
j	z	0.133
j	t_r	0.133
j	e	0.133
i	i	0.132
ˈe	ˈɛː	0.121
ˈɐ̃	ˈu	0.12
ˈɔ	j_ˈaː	0.105
ˈɔ	-	0.105
ˈo	ˈuː	0.1
b	-	0.095
ˈe	-	0.091
v	ʒ	0.088
ˈa	ˈɛː	0.083
ˈa	-	0.083
n	ŋ	0.08
i	-	0.079
ˈo	ˈɔ	0.067
ˈo	ˈu_ŋ	0.067
ˈe	ˈiː	0.061
ɾ	z	0.061
i	a	0.053
u	-	0.051
