Brazilian Portuguese	Brazilian Portuguese	probability
ˈɐ̃_w̃_#>	ˈo_#>	1.0
ˈɐ̃_#>	ˈa_n_ə_#>	1.0
ˈɐ̃	ˈa	1.0
ˈũ	ˈu	1.0
ˈu	ˈu	1.0
ˈo_ʎ	ˈu_ʎ	1.0
ˈo_w	ˈɔ	1.0
ˈo_d	ˈo_t	1.0
ˈĩ	ˈi	1.0
ʎ	ʎ	1.0
ʃ_t	s_t	1.0
ʃ_p	s_p	1.0
ʃ_#>	s_#>	1.0
ɦ	r	1.0
ɡ_u_#>	k_#>	1.0
ɐ̃	-	1.0
ɐ_#>	#>	1.0
w̃_#>	#>	1.0
w_#>	l_#>	1.0
v_ˈa	β_ˈa	1.0
v_ɐ	β_ə	1.0
v_u	w	1.0
v_i	w	1.0
ũ	u_m	1.0
t_ɐ	t_ə	1.0
t_u_#>	n_#>	1.0
t	t	1.0
s_ˈɛ	s_ˈɛ	1.0
s_ˈe	ʃ_ə	1.0
s_ɐ	s_ə	1.0
s_u	w	1.0
s	s	1.0
p_u	s	1.0
p	p	1.0
o	u	1.0
m_i_#>	m_#>	1.0
l_ˈa	ʎ_ˈa	1.0
k_u_#>	ŋ_#>	1.0
j_ʃ	w	1.0
j_u	ʧ	1.0
ĩ	i	1.0
i_#>	#>	1.0
h_ʧ	r_t	1.0
h_#>	#>	1.0
f	f	1.0
d	ð	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_o	<#_u	1.0
<#_n	<#_n	1.0
<#_h	<#_r	1.0
<#_e	<#_ə	1.0
<#_d	<#_d	1.0
<#_a	<#_ə	1.0
<#	<#_ə	1.0
k	k	0.955
ɐ	ə	0.954
ˈa	ˈa	0.951
u_#>	#>	0.951
ɾ	ɾ	0.946
m	m	0.903
ʒ	ʒ	0.867
l	ʎ	0.848
ˈi	ˈi	0.84
a	ə	0.778
e	ə	0.706
ˈɔ	ˈɔ	0.7
v	b	0.679
n	n	0.667
ˈɛ	ˈe	0.65
ˈõ	ˈɔ	0.636
w	w	0.636
j̃_u_#>	ɲ_#>	0.6
ẽ	ə	0.6
d_u_#>	t_#>	0.6
ˈẽ	ˈe	0.583
b	b	0.583
ʤ	t	0.571
z	-	0.571
ɡ	ɣ	0.556
#>	l_#>	0.556
ˈo	ˈɔ	0.5
ʧ	t	0.5
ʧ	n	0.5
ɾ_u_#>	r_#>	0.5
ɾ_u_#>	#>	0.5
i	ə	0.5
ˈe	ˈɛ	0.485
h	r	0.471
j	j	0.455
#>	ə_#>	0.444
ʤ	d	0.429
z	z	0.429
b	β	0.417
ˈe_j	ˈi	0.4
j̃_u_#>	#>	0.4
ẽ	-	0.4
d_u_#>	#>	0.4
ˈõ	ˈo	0.364
w	l	0.364
j	-	0.364
ˈo	ˈo	0.353
ˈɛ	ˈɛ	0.35
ˈe	ˈe	0.333
ʃ	s	0.333
n	-	0.333
ˈe_j	ˈɛ	0.3
ˈe_j	ˈe	0.3
j̃	ɲ	0.294
u	ə	0.267
u	u	0.267
ˈẽ	ˈɛ	0.25
i	i	0.25
i	-	0.25
j̃	n	0.235
j̃	-	0.235
ʃ	p_l	0.222
a	-	0.222
u	-	0.2
ˈe	ˈi	0.182
j	ˈɛ	0.182
v	β	0.179
h	w_ɾ	0.176
e	-	0.176
ˈẽ	-	0.167
ɡ	ɡ	0.167
l	l	0.152
ˈɔ	ˈo	0.15
ˈɔ	-	0.15
ʒ	-	0.133
u	ɾ_ə	0.133
u	ŋ	0.133
j̃	ˈi	0.118
j̃	ŋ_ɡ	0.118
h	ˈa	0.118
h	ɾ	0.118
h	n_d	0.118
e	i	0.118
ʃ	ʃ	0.111
ʃ	w	0.111
ʃ	k_l	0.111
ʃ	f_l	0.111
ɡ	k	0.111
ɡ	-	0.111
ˈo	ˈu	0.088
ˈi	ˈɛ	0.08
ˈi	-	0.08
v	w	0.071
v	-	0.071
m	m_b	0.065
ˈo	ˈɔ_n	0.059
ɡ	ʤ	0.056
ɾ	-	0.054
