Old Church Slavonic	Old Church Slavonic	probability
ˈ_#>	#>	1.0
ˈ	-	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ɡ	ɡ	1.0
ɛ̃_ˈ	ẽː_̂	1.0
z	z	1.0
x	x	1.0
v	v	1.0
t_ʊ	t_ŭ	1.0
t	t	1.0
s	s	1.0
rʲ	rʲ	1.0
p	p	1.0
nʲ	ɲ	1.0
n	n	1.0
m	m	1.0
lʲ	ʎ	1.0
l_ɑ	o_l	1.0
k	k	1.0
j	j	1.0
b	b	1.0
a	a_ˀ	1.0
<#_r	<#_r	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
#>	ˀ_#>	1.0
ʊ	ŭ	0.97
d	d	0.967
ɪ	ĭ	0.914
ɛ	e	0.905
ɔ	o	0.88
i	i	0.857
u	uː_̂	0.8
ɛ_ˈ	e_̂	0.778
l	l	0.778
ɛ̃	ẽ	0.75
ʃ	k	0.667
ɑ_ˈ	a_̌	0.667
r	r	0.667
ɑ	a	0.588
ʊ_ˈ	ŭ_̂	0.571
i_ˈ	i_̌	0.571
æ	-	0.556
ɔ_ˈ	o_̂	0.524
ɔ_ˈ	o_̌	0.476
ɯ	ɨ_ˀ	0.444
ɔ̃	õː	0.444
æ	ɛː	0.444
ʊ_ˈ	ŭ_̌	0.429
i_ˈ	i	0.429
ɪ_ˈ	̌_r	0.375
ɪ_ˈ	r	0.375
æ_ˈ	ɛː_̌	0.353
æ_ˈ	ɛː_̂	0.353
ʃ	ʃ	0.333
ɯ	ɨː_̂	0.333
ɔ̃	õː_̂	0.333
ɪ_ˈ	ĭ_̌	0.25
ɛ̃	ẽː	0.25
ɯ	ɨ_̌	0.222
ɛ_ˈ	e	0.222
ɔ̃	õː_̌	0.222
ɑ_ˈ	a_ˀ	0.208
u	u	0.2
ɑ	l	0.176
æ_ˈ	ɛː_ˀ	0.176
i	iː_̂	0.143
ɑ_ˈ	a	0.125
ɔ	oː_̂	0.12
ɑ	r	0.118
ɑ	-	0.118
æ_ˈ	ɛː	0.118
r	o	0.1
r	ĭ	0.1
ɛ	e_̌	0.095
ɪ	l	0.086
r	ĭ_̂	0.067
r	-	0.067
l	oː_̂	0.056
l	ĭ_ˀ	0.056
l	ĭ	0.056
l	d_l	0.056
