Emilian	Emilian	probability
θ	θ	1.0
ˈʌ_ŋ	ˈo_n	1.0
ˈuː_r	ˈu_ɾ	1.0
ˈi	j	1.0
ˈa_j	ˈe	1.0
ʤ	-	1.0
ɡ_#>	ɣ_o_#>	1.0
ŋ_n	n	1.0
z_#>	θ_#>	1.0
w	w	1.0
t_ˈɛ	t_ˈi	1.0
t_#>	t_e_#>	1.0
r_a	ɾ_a	1.0
p_j	ɟ͡ʝ	1.0
p	p	1.0
m	m	1.0
l_#>	l_#>	1.0
k_#>	k_o_#>	1.0
k	k	1.0
j_ˈɛ	ˈa	1.0
j	x	1.0
b_ˈʌ	b_w	1.0
b_j	β_l	1.0
<#_θ	<#_θ	1.0
<#_ˈɔː	<#_w	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈaː	<#_ˈa	1.0
<#_ð	<#_x	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_f	<#	1.0
<#	<#_a	1.0
a	a	0.913
ˈʌu̯	ˈo	0.8
ˈaː	ˈa	0.8
r	ɾ	0.8
ŋ	n	0.771
#>	o_#>	0.756
n	n	0.733
ʧ	x	0.714
f	f	0.714
ˈe	ˈi	0.688
s	s	0.686
ɲ	ɲ	0.667
u	o	0.636
ˈɔ	w_ˈe	0.625
ˈʌ	ˈo	0.6
ˈɛː	j_ˈe	0.6
ð	-	0.6
t	t	0.6
i	i	0.6
ˈɛ	ˈa	0.591
ˈæ	j_ˈe	0.571
ˈuː	w_ˈe	0.571
ɡ	ɡ	0.556
b	b	0.545
ˈiː	ˈi	0.533
ˈa	ˈa	0.519
ˈo	ˈu	0.5
z	θ	0.5
z	-	0.5
v	b	0.485
d	d	0.483
l	l	0.478
ˈiː	ˈe	0.467
ɡ	ɣ	0.444
ˈɔː	w	0.438
ˈæ	ˈe	0.429
ˈuː	ˈu	0.429
ˈa	ˈe	0.407
ˈʌ	-	0.4
ˈɛː	ˈe	0.4
ð	ɟ͡ʝ	0.4
i	j	0.4
v	β	0.394
d	ð	0.379
ˈɔː	ˈo	0.375
ˈɔ	ˈo	0.375
u	u	0.364
e_r	ɾ_o	0.357
ɲ	-	0.333
e	ˈe	0.308
e	e	0.308
l	ʝ	0.304
ʧ	ɟ͡ʝ	0.286
f	ˈi	0.286
e_r	ɾ_e	0.286
b	β	0.273
e	-	0.231
ˈo	ˈo	0.214
e_r	ɾ	0.214
ˈʌu̯	ˈu	0.2
ˈaː	ˈe	0.2
t	ʧ	0.2
t	ð	0.2
ˈɔː	-	0.188
ˈe	ˈe	0.188
b	e_ɾ	0.182
ŋ	ŋ	0.171
s	e_s	0.171
e	ɾ	0.154
ˈo	w	0.143
ˈo	-	0.143
e_r	o	0.143
d	-	0.138
n	ɲ	0.133
n	-	0.133
l	-	0.13
ˈe	-	0.125
v	ˈe_β	0.121
#>	e_#>	0.115
ˈɛ	ˈe	0.114
ˈɛ	j_ˈe	0.114
r	ˈe_ɾ	0.092
l	ˈo_s	0.087
s	θ	0.086
#>	a_#>	0.077
ˈa	e	0.074
a	e	0.058
ŋ	m	0.057
s	x	0.057
#>	b_ɾ_e_#>	0.051
