Ukrainian	Proto-Slavic	probability
ˈɪ_j	ŭ	1.0
ˈɔ_ʍ	ĭ̂_l	1.0
ˈɔ_#>	ǒ_#>	1.0
ˈa	ǎ	1.0
ʧ	ʧ	1.0
ʦʲ	ʦ	1.0
ʦ	ĭ_ʦ	1.0
ʒ	ʒ	1.0
ʋʲ	v	1.0
ʊ	õː	1.0
ɫ_ɔ	l	1.0
ɫ_e	l_ŭ	1.0
ɦ_#>	ɡ_ŭ_#>	1.0
ɦ	ɡ	1.0
ɔ_#>	o_#>	1.0
ɐ_#>	#>	1.0
zʲ	z	1.0
z	z	1.0
x	x	1.0
w	v	1.0
t_#>	t_ŭ_#>	1.0
t	t	1.0
sʲ	s	1.0
s_#>	s_ŭ_#>	1.0
s	s	1.0
rʲ	r	1.0
r_ˈɔ	r	1.0
r	r	1.0
pʲ	p	1.0
p	p	1.0
nʲ	n	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
lʲ_#>	l_ĭ_#>	1.0
kʲ	k	1.0
k_#>	k_ŭ_#>	1.0
k	k	1.0
j_ˈɑ	ẽ̂ː	1.0
j_ɐ	ẽ	1.0
i	ɛː	1.0
e_#>	i_#>	1.0
d	d	1.0
b	b	1.0
<#_ʋ	<#_v	1.0
<#_x	<#_x	1.0
<#_t	<#_t	1.0
<#_lʲ	<#_l	1.0
<#_k	<#_k	1.0
<#_d	<#_d	1.0
j	j	0.882
ɫ	l	0.875
e	ŭ	0.857
tʲ	t_ĭ	0.833
ʋ	v	0.8
ɛ	e	0.778
ˈɑ	ǎ	0.769
#>	ĭ_#>	0.686
ɔ	o	0.625
lʲ	l	0.6
ɐ	a	0.455
ˈɔ	ô	0.417
lʲ	ʎ	0.4
ˈɪ	ǐ	0.385
ˈɛ	ĭ̌	0.333
#>	ŭ_#>	0.314
ˈɪ	i	0.308
ˈɔ	ôː	0.25
ˈi	ɛ̂ː	0.25
ɔ	e	0.25
ˈɑ	aˀ	0.231
ˈɛ	ĭ	0.222
ˈɛ	ě	0.222
ˈɛ	ê	0.222
ɛ	-	0.222
ˈi	ô	0.208
ʋ	l	0.2
ɐ	ẽː	0.182
ɐ	ẽ	0.182
ɐ	aˀ	0.182
ˈɔ	ŭ̌	0.167
ˈɔ	ĭˀ	0.167
ˈi	ɛ̌	0.167
ˈi	ɛˀ	0.167
tʲ	t	0.167
ˈɪ	ɨ̌	0.154
ˈɪ	ɨˀ	0.154
e	e	0.143
ˈi	ǒ	0.125
ɫ	l_ŭ	0.125
ɔ	ŭ	0.125
j	-	0.118
ˈi	ôː	0.083
