Proto-Germanic	Scots	probability
a	-	1.0
jː	ɡ	1.0
kː	k	1.0
mː	m	1.0
nː	n	1.0
pː	p	1.0
sː	s	1.0
tː	t	1.0
ɑi̯	ˈɪ	1.0
ɑ̃	-	1.0
ɔːu̯	-	1.0
ɔːː	r	1.0
ɔ̃ː	n	1.0
ɛː	ə	1.0
ɡ	-	1.0
ɡʷ	-	1.0
ˈeː	ˈiː	1.0
ˈĩː	ˈɪ	1.0
ˈɑː	ˈeː	1.0
ˈɔ	ˈi	1.0
d	d	0.911
k	ʧ	0.091
ŋ	ŋ	0.921
ɸ	-	0.051
ˈe	ˈɪ	0.091
ˈi	-	0.101
ˈiː	ˈɪ	0.051
ˈuː	ˈəi̯	0.111
ˈɑ	ˈø	0.051
ˈɑ	ˈɪ	0.051
ˈɑ	ˈa	0.211
ˈɑ	ˈeː	0.211
ˈɑu̯	ˈeː	0.051
ˈɑu̯	ˈɛ	0.051
θ	d	0.211
e	ə	0.492
kʷ	k	0.782
l	l	0.92
s	s	0.772
t	t	0.842
ð	-	0.082
ˈe	ˈi	0.092
ˈe	ˈa	0.102
ˈeu̯	ˈi	0.422
ˈiː	ˈəi̯	0.722
ˈu	ˈʌ	0.302
ˈɔː	ˈi	0.272
β	v	0.252
β	-	0.422
θ	θ	0.602
j	-	0.813
n	-	0.393
n	n	0.593
z	-	0.933
ɔː	ə	0.813
ˈe	ˈʌ	0.123
ˈeu̯	ˈɪ	0.143
ˈi	ˈaːɪ̯	0.063
ˈu	-	0.113
ˈuː	ˈu	0.433
ˈɑ	ˈɛ	0.143
ˈɛː	ˈiː	0.153
iː	ə	0.354
p	p	0.794
r	-	0.084
u	-	0.714
wː	ˈuː	0.824
xʷ	ʍ	0.54
ɑ	-	0.924
ɑː	-	0.894
ɸ	f	0.884
ˈɑu̯	ˈi	0.414
ˈɔː	ˈəi̯	0.164
b	b	0.975
i	-	0.845
k	kʰ	0.205
lː	ˈɑː	0.245
lː	ˈuː	0.755
u	ə	0.25
x	ç	0.135
ˈe	ˈeː	0.075
ˈe	ˈiː	0.075
ˈe	ˈɛ	0.195
ˈiu̯	j	0.635
ˈɑi̯	ˈe	0.605
ˈɔː	ˈø	0.305
iː	-	0.646
p	pʰ	0.206
r	r	0.916
w	ˈu	0.056
w	-	0.336
wː	-	0.176
x	k	0.056
x	-	0.26
xʷ	-	0.46
ɑː	ə	0.106
ˈeu̯	ˈiː	0.386
ˈiu̯	ˈɪ	0.186
ˈɑi̯	ˈɛ	0.086
ˈɑu̯	ˈiː	0.36
β	f	0.326
k	-	0.297
k	k	0.407
m	-	0.117
z	r	0.067
ð	ð	0.217
ð	d	0.667
ɑ	ə	0.07
ɔː	-	0.187
ɣ	ɡ	0.357
ˈiː	ˈaɪ̯	0.067
ˈiː	ˈiː	0.07
ˈu	ˈɪ	0.247
ˈuː	ˈiː	0.137
ˈɑ	ˈe	0.097
ˈɔː	ˈu	0.057
ˈɔː	ˈɪ	0.117
θ	ð	0.187
e	i	0.08
e	ɛ	0.428
j	j	0.068
kʷ	kʰ	0.218
l	-	0.08
t	tʰ	0.158
w	w	0.608
x	h	0.518
ˈe	ˈɔɪ̯	0.068
ˈi	ˈiː	0.108
ˈu	ˈu	0.08
ˈu	ˈo	0.178
ˈɑ	ˈɑː	0.18
ˈɑu̯	ˈe	0.098
d	-	0.089
m	m	0.869
s	ʃ	0.149
ɣ	j	0.059
ɣ	-	0.479
ˈi	ˈɪ	0.649
ˈiu̯	ˈiː	0.179
ˈiː	ˈi	0.09
ˈuː	ˈuː	0.319
ˈɑi̯	ˈeː	0.099
ˈɑi̯	ˈɑː	0.129
ˈɛː	ˈa	0.079
ˈɛː	ˈø	0.19
ˈɛː	ˈʌ	0.19
ˈɛː	ˈi	0.349
