Eastphalian	Eastphalian	probability
ˈɛɪ̯_ŋ	ˈaɪ̯	1.0
ˈɛɪ̯_n	ˈoʊ̯_n	1.0
ˈɛə̯	ˈeɪ̯	1.0
ˈɔʏ̯	ˈi	1.0
ˈœ	-	1.0
ˈøː	ˈi	1.0
ˈyː_ɐ	ɚ	1.0
ˈoː_ɐ	ˈɝ	1.0
ˈiː_#>	ˈi_#>	1.0
ˈaː	ˈæ	1.0
ˈaɪ̯	ˈi	1.0
ˈa_l	ˈæ	1.0
ʃ	ʃ	1.0
ɪ_ç	i	1.0
ɣ̊	-	1.0
ɡ	-	1.0
ɒː	t_i	1.0
ç	-	1.0
z̥_#>	s_#>	1.0
z_ə	z	1.0
x	-	1.0
w	w	1.0
v̥	f	1.0
t_n	ʔ	1.0
s	s	1.0
p	p	1.0
n_n	n	1.0
m_ˈɒː	m	1.0
m_n	m	1.0
m	m	1.0
l_ə	ɫ	1.0
k_n	k	1.0
h	h	1.0
f_#>	v_#>	1.0
f	f	1.0
d_ˈeo̯	d_ˈɛ	1.0
b_m	p	1.0
b	b	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
r	ɹ	0.926
ə	-	0.9
z	s	0.875
d̥	d	0.846
ŋ	ŋ	0.8
v	w	0.786
ˈɛː	-	0.714
ˈuː	ˈaʊ̯	0.692
ɣ	ɡ	0.667
ˈʊ	ˈʌ	0.636
ˈɛ	ˈɛ	0.625
n	n	0.614
ɐ	ɚ	0.588
ˈeː	-	0.571
t	ʔ	0.556
ˈiː	ˈaɪ̯	0.545
ˈɪ	ˈɪ	0.538
l	ɫ	0.528
ˈʏ	ˈɪ	0.5
ˈaʊ̯	ˈu	0.5
j	j	0.5
j	-	0.5
l	l	0.472
d	θ	0.464
ˈeo̯	ˈi	0.444
ˈeː	ˈɛ	0.429
d	d	0.429
ˈɔ	ˈɑ	0.417
ˈɒː	ˈi	0.417
ˈɛɪ̯	ˈi	0.4
ˈɛ	ˈɪ	0.375
k	k	0.37
ˈʊ	ˈʊ	0.364
ˈoː	ˈʌ	0.333
ˈoː	ˈɔ	0.333
ˈoː	ˈoʊ̯	0.333
ˈeo̯	-	0.333
ɣ	-	0.333
n	-	0.316
t	t	0.306
k	ʧ	0.296
ˈɛː	ˈɛ	0.286
ˈiː	ˈʌɪ̯	0.273
ˈa	ˈæ	0.273
ɐ	ɹ	0.265
k	kʰ	0.259
ˈʏ	ˈʌ	0.25
ˈʏ	ˈɛ	0.25
ˈɛɪ̯	ˈɛ	0.25
ˈɔ	ˈoʊ̯	0.25
ˈɒː	ˈeɪ̯	0.25
ˈaʊ̯	ˈʌ	0.25
ˈaʊ̯	ˈʊ	0.25
ˈa	ˈɛə̯	0.227
ˈa	ˈɑ	0.227
ˈeo̯	ˈɛ	0.222
ˈɛɪ̯	-	0.2
ŋ	ŋ_ɡ	0.2
ˈɪ	ˈaɪ̯	0.192
ˈiː	ˈɪ	0.182
ˈɔ	ˈʌ	0.167
ˈɔ	-	0.167
ˈɒː	ˈɑ	0.167
ˈɒː	-	0.167
ˈɪ	-	0.154
ˈuː	ˈʌ	0.154
ˈuː	-	0.154
d̥	θ	0.154
ˈɛɪ̯	ˈoʊ̯	0.15
v	v	0.143
ˈa	ˈeɪ̯	0.136
ˈa	-	0.136
z	z	0.125
ˈɪ	ˈʌɪ̯	0.115
d	ð	0.107
ə	ʤ	0.1
ɐ	ð_ɚ	0.088
t	ɾ	0.083
r	-	0.074
k	-	0.074
v	-	0.071
n	d	0.07
ɐ	d_ɚ	0.059
t	-	0.056
