Brazilian Portuguese	Brazilian Portuguese	probability
ˈɛ_l	u_m	1.0
ˈũ	ˈu	1.0
ˈo_w	ˈau̯	1.0
ˈi_ɡ	ˈi_k	1.0
ˈa	ˈa	1.0
ʎ_u	kʲ	1.0
ʃ_t	s_t	1.0
ʃ_#>	#>	1.0
ɾ_ˈe	r_ˈe	1.0
ɾ_ɐ	r_ə	1.0
ɦ	r	1.0
ɡ_u	k	1.0
ɐ̃	-	1.0
ɐ_#>	#>	1.0
v_u	w	1.0
ũ	b_u	1.0
u_ʃ	ʦʲ	1.0
t_ɾ	t	1.0
s_u	ʦ	1.0
p	p	1.0
n	n	1.0
m	m	1.0
j̃_ɐ	j_e	1.0
j̃_#>	#>	1.0
j_ʧ	p_t	1.0
j_ʃ	ʧ_e	1.0
j_ɐ	n_ə	1.0
j_t	p_t	1.0
h_k	r_k	1.0
f	f	1.0
e_ʃ	s	1.0
d_u	t	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_h	<#_r	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
u_#>	#>	0.911
ɾ	r	0.905
k	k	0.9
ɐ	ə	0.786
ˈõ	ˈu	0.778
<#_t	<#_t	0.778
ˈĩ	ˈi	0.75
ʎ	-	0.75
ˈi	ˈi	0.733
i	e	0.733
o	u	0.727
ˈɐ̃	ˈɨ	0.667
t	t	0.667
d	t	0.667
ˈu	ˈu	0.643
h	r_e	0.643
ʒ	ʤ	0.636
l	l	0.625
ˈẽ	ˈi	0.6
ʧ	n_t	0.6
z	ʧ	0.6
ẽ	-	0.6
e	-	0.583
ˈɔ	o̯ˈa	0.571
j̃	n	0.538
ˈo	ˈo	0.5
ʤ	z	0.5
ʤ	-	0.5
s	s	0.5
b	b	0.5
<#	<#_s	0.5
<#	<#_j	0.5
j	j	0.455
a	ˈa	0.455
v	v	0.444
w̃	-	0.429
ɡ	k	0.417
ˈẽ	-	0.4
ʧ	t	0.4
z	-	0.4
u	u	0.4
ẽ	i	0.4
ˈe	ˈe	0.378
ˈɛ	j_ˈe	0.375
l	-	0.375
ʒ	ʒ	0.364
a	-	0.364
#>	e_#>	0.333
ʃ	s	0.308
v	-	0.296
ˈɔ	ˈo	0.286
w̃	n	0.286
w̃	j_n	0.286
o	o	0.273
ˈi	-	0.267
w	e	0.267
w	-	0.267
u	ə	0.267
ˈo	ˈu	0.25
ˈĩ	-	0.25
ʎ	k	0.25
ɡ	ɡ	0.25
e	ə	0.25
b	p	0.25
ʃ	p_l	0.231
ʃ	f_l	0.231
ˈõ	o̯ˈa_m	0.222
s	ʧ	0.222
<#_t	<#_ʦ	0.222
ˈe	ˈi	0.216
ˈu	ˈo	0.214
w	l	0.2
u	-	0.2
t	n_t	0.2
d	d	0.2
ˈɛ	ˈe	0.188
ˈɛ	j_ˈa	0.188
v	b	0.185
j	ˈe	0.182
j	ə	0.182
j	-	0.182
a	ə	0.182
ˈɐ̃	ˈa	0.167
ˈɐ̃	-	0.167
ɡ	m	0.167
ɡ	-	0.167
s	ʃ	0.167
h	e	0.167
e	i	0.167
ʃ	-	0.154
j̃	n_e	0.154
j̃	j	0.154
j̃	-	0.154
ˈɔ	-	0.143
ˈu	-	0.143
ˈo	o̯ˈa	0.143
h	r	0.143
ˈe	e_r	0.135
w	w	0.133
w	r	0.133
u	w	0.133
t	p_t	0.133
i	ə	0.133
i	-	0.133
d	z	0.133
#>	ə_#>	0.133
#>	u_#>	0.133
#>	n_e_#>	0.133
#>	n_#>	0.133
#>	a_#>	0.133
ˈɛ	ˈa	0.125
ˈɛ	-	0.125
b	f_r	0.125
b	-	0.125
ˈe	e̯ˈa	0.108
ˈo	ˈu_n	0.107
k	-	0.1
ɾ	-	0.095
ɐ	e	0.095
u_#>	r_#>	0.089
ʃ	nʲ	0.077
v	z_b	0.074
ɐ	n_ə	0.071
s	r_s	0.056
s	-	0.056
ˈe	j	0.054
ˈe	e	0.054
ˈe	d_ˈe	0.054
