Dutch	Dutch	probability
χ_ˈɪ	ˈə	1.0
χ_#>	#>	1.0
ˈɑu̯_d̥	ˈaː_l	1.0
ˈɑu̯	l	1.0
ˈɑ_ɾ	ˈaː	1.0
ˈɑ_ɫ	ˈɑ_l	1.0
ˈøː	ˈuə̯	1.0
ˈyː	ˈɑɪ̯	1.0
ˈi_χ	ˈɜɪ̯	1.0
ˈeː_t	s	1.0
ɾ_ˈoː	ʀ	1.0
ɾ_ˈi	ʀ	1.0
ɾ_ə	ʀ	1.0
ɾ_n_#>	ʀ_#>	1.0
ɦ	h	1.0
ə_ɾ	ɐ	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
w	-	1.0
v	f	1.0
s_χ	ʃ	1.0
p_ə	f_ə	1.0
n_d	n	1.0
n_#>	#>	1.0
m	m	1.0
k_ə	k_ə	1.0
j	j	1.0
i	e	1.0
d̥_#>	#>	1.0
d_ˈɔ	d	1.0
b	b	1.0
<#_ˈɛi̯	<#_ˈeː	1.0
<#_n	<#_n	1.0
#>	ɐ_#>	1.0
d	d	0.941
n	n	0.928
ɫ	l	0.918
s	ʃ	0.917
d̥	d̥	0.889
ə	ə	0.8
z	z	0.783
ʋ	v	0.714
ˈɛi̯	ˈæːɪ̯	0.692
ˈi	ˈɜɪ̯	0.643
v̥	v̥	0.6
v_ə	v_ə	0.6
ˈʏ	ˈe	0.571
ˈɑ	ˈaː	0.556
ˈɪ	ˈɑ	0.526
ˈɔ	ˈo	0.522
ˈœy̯	ˈæːʊ̯	0.5
ˈeː	ˈeː	0.5
p	f	0.5
ɾ	ʀ	0.491
k	kʰ	0.464
ˈʏ	ˈə	0.429
ˈɛ	-	0.4
v_ə	v	0.4
ɾ	ɐ	0.396
t	t	0.377
ˈaː	ˈoː	0.375
χ	ɡ	0.368
ˈi	-	0.357
p	p	0.333
k	ɕ	0.321
ˈoː	ˈaː	0.31
ˈɛi̯	-	0.308
t	ʦ	0.302
t	s	0.302
ˈœy̯	ˈɑʊ̯	0.3
χ	ɕ	0.289
ʋ	w	0.286
ˈɑ	ˈɑ	0.259
ˈɛ	ˈə	0.25
ˈu	ˈu	0.25
ˈu	-	0.25
z	ʃ	0.217
ˈɪ	ˈə	0.211
ˈoː	ˈəʊ̯	0.207
ˈɛ	ˈiː	0.2
ˈœy̯	-	0.2
ə	-	0.2
v̥	ə_f	0.2
v̥	f	0.2
ˈu	ˈʊ	0.188
ˈu	ˈəʊ̯	0.188
ˈɔ	ˈuː	0.174
ˈɔ	-	0.174
ˈaː	ˈaː	0.167
ˈaː	-	0.167
p	pʰ	0.167
ˈɪ	ˈe	0.158
ˈɛ	ˈɛ	0.15
k	χ	0.143
ˈoː	ˈɜɪ̯	0.138
ˈoː	-	0.138
χ	-	0.132
ˈɔ	ˈɔ	0.13
ˈu	ˈɜɪ̯	0.125
ˈaː	ˈɜɪ̯	0.125
ˈeː	ˈɜɪ̯	0.115
ˈeː	ˈiː	0.115
ˈeː	ˈiə̯	0.115
ˈɑ	ˈæ	0.111
d̥	t	0.111
χ	k	0.105
ˈɪ	ˈiː	0.105
ˈoː	ˈu	0.103
ˈoː	ˈo	0.103
ˈaː	ˈɛː	0.083
ˈaː	ˈəʊ̯	0.083
s	s	0.083
ɫ	l_ə	0.082
χ	χ	0.079
ˈeː	ˈiə̯_d	0.077
ˈeː	-	0.077
ɾ	-	0.075
ˈɑ	ˈuə̯	0.074
k	k	0.071
d	-	0.059
