Swedish	Swedish	probability
ˈʊ	ˈu	1.0
ˈœː	ˈoː	1.0
ˈœ_l	w	1.0
ˈœ	ˈoː	1.0
ˈæː	-	1.0
ˈyː	ˈiə̯	1.0
ˈoː_#>	ˈɒː_n_#>	1.0
ʊ	n	1.0
ʈː	ɾ_t	1.0
ɵ	-	1.0
ɳ	ɾ_n	1.0
ɪ	ə	1.0
ɡː	ɦ_ə	1.0
ɛ_r	ɾ	1.0
ɛ_#>	#>	1.0
ɖ	ɾ_d̥	1.0
ɕ	k	1.0
ɔ	iə̯	1.0
ŋː	ŋ	1.0
ŋ	k	1.0
v_ɛ	v	1.0
v_a	v_ə	1.0
v_#>	v̥_#>	1.0
v	ʋ	1.0
tʰ	d	1.0
t	t	1.0
sː	s	1.0
s_ˈøː	z_ˈuə̯	1.0
s_k	s	1.0
s_#>	z̥_#>	1.0
pː	p	1.0
pʰ	p	1.0
p	p	1.0
n_#>	#>	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
kː	k	1.0
kʰ	k	1.0
k_t	h_t	1.0
k	k	1.0
jː	ɦ	1.0
j_ˈʉː	d_ˈiə̯	1.0
f	v	1.0
b	b	1.0
a_#>	#>	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_h	<#	1.0
<#_d	<#_d	1.0
r	ɾ	0.9
d	d̥	0.783
ˈøː	ˈoː	0.769
l	l	0.767
ˈɛː	-	0.75
ˈuː	ˈuə̯	0.75
ˈiː	ˈi	0.714
ɡ	ɦ	0.7
ˈa	ˈɑ	0.684
ɛ	ə	0.636
a	n	0.622
ˈɪ	ˈɪ	0.615
ˈɑː	ˈɒː	0.6
ɧ	z	0.6
s	z	0.581
ˈʏ	ˈœ	0.571
j	ɦ	0.571
ˈoː	ˈɒː	0.556
ˈɔ	ˈɔ	0.5
ˈɔ	ˈoː	0.5
tː	t	0.5
tː	h_t	0.5
lː	l	0.5
lː	d̥	0.5
<#	<#_j	0.5
<#	<#_d	0.5
#>	ə_#>	0.5
ˈʉː	ˈyː	0.467
ˈʏ	-	0.429
j	-	0.429
s	s	0.419
ˈɑː	ˈɑ	0.4
ɧ	ʃ_h	0.4
a	ə	0.378
ˈɛ	ˈæ	0.368
ˈɵ	ˈu	0.333
nː	n_ə	0.333
nː	n_d	0.333
nː	n	0.333
ˈeː	ˈɛː	0.273
ˈeː	ˈeː	0.273
ˈeː	-	0.273
ˈʉː	ˈiə̯	0.267
ˈɵ	-	0.25
ˈɛː	ˈiə̯	0.25
ˈuː	ˈoː	0.25
ɡ	-	0.25
l	w	0.233
ˈɪ	ˈɛ	0.231
ˈøː	-	0.231
#>	ɦ̥_#>	0.231
ˈoː	ˈøː	0.222
ˈoː	n	0.222
ˈɛ	ˈeː	0.211
ˈeː	n	0.182
ɛ	ɾ	0.182
ɛ	-	0.182
ˈɵ	ˈɪ	0.167
ˈɵ	ˈœ	0.167
ˈɛ	ˈɛ	0.158
ˈɛ	-	0.158
ˈa	ˈɒː	0.158
ˈa	-	0.158
ˈɪ	-	0.154
ˈiː	ˈiə̯	0.143
ˈiː	-	0.143
ˈʉː	ˈoː	0.133
ˈʉː	ˈeː	0.133
d	d	0.13
#>	k_#>	0.115
ˈɛ	ˈɑ	0.105
d	-	0.087
ˈɵ	ɪ	0.083
#>	ɾ_#>	0.077
#>	v_n_#>	0.077
