Swiss German	Swiss German	probability
χː_ə	k	1.0
χː_tː	χ_t	1.0
χː_sː	s	1.0
χː_#>	k_#>	1.0
ˈɒː_d̥	ˈɑ_d̥	1.0
ˈɒ_sː	ˈaː_t	1.0
ˈɒ_l	ˈɑu̯	1.0
ˈøː	ˈoː	1.0
ˈøi̯	-	1.0
ˈæː	-	1.0
ˈæi̯_#>	ˈeː_n_#>	1.0
ˈyː_#>	ˈi_#>	1.0
ˈyə̯	ˈu	1.0
ˈuː	ˈœy̯	1.0
ˈuə̯	ˈu	1.0
ˈu_kː	ˈʏ_χ	1.0
ˈiː_sː	t	1.0
ˈiː	ˈɛi̯	1.0
ˈei̯	ˈɛi̯	1.0
ˈe	-	1.0
ˈau̯	ˈoː	1.0
ʦ	t	1.0
ʋ	ʋ	1.0
ʃː	s	1.0
ɣ̊	k	1.0
ɡ̊_ˈɒ	χ_ˈɑ	1.0
ɡ̊_r	χ_ɾ	1.0
ŋ_ɡ̊	ŋ	1.0
æ	i	1.0
w	-	1.0
v̥	v	1.0
tː_r	d_ɾ	1.0
p͡f	p	1.0
n_ʃː	n_s	1.0
n_ə	n	1.0
n	n	1.0
m	m	1.0
l	ɫ	1.0
kː_ə	χ	1.0
kː	k	1.0
j	j	1.0
i_ɡ̊	ə_χ	1.0
i	ɪ	1.0
h	ɦ	1.0
b̥_ə	v_ə	1.0
b̥_#>	v̥_#>	1.0
b̥	b	1.0
<#_ˈæi̯	<#_ˈɛi̯	1.0
<#_ˈu	<#_ˈɔ	1.0
<#_ˈe	<#_ˈɛ	1.0
<#_ʦ	<#_t	1.0
<#_ɡ̊	<#	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
r	ɾ	0.889
ˈu	ˈɔ	0.857
ɡ̊	χ	0.84
ˈi	ˈɪ	0.826
#>	n_#>	0.812
ˈoː	ˈoː	0.786
ˈɒ	ˈɑ	0.783
sː	t	0.765
ˈæi̯	ˈeː	0.75
ˈɒː	ˈaː	0.714
fː	p	0.692
z̥	z	0.69
ŋ	ŋ	0.636
ˈiə̯	ˈi	0.6
ˈeː	ˈeː	0.6
d̥	d	0.567
ə	ə_n	0.528
χː	χ	0.5
χː	k	0.5
ˈø	ˈʏ	0.5
ˈø	-	0.5
ˈæ	ˈɛ	0.478
ʒ̊	s	0.45
ˈo	ˈɔ	0.438
ˈo	ˈoː	0.438
ˈiə̯	ˈɪ	0.4
ˈeː	ˈi	0.4
tː	d	0.391
ˈyː	ˈi	0.385
ŋ	n_d̥	0.364
tː	d̥	0.326
z̥	z̥	0.31
ˈy	ˈʏ	0.3
ˈy	-	0.3
ʒ̊	s_χ	0.3
d̥	d̥	0.3
ˈɒː	ˈɑ	0.286
tː	t	0.283
ˈæ	ˈeː	0.261
ˈæi̯	ˈɛi̯	0.25
ʒ̊	z	0.25
ə	ə	0.25
ˈyː	ˈœy̯	0.231
ˈyː	-	0.231
ə	-	0.222
ˈoː	ˈaː	0.214
ˈy	ˈɛ	0.2
ˈy	ˈi	0.2
#>	ə_n_#>	0.188
ˈɒ	ˈaː	0.174
ˈyː	ˈyː	0.154
fː	ə_v̥	0.154
fː	v̥	0.154
ˈu	ˈoː	0.143
ˈæ	ˈɑ	0.13
ˈæ	ˈaː	0.13
ˈo	-	0.125
sː	ˈeː_t	0.118
sː	s	0.118
ˈi	ˈɛ	0.087
ˈi	-	0.087
ɡ̊	χ_ə	0.08
ɡ̊	ŋ	0.08
d̥	d_ə	0.067
d̥	-	0.067
r	-	0.063
