Occitan	French	probability
#>	n_#>	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_e	<#_e	1.0
<#_f	<#_f	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_ʁ	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_ʤ	<#_ʒ	1.0
<#_ˈy	<#	1.0
<#_ˈɔ	<#_ɔ	1.0
a_s	a_s	1.0
a_β	ə_v	1.0
d_ɾ	d_ʁ	1.0
e_r	ɛ_ʁ	1.0
i	i	1.0
i_#>	#>	1.0
j_#>	a_#>	1.0
j_ˈɛ	i	1.0
k_#>	#>	1.0
l_#>	l_#>	1.0
l_ˈu	l_œ_ʁ	1.0
lː	l	1.0
m_#>	#>	1.0
p	-	1.0
p_#>	u_#>	1.0
r	ʁ	1.0
r_#>	ʁ_#>	1.0
s_k	k	1.0
s_p	p	1.0
s_t	t	1.0
t	t	1.0
t_#>	#>	1.0
t_ɾ	t_ʁ	1.0
ð	-	1.0
ɔ_#>	#>	1.0
ɡ	ɡ	1.0
ɥ	-	1.0
ɥ_ˈɔ	œ	1.0
ɥ_ˈɛ	ɥ	1.0
ɲ_#>	ɛ̃_#>	1.0
ɲ_ɔ	ɲ	1.0
ɾ	ʁ	1.0
ɾ_ˈa	ʁ	1.0
ʎ_ɔ	j_#>	1.0
ʦ_#>	a_#>	1.0
ʧ	i_#>	1.0
ʧ_#>	#>	1.0
ˈa_j	ɛ	1.0
ˈa_l	o	1.0
ˈa_w	o	1.0
ˈa_ʦ	ɛ_#>	1.0
ˈe_#>	ɛ̃	1.0
ˈe_j	w_a	1.0
ˈi_l	i_l	1.0
ˈi_w	y_#>	1.0
ˈu_#>	ɔ̃_#>	1.0
ˈu_l	u_#>	1.0
ˈu_n	ɔ̃	1.0
ˈu_t	u	1.0
ˈy_ɲ	w_ɛ̃	1.0
ˈɔ_k	ø	1.0
ˈɔ_r	ɔ_ʁ	1.0
ˈɔ_s	o	1.0
ˈɛ_#>	j_e_#>	1.0
ˈɛ_n	ɑ̃	1.0
ˈɛ_r	ɛ_ʁ	1.0
ˈɛ_s	ɛ	1.0
ˈɛ_ʦ	i_#>	1.0
a	a	0.471
e_#>	ʁ_#>	0.111
l	-	0.1
w	w_a	0.231
ʤ	ʒ	0.571
<#_ɡ	<#	0.182
<#_ˈa	<#_a	0.2
a	-	0.412
e	w_a	0.2
n	n	0.762
ˈa	-	0.102
ˈa_#>	e_#>	0.682
ˈi	ɛ̃	0.12
ˈu	œ	0.12
ˈɛ	-	0.2
ˈɛ_l	ɛ_j	0.182
ˈɛ_l	ø_#>	0.182
e	-	0.333
j	j	0.3
m	m	0.833
n	ɑ̃	0.143
u	ɔ̃	0.143
ˈe	w	0.103
ˈe	w_a	0.483
ˈi_#>	ɛ̃_#>	0.333
<#_a	<#_a	0.444
k	ʃ	0.714
s	s	0.714
s_#>	#>	0.714
w	o	0.154
w_#>	f_#>	0.444
z	-	0.444
ŋ	ɔ̃	0.4
ˈa	e	0.184
ˈu	u	0.4
ˈy	ɥ	0.214
ˈɛ	j_ɛ	0.4
ˈɛ	ɛ	0.4
β	b	0.364
n	ɛ̃	0.095
u	u	0.5
ɣ	-	0.5
ɣ	ɡ	0.5
ˈe	ɛ	0.345
ˈɔ	-	0.25
ˈɔ	ɔ	0.25
ˈɔ	œ	0.5
<#_a	<#	0.556
<#_k	<#_ʃ	0.316
<#_k	<#_k	0.526
k	-	0.286
n_#>	ɑ̃_#>	0.286
n_#>	#>	0.286
s	t	0.286
s_#>	s_#>	0.286
w_#>	#>	0.556
z	z	0.556
ŋ	ɑ̃	0.6
ˈa	ɛ	0.306
ˈu	w	0.16
ˈu	ɔ	0.16
ˈy	y	0.786
ˈɛ_l	o_#>	0.636
β	v	0.636
e	ə	0.467
j	-	0.7
m	ɑ̃	0.167
u	ɔ	0.357
ˈa	a	0.327
ˈi_#>	i_ʁ_#>	0.667
<#_k	<#	0.158
<#_ɡ	<#_ɡ	0.818
<#_ˈa	<#	0.8
a	ɛ	0.118
w	-	0.308
w	ɔ	0.308
ˈa_#>	ɛ̃_#>	0.318
ˈi	e	0.08
ˈi	i	0.8
ˈu	-	0.08
ˈu	ø	0.08
e_#>	#>	0.889
l	l	0.9
n_#>	ɛ̃_#>	0.429
ʤ	-	0.429
ˈe	i	0.069
