Friulian	Friulian	probability
ˈɛ_n	ˈẽ	1.0
ˈɛ_l	l_u	1.0
ˈɔː	ˈo_w	1.0
ˈo_n	ˈõ	1.0
ˈi_ŋ	ˈĩ	1.0
ˈi_n	ˈẽ	1.0
ˈe_n	ˈe_n	1.0
ˈa_ɲ	ˈɐ_ɲ	1.0
ˈa_v	ˈa_β	1.0
ˈa_n	ˈɐ̃	1.0
ʤ	ʒ	1.0
ɟ	-	1.0
ŋ_k	ɡ	1.0
ŋ_#>	#>	1.0
w_ˈi	ˈo	1.0
w_ˈa	ˈɔ	1.0
v_ˈa	v_ˈa	1.0
t_e	t_ɐ	1.0
r_e	ɾ_ɐ	1.0
r_b	ɾ_v	1.0
p_l	ʃ	1.0
p	p	1.0
o_n	õ	1.0
n_t	d	1.0
n_e	ɐ	1.0
m	m	1.0
l_i	ʎ_u	1.0
l_e	ɐ	1.0
k_r	k_ɾ	1.0
k_l	ʃ	1.0
j_ˈɛ	ˈɛ	1.0
j_ˈo	ˈe	1.0
i_s	ɨ	1.0
f_r	f_ɾ	1.0
e_r	ɨ_ɾ	1.0
e_n	ẽ	1.0
d_ˈu	t_ˈo	1.0
d_i	ɾ	1.0
a_r	ɐ_ɾ	1.0
a_d	ɐ_ð	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɲ	<#_n	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_l	1.0
<#_f	<#	1.0
c	k	0.909
v	v	0.889
k	k	0.864
b	b	0.857
e	ɐ	0.841
f	f	0.783
ˈi	ˈi	0.778
ˈu	ˈu	0.75
ʧ	s	0.737
r	ɾ	0.733
ɲ	ɲ	0.714
l_#>	#>	0.714
w_ˈɛ	ˈo	0.667
ˈɔ	ˈo	0.636
#>	u_#>	0.635
t	t	0.633
ˈeː	ˈe	0.625
z	-	0.625
u	u	0.625
n	-	0.6
d	d	0.583
ɡ	ɡ	0.538
ˈe	ˈe	0.526
o	u	0.5
<#	<#_ʒ	0.5
<#	<#_k	0.5
s	s	0.475
ˈuː	ˈu	0.462
ɡ	ɣ	0.462
ˈɛ	j	0.455
ŋ	w̃	0.45
ˈaː	ˈa	0.444
a	ɐ	0.421
w	w	0.412
ˈaː	ˈa_ɾ	0.407
ˈoː	ˈɔ	0.4
ˈoː	ˈo	0.4
ˈiː	ˈɛ	0.4
ˈo	ˈo	0.393
ˈa	ˈa	0.385
ˈeː	-	0.375
z	z	0.375
u	-	0.375
a	-	0.368
l	l	0.367
w	-	0.353
w_ˈɛ	ˈɔ	0.333
d	ð	0.333
s	ʃ	0.328
ˈuː	ˈo	0.308
ˈiː	ˈe	0.3
ˈiː	-	0.3
ŋ	ɲ	0.3
ɲ	-	0.286
l_#>	u_#>	0.286
j	ˈɐ	0.286
ˈa	ˈɐ̃	0.282
ˈɛ	ˈɛ	0.273
ˈɛ	ˈɐ_j	0.273
l	ɫ	0.267
ʧ	-	0.263
ˈu	-	0.25
o	ɔ	0.25
o	-	0.25
l	-	0.233
ˈuː	ˈɔ	0.231
j	ˈɛ	0.214
j	-	0.214
ˈe	ˈɐ_j	0.211
ˈoː	ˈu	0.2
n	ɲ	0.2
n	n	0.2
#>	ɨ_#>	0.183
ˈɔ	ˈo_j	0.182
ˈɔ	j	0.182
ˈo	ˈɔ	0.179
i	ˈe_ɾ	0.167
i	ɨ	0.167
ˈe	-	0.158
ŋ	-	0.15
ˈi	-	0.148
ˈaː	ɾ	0.148
ˈo	ˈu	0.143
j	ʎ	0.143
j	j	0.143
b	v	0.143
k	ɣ	0.136
i	ɾ	0.133
i	i	0.133
i	-	0.133
s	i_ʃ	0.131
f	v_ɨ	0.13
w	ˈɔ	0.118
w	ˈo	0.118
v	β	0.111
ˈo	ˈɐ̃	0.107
ˈo	-	0.107
ˈe	ˈɐ	0.105
a	ʁ	0.105
a	ɾ	0.105
ˈa	ˈɐ	0.103
ˈa	-	0.103
ŋ	n_u	0.1
i	u	0.1
i	j	0.1
c	-	0.091
f	v	0.087
d	-	0.083
t	ð_ɨ	0.082
t	ð_u	0.082
t	-	0.082
e	ɨ	0.079
ˈa	ɾ	0.077
ˈi	ˈĩ	0.074
ˈo	ˈõ	0.071
r	ʁ	0.067
r	-	0.067
l	ʎ	0.067
l	ʃ	0.067
i	ɐ	0.067
#>	ʃ_#>	0.058
#>	ɐ_#>	0.058
ˈa	ˈo	0.051
