Québécois French	Québécois French	probability
ʦ	t	1.0
ʣ	ʤ	1.0
ʏ	ˈu	1.0
ʊ	ˈo	1.0
ʁ_b	ɦ_v	1.0
ʁ_#>	#>	1.0
ɲ	j̃_ɐ	1.0
ɡ	ɡ	1.0
ɛɪ̯	ˈɛ_ʃ	1.0
ɛ_ʁ	h	1.0
ɔ_n	ˈo_ɐ	1.0
ɑ	ˈa	1.0
æɛ̯_n_#>	ˈɐ̃_#>	1.0
z	z	1.0
y	ˈu	1.0
w_ɛ	ˈi	1.0
v_ʁ	b_ɾ	1.0
t_#>	t_ɐ_#>	1.0
p_l	ʃ	1.0
p	p	1.0
o	ˈɔ	1.0
m	m	1.0
l_#>	#>	1.0
k_l	ʃ	1.0
j_ɛ	ˈɛ	1.0
f_l	ʃ	1.0
d_ʁ	h	1.0
d	d	1.0
b	b	1.0
<#_ʁ	<#_h	1.0
<#_ɡ	<#_ɡ	1.0
<#_œ	<#_ˈo	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
v	v	0.926
k	k	0.905
f	f	0.846
s	s	0.837
ʒ	ʒ	0.833
ʃ	k	0.826
t	t	0.769
<#_e	<#_e	0.714
aœ̯	ˈo	0.6
ɥ	ˈo	0.571
ɒ̃ʊ̯̃	ˈõ	0.571
e	ˈa_h	0.571
j	ʎ	0.556
ɑɔ̯	ˈo	0.5
w	ˈe	0.48
#>	u_#>	0.447
j	-	0.444
ɥ	ˈu	0.429
ɔ	o	0.429
ʁ	ɾ	0.405
ɪ	ˈi	0.4
aœ̯	ˈɔ	0.4
a	a	0.4
øʏ̯	ˈo_ɡ	0.375
øʏ̯	u	0.375
i	ˈe	0.36
ã	ˈɐ̃	0.35
ã	ˈẽ	0.35
oʊ̯	ˈɛ_l	0.333
oʊ̯	ˈa_w	0.333
ẽɪ̯̃	ˈɐ̃_w̃	0.333
ẽɪ̯̃	j̃_u	0.333
#>	ɐ_#>	0.314
œ	e	0.312
n	n	0.308
n	j̃	0.308
ɑɔ̯	o	0.3
ɔ	ˈo	0.286
ɔ	-	0.286
<#_e	<#	0.286
ʁ	h	0.284
a	ˈa	0.28
l	w	0.273
l	l_ɐ	0.273
l	-	0.273
ɪ	ˈĩ	0.267
œ	ˈɔ	0.25
øʏ̯	ˈɔ	0.25
u	o	0.25
t	-	0.231
n	-	0.231
æɛ̯	ˈa	0.229
ɒ̃ʊ̯̃	ˈɐ̃_w̃	0.214
ɪ	-	0.2
ɛ	j_ʃ	0.2
ɛ	-	0.2
ɑɔ̯	ˈɔ	0.2
u	ˈɔ	0.2
u	ˈo	0.2
i	ˈi	0.2
ẽɪ̯̃	ˈĩ	0.19
e	-	0.19
œ	ˈo	0.188
l	l	0.182
æɛ̯	ˈɛ	0.171
ʒ	b_j	0.167
oʊ̯	ˈo_w	0.167
oʊ̯	-	0.167
#>	i_#>	0.164
s	-	0.163
ɛ	ˈe	0.16
w	-	0.16
a	-	0.16
n	ɐ	0.154
f	-	0.154
u	ˈu	0.15
ɒ̃ʊ̯̃	-	0.143
æɛ̯	a	0.143
ẽɪ̯̃	t_u	0.143
e	ˈa	0.143
ɪ	ˈi_ʎ	0.133
œ	a	0.125
œ	-	0.125
ʁ	ɦ	0.122
ɛ	ˈɛ	0.12
ɛ	ˈa	0.12
ɛ	ɐ	0.12
w	ˈũ	0.12
i	ˈi_ɡ	0.12
i	ˈe_j	0.12
i	j	0.12
æɛ̯	e	0.114
u	ˈo_d	0.1
u	-	0.1
ã	ˈĩ	0.1
ã	ˈẽ_t	0.1
ã	ɐ̃	0.1
k	k_u	0.095
e	ˈa_d	0.095
ʃ	k_a	0.087
ʃ	-	0.087
æɛ̯	ˈɐ̃	0.086
æɛ̯	ˈe	0.086
ɛ	j	0.08
w	ˈɔ	0.08
w	ˈi	0.08
w	ˈe_d	0.08
i	j_t	0.08
a	ɐ	0.08
a	w_ˈa	0.08
v	b	0.074
ɒ̃ʊ̯̃	ũ	0.071
æɛ̯	ˈe_j	0.057
æɛ̯	ˈa_j	0.057
æɛ̯	a_ʒ	0.057
#>	ʃ_#>	0.057
ʁ	ˈe_h	0.054
ʁ	ɾ_i	0.054
ʁ	-	0.054
