Emilian	Emilian	probability
ˈʌu̯_r_#>	ˈu_#>	1.0
ˈɛ_r_#>	ˈa_#>	1.0
ˈɔ_ʧ	ˈu_j	1.0
ˈæ	ˈẽ	1.0
ˈi	j_ˈe	1.0
ˈaː_t	ˈa	1.0
ˈaː_m	ˈã_m	1.0
ʤ	ɡ_l	1.0
ɡ_#>	k_#>	1.0
ɡ	ɡ	1.0
ŋ_t	ŋ	1.0
ŋ_n	n	1.0
w_ˈaː	ˈa	1.0
w	-	1.0
t_m	mː	1.0
t_a	t_ɔ	1.0
t_#>	#>	1.0
r_t	ˈe_ʀ	1.0
r_e	ʀ	1.0
r_a	ɾ_ɔ	1.0
n_d	ŋ_d	1.0
n_#>	#>	1.0
m	m	1.0
l_a	ɔ	1.0
k_#>	k_#>	1.0
k	k	1.0
f	f	1.0
d_i	ʤ_e	1.0
d_e	j_ɾ	1.0
d_#>	#>	1.0
b	b	1.0
<#_θ	<#_s	1.0
<#_ˈaː	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
ŋ	ŋ	0.938
p	p	0.897
l_#>	w_#>	0.875
n	n	0.846
ˈʌu̯	ˈu	0.778
ð	ʤ	0.769
s	s	0.756
θ	s	0.75
v	v	0.741
a	ɔ	0.719
ˈa_j	ˈe	0.714
ɲ	ɲ	0.714
v_#>	w_#>	0.714
l	l	0.684
ˈɛː	ˈɛ	0.667
i	i	0.667
<#	<#_w	0.667
r_#>	e_#>	0.652
d	d	0.636
e	ɾ	0.619
z	s	0.615
u	u	0.615
t	t	0.591
ˈaː	ˈa	0.571
ˈɔ	w_ˈe	0.556
ˈɛ	ˈa	0.535
r	ɾ	0.512
ˈiː	ˈi	0.5
ˈa	ˈã	0.481
j	l	0.444
ˈuː	ˈy	0.417
ˈe	ˈi	0.412
ˈʌ	ˈũ	0.375
ˈʌ	ˈu	0.375
ˈɔː	w_ˈe	0.368
ˈɛ	ˈɛ	0.349
r_#>	#>	0.348
#>	e_#>	0.346
r	ʀ	0.341
ˈɛː	-	0.333
ʧ	ˈe_j	0.333
ʧ	k_l	0.333
ʧ	-	0.333
j	j	0.333
<#	<#_ɥ	0.333
ˈe	ˈĩ	0.294
ˈa_j	ˈɛ	0.286
ɲ	-	0.286
v_#>	#>	0.286
ˈɔː	w	0.263
ˈa	ˈe	0.259
θ	t	0.25
ˈʌ	-	0.25
ˈuː	ˈu	0.25
ˈo	ˈy	0.25
a	a	0.234
ð	-	0.231
z	z	0.231
#>	ɔ_#>	0.231
ˈʌu̯	-	0.222
ˈɔ	ˈe	0.222
ˈɔ	ɥ_ˈe	0.222
j	-	0.222
l	w	0.211
s	e_s	0.195
#>	j_#>	0.192
e	e	0.19
ˈo	ˈỹ	0.188
ˈo	ˈũ	0.188
ˈo	w	0.188
ˈo	-	0.188
ˈiː	ˈɛ	0.188
ˈiː	ˈe	0.188
v	b	0.185
d	z	0.182
d	j_ɾ	0.182
ˈe	ˈe	0.176
ˈuː	ˈe	0.167
ˈuː	w_ˈe	0.167
i	ĩ	0.167
i	ẽ	0.167
ˈɔː	ˈe	0.158
z	lː	0.154
u	y	0.154
u	a	0.154
#>	s_#>	0.154
ˈa	ˈɛ	0.148
ˈaː	ˈẽ	0.143
ˈaː	ˈã	0.143
ˈaː	ˈa_j	0.143
t	ʧ	0.136
t	w_t	0.136
t	d	0.136
ˈiː	j_ˈe	0.125
l_#>	#>	0.125
ˈe	-	0.118
ˈa	ˈẽ	0.111
ˈɔː	ˈɔ	0.105
ˈɔː	ˈa_w	0.105
l	-	0.105
p	-	0.103
e	i	0.095
e	-	0.095
u	ũ	0.077
n	ŋ	0.077
n	-	0.077
#>	w_#>	0.077
v	w	0.074
ˈɛ	j_ˈe	0.07
ŋ	m	0.062
