Provençal	Provençal	probability
ˈɔ	ˈo	1.0
ˈỹ	ˈũ	1.0
ˈĩ	ˈĩ	1.0
ˈẽ	ˈẽ	1.0
ˈe_ʧ	j_t	1.0
ˈe_ʀ	h_ʧ	1.0
ˈe_k	ˈe_k	1.0
ˈa_ɲ	ˈɐ̃_j̃	1.0
ˈa_w	ˈo_w	1.0
ˈa_n	ˈɐ̃	1.0
ˈa_j	a	1.0
ʀ_#>	ɾ_u_#>	1.0
ɾ_ˈe	ɾ_ˈe	1.0
ɲ	j̃	1.0
ɥ_ˈɔ	ˈo	1.0
ɔ_#>	#>	1.0
ŋ_t	t	1.0
ŋ_k	ɡ	1.0
ŋ_#>	#>	1.0
y	-	1.0
w_ˈẽ	ˈõ	1.0
v	v	1.0
ũ	õ	1.0
s_p	ʃ_p	1.0
s_#>	j_ʃ_#>	1.0
p_l	ʃ	1.0
p	p	1.0
n_ɔ	ɐ	1.0
mː	m	1.0
m_e	m_i	1.0
k_u	k	1.0
k_l	ʃ	1.0
j_#>	u_#>	1.0
ĩ	ĩ	1.0
f_l	ʃ	1.0
f	f	1.0
ẽ_m	ũ	1.0
e_#>	#>	1.0
ã	ɐ̃	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʀ	<#_h	1.0
<#_ɥ	<#	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
<#_d	<#_d	1.0
<#_a	<#	1.0
ɔ	ɐ	0.97
ˈa	ˈa	0.927
ɾ	ɾ	0.909
k	k	0.909
ˈã	ˈɐ̃	0.889
m	m	0.867
ʤ	ʒ	0.846
t	t	0.824
b	b	0.821
d	d	0.8
n	n	0.783
ˈɛ	ˈɛ	0.778
ˈi	ˈi	0.727
w_#>	w_#>	0.727
ɥ	ˈo	0.714
j_ˈe	ˈe	0.667
u	o	0.643
ɾ_e	ˈe_h	0.6
i	e	0.6
ɡ	ɡ	0.583
l	-	0.579
ˈu	ˈo	0.577
z	z	0.571
ˈy	ˈu	0.545
w_ˈe	ˈo	0.526
s	s	0.517
ˈẽ_ŋ	ˈĩ	0.5
ˈẽ_ŋ	ˈẽ	0.5
s	ʃ	0.483
w_ˈe	ˈɔ	0.474
#>	u_#>	0.446
ˈe	ˈe	0.444
z	-	0.429
l	l	0.421
ɾ_e	h	0.4
i	-	0.4
ʀ	h	0.364
ˈũ	ˈõ	0.333
ŋ	w̃	0.333
j_ˈe	ˈi	0.333
ʀ	ɦ	0.318
j	ʎ	0.31
#>	h_#>	0.289
ɥ	-	0.286
e	i	0.278
ˈy	ˈu_ɾ	0.273
w_#>	#>	0.273
ˈũ	ˈɐ̃	0.25
ˈũ	ˈũ	0.25
ɡ	ɡ_w	0.25
e	u	0.25
e	e	0.25
j	-	0.241
ˈu	ˈɔ	0.231
ˈe	-	0.222
u	u	0.214
j	ˈe	0.207
d	-	0.2
ˈu	ˈu	0.192
ˈy	-	0.182
ˈi	ˈĩ	0.182
ŋ	t_u	0.182
w	w	0.182
w	l_u	0.182
b	v	0.179
t	-	0.176
j	j	0.172
ˈũ	-	0.167
ɡ	-	0.167
ʤ	-	0.154
ŋ	ʧ_i	0.152
ŋ	-	0.152
ˈɛ	ˈe	0.148
u	-	0.143
ʀ	-	0.136
#>	i_#>	0.133
n	j̃	0.13
ˈe	j	0.111
ˈã	-	0.111
ˈi	h	0.091
ʀ	ɦ_n	0.091
ʀ	u	0.091
ɾ	-	0.091
w	ˈɔ	0.091
w	v_u	0.091
w	v_i	0.091
w	u	0.091
w	-	0.091
k	ɡ_u	0.091
n	-	0.087
ˈɛ	-	0.074
ˈe	ˈɛ	0.074
ˈe	ˈo	0.074
ˈe	ˈi	0.074
ˈa	ˈɐ̃	0.073
j	ʃ	0.069
m	m_i	0.067
m	-	0.067
ŋ	n_u	0.061
ŋ	j̃_u	0.061
ŋ	j̃	0.061
w	ˈõ	0.061
w	v	0.061
w	o	0.061
e	ˈe_h	0.056
e	ˈe	0.056
e	ʃ	0.056
e	ẽ_j̃	0.056
