Aromanian	Aromanian	probability
ˈɨ	ˈa	1.0
ˈə	ˈiː	1.0
ˈu_k	ˈɔ	1.0
ˈo_k	v_ˈɔ	1.0
ˈo_j	ˈoː	1.0
ˈi_r	ˈiː	1.0
ʧ	ʧ	1.0
ʦ_i	s	1.0
ʤ	-	1.0
ʎ_u	l_i	1.0
ʃ_t	s	1.0
ɨ	-	1.0
ə_t	a_d	1.0
ə_#>	#>	1.0
ə	e	1.0
ŋ	-	1.0
ç	f	1.0
z	z	1.0
u_#>	#>	1.0
s_ˈɨ	s_ˈa	1.0
s_i	s_e	1.0
r_i_#>	#>	1.0
r_#>	l_#>	1.0
p_t	t	1.0
p_#>	f_#>	1.0
n_#>	ŋ_#>	1.0
m_t	n_t	1.0
m_#>	m_#>	1.0
k_r	k_r	1.0
k_#>	#>	1.0
j_i	v_i	1.0
i_#>	#>	1.0
f	f	1.0
e	-	1.0
a	-	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_a	<#	1.0
<#	<#_v	1.0
s	s	0.9
d	d	0.8
ʎ	l	0.778
ʦ	ʧ	0.769
p	p	0.762
t	t	0.76
r	r	0.756
v	v	0.75
b	b	0.75
l	l	0.733
i_r	i	0.667
n	n	0.658
m	m	0.647
ɡ	ɡ	0.625
r_i	ˈaː	0.6
ɲ	m	0.571
w	f	0.571
ˈi	ˈi	0.556
ʣ	ʤ	0.556
ʃ	s	0.556
ˈa	ˈaː	0.5
ʣ	d	0.444
ʃ	-	0.444
ˈa	ˈa	0.438
ɲ	ɲ	0.429
w	-	0.429
k	k	0.421
u	o	0.417
j	j	0.417
j	-	0.417
e̯ˈa	ˈe	0.409
r_i	i	0.4
ɡ	-	0.375
ˈu	ˈo	0.367
ˈo	ˈuː	0.353
m	-	0.353
k	c	0.342
ˈe	ˈɛ	0.333
u	u	0.333
i_r	a_r	0.333
#>	k_#>	0.333
i	i	0.32
i	-	0.32
ˈu	ˈu	0.3
i	e	0.28
v	-	0.25
u	i	0.25
b	v	0.25
t	d	0.24
p	-	0.238
ˈo	ˈo	0.235
ˈo	w	0.235
ʦ	-	0.231
ʎ	-	0.222
#>	ˈeː_#>	0.222
#>	s_#>	0.222
#>	e_#>	0.222
o̯ˈa	ˈoː	0.214
o̯ˈa	ˈo	0.214
o̯ˈa	w_ˈɛ	0.214
o̯ˈa	-	0.214
ˈe	ˈe	0.2
ˈe	j_ˈɛ	0.2
d	t	0.2
n	ŋ	0.184
e̯ˈa	ˈɛ	0.182
e̯ˈa	-	0.182
ˈo	ˈɔ	0.176
j	v	0.167
ˈi	-	0.148
o̯ˈa	w	0.143
e̯ˈa	ˈeː	0.136
ˈe	ˈiː	0.133
ˈe	-	0.133
r	l	0.133
l	l_ˈa	0.133
l	-	0.133
ˈi	ˈɛ	0.111
ˈi	ˈe	0.111
n	ɲ	0.105
ˈu	ˈi	0.1
ˈu	w_ˈi	0.1
s	ˈɛ_s	0.1
e̯ˈa	j_ˈɛ	0.091
i	s	0.08
ˈi	a	0.074
ˈu	ˈuː	0.067
ˈu	ˈoː	0.067
r	v	0.067
ˈa	ˈiː	0.062
n	-	0.053
k	s	0.053
k	p_j	0.053
k	p	0.053
k	-	0.053
