Old English	East Franconian	probability
θ	d̥	1.0
ˈɛ	ˈɛ	1.0
ˈɑː_w	ˈiː	1.0
ˈiː	ˈaɪ̯	1.0
ˈiy̯	-	1.0
ˈi_ç	ˈɒ_x	1.0
ˈeːo̯_w	ˈiː	1.0
ʧː	ɡ̊	1.0
ʤː	-	1.0
ʤ	ɡ̊_n	1.0
ʃː	ʃ	1.0
ʃ	ʃ	1.0
ɫː	l	1.0
ɫ_d	l_d̥	1.0
ɫ	l	1.0
ɣ_ɑ	ŋ	1.0
ɣ	ɣ̊	1.0
ɡ	ɡ̊	1.0
ɑ_n	n	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ç	-	1.0
z	z̥	1.0
xː	ɣ̊	1.0
x_t	ç_d̥	1.0
x	x	1.0
v_ɑ	m	1.0
v	-	1.0
u	-	1.0
tː	ʦ	1.0
t_ɑ	z̥	1.0
s_t	ʃ_d̥	1.0
s_l	ʃ_l	1.0
rː	-	1.0
r_e	ɐ	1.0
pː	-	1.0
p_ɑ	v̥	1.0
o_r	ɐ	1.0
o	-	1.0
nː	-	1.0
n_d	n	1.0
mː	m	1.0
m	m	1.0
l	l	1.0
kː	ɡ̊	1.0
k_s	ɡ̊_s	1.0
iːy̯	eː	1.0
iː	ɪ	1.0
f	f	1.0
eo̯	-	1.0
e_r	ɐ	1.0
dː	d̥	1.0
d_ˈeːo̯	d̥_ˈiː	1.0
d_r	d̥_r	1.0
d_e	ɾ	1.0
bː	ˈaː	1.0
b	b̥	1.0
a	-	1.0
d	d̥	0.968
n	n	0.91
ˈɑː	ˈaː	0.893
ˈeo̯	ˈɛ	0.872
ˈuː	ˈaʊ̯	0.855
w	v	0.851
ˈæɑ̯	ˈɒ	0.838
h	h	0.822
ɑ	a	0.802
ˈi	ˈɪ	0.783
ˈæː	ˈoː	0.765
s	s	0.747
ˈɑ	ˈɒ	0.744
ˈiːy̯	-	0.743
k	kʰ	0.687
ˈo	ˈɔ	0.685
ˈeː	ˈiː	0.685
i	-	0.674
p	f	0.66
ˈu	ˈʊ	0.651
ˈeːo̯	ˈiː	0.63
r	ɐ	0.603
ˈoː	ˈuː	0.594
ˈyː	-	0.574
ð	ɾ	0.55
ˈe	ˈɛ	0.533
e	-	0.532
ɣ̊	ɣ̊	0.5
ɣ̊	ç	0.5
ˈæ	ˈoː	0.493
ð	-	0.45
j	ɡ̊	0.44
ˈyː	ˈaɪ̯	0.426
ʧ	kʰ	0.424
e	n	0.414
ʧ	ç	0.412
ˈy	ˈɪ	0.405
ˈeːo̯	ˈaɪ̯	0.37
ˈæ	ˈɒ	0.361
ˈæːɑ̯	ˈuː	0.356
p	b̥͡v̥	0.34
ˈæːɑ̯	ˈaː	0.338
ˈy	-	0.329
i	i	0.326
ˈeː	-	0.315
t	ʦ	0.315
r	r	0.311
ˈæːɑ̯	ˈoː	0.306
ˈoː	ˈoː	0.288
t	d̥	0.279
ˈy	ˈʊ	0.266
ˈiːy̯	ˈɛː	0.257
s	ʃ	0.253
ˈe	ˈeː	0.244
ˈæː	-	0.235
j	j	0.226
t	s	0.225
ˈe	-	0.223
j	ç	0.217
ɑ	ɐ	0.198
ˈɑ	-	0.193
t	z̥	0.181
h	-	0.178
k	ŋ	0.177
ʧ	x	0.163
ˈæɑ̯	ˈa	0.162
ˈo	ˈʊ	0.158
ˈo	-	0.158
ˈu	ˈɔ	0.153
ˈæ	-	0.147
ˈuː	ˈʊ_n	0.145
k	ɡ̊	0.137
ˈi	ˈiː	0.134
ˈeo̯	-	0.128
ˈoː	ˈɒ	0.118
j	ɣ	0.117
ˈu	-	0.109
ˈɑː	-	0.107
n	-	0.09
ˈu	ˈuː	0.086
r	ˈɘ	0.086
ˈi	-	0.082
w	v_ˈɒ	0.078
w	v_ˈɔ	0.07
ˈɑ	ˈɒː	0.063
e	ə	0.054
