Ladin	Ladin	probability
ˈɛ_n	ˈẽ	1.0
ˈɛ_k	ɡ_u	1.0
ˈɛ_f	v_u	1.0
ˈo_w	ˈo_b	1.0
ˈe_l	ˈe_l	1.0
ˈe_j	ˈe	1.0
ˈe_#>	ˈa_h_#>	1.0
ˈa_w	ˈo_w	1.0
ˈa_t	ˈa_d	1.0
ˈa_n	ˈɐ̃	1.0
ʧ	s	1.0
ʥ	-	1.0
ʒ_ɡ	v	1.0
ɲ	j̃	1.0
ɡ	ɡ	1.0
z	z	1.0
w_ˈɛ	ˈo	1.0
w_r	h	1.0
s_#>	ʃ_#>	1.0
r_#>	ɾ_u_#>	1.0
p	p	1.0
m_#>	m_i_#>	1.0
m	m	1.0
l_#>	#>	1.0
k_l	ʃ	1.0
i	-	1.0
f_l	ʃ	1.0
e_r	ɾ_i	1.0
d_l	ʎ_u	1.0
b_a	v_ɐ	1.0
b	b	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈɐ̃	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_h	1.0
<#_p_l	<#_ʃ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
<#	<#_v	1.0
f	f	0.9
v	v	0.792
k	k	0.786
a	ɐ	0.746
ʨ	k	0.739
ʒ	ʒ	0.714
ŋ	-	0.714
s	s	0.71
n_#>	w̃_#>	0.667
ˈu	ˈu	0.636
j_#>	h_#>	0.6
d	d	0.6
ˈi	ˈi	0.593
#>	u_#>	0.581
l	l	0.56
e_#>	ˈe_h_#>	0.556
o	-	0.538
t	t	0.537
ˈe	ˈe	0.516
ˈɔ_n	ˈõ	0.5
ˈɔ_n	ˈo	0.5
ˈa	ˈa	0.471
w	ˈo	0.467
r	ɾ	0.465
o	o	0.462
j	-	0.45
e_#>	#>	0.444
ʦ	s_u	0.429
ʃ	ʃ	0.421
n	-	0.414
j_#>	j_ʃ_#>	0.4
ˈɛ	ˈɛ	0.386
ˈa	ˈɐ̃	0.382
ˈɔ	ˈo	0.368
ˈu	ˈũ	0.364
ˈi	ˈĩ	0.333
n_#>	#>	0.333
ˈɔ	ˈɔ	0.316
ʃ	e_ʃ	0.316
j	ˈe	0.3
s	ʃ	0.29
ʦ	s	0.286
ʦ	-	0.286
ʒ	-	0.286
ŋ	k	0.286
n	j̃	0.276
#>	i_#>	0.27
ˈo	ˈɔ	0.269
ˈo	ˈo	0.269
d	-	0.267
ʨ	s	0.261
e	-	0.25
t	ʧ	0.244
n	n	0.241
l	w	0.24
ˈɛ	ˈa	0.227
v	b	0.208
e	ɾ	0.208
w	ˈɔ	0.2
w	j	0.2
l	-	0.2
ˈe	-	0.194
ˈo	ˈõ	0.192
r	ɦ	0.186
a	a	0.183
e	i	0.167
e	e	0.167
r	h	0.163
ˈɔ	ˈo_j	0.158
ˈɔ	-	0.158
ʃ	s	0.158
j	ʎ	0.15
ˈa	-	0.147
r	u	0.14
ˈɛ	-	0.136
w	w	0.133
d	ʤ	0.133
e	j	0.125
ˈo	ˈɐ̃	0.115
ʃ	-	0.105
j	e	0.1
f	v_i	0.1
ˈe	ˈi	0.097
ˈe	ˈẽ	0.097
ˈe	w	0.097
e	ɐ	0.083
#>	ɐ_#>	0.081
ˈo	ˈɔ_j	0.077
ˈo	-	0.077
ˈi	h	0.074
t	d_u	0.073
t	d	0.073
t	-	0.073
k	ɡ_u	0.071
k	ɡ	0.071
k	u	0.071
a	-	0.07
n	ˈẽ	0.069
ˈɛ	j	0.068
