West Flemish	West Flemish	probability
ˈi	ˈiː	1.0
ʃ_h	ɧ	1.0
ɾ_t	ʈː	1.0
ɾ_d̥	ɖ	1.0
ɪ	ˈɵ	1.0
ɦ̥_#>	#>	1.0
ɦ_ə	ɡː	1.0
ç	ɪ	1.0
z̥	s	1.0
v̥_#>	v_#>	1.0
v_ə	v_a	1.0
s_#>	#>	1.0
s	s	1.0
n_ə	n	1.0
n_#>	#>	1.0
l	l	1.0
k_#>	#>	1.0
iə̯	ɔ	1.0
d_ˈiə̯	j_ˈʉː	1.0
d_ɾ	r	1.0
b	b	1.0
<#_ˈɑ	<#	1.0
<#_ɾ	<#_r	1.0
<#_ɦ	<#	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
<#	<#_h	1.0
d̥	d	0.864
v	f	0.818
ʋ	v	0.8
z	s	0.8
w	l	0.8
ŋ	ŋː	0.778
ɦ	ɡ	0.769
ɾ	r	0.75
l_#>	l_#>	0.714
h_t	tː	0.714
ˈyː	ˈʉː	0.7
m	m	0.7
ˈœ	ˈʏ	0.667
ɾ_n	ɳ	0.667
ˈuə̯	ˈuː	0.643
ˈɑ	ˈa	0.619
ˈɪ	ˈɪ	0.615
ˈøː	-	0.6
d	tʰ	0.6
ˈæ	ˈɛ	0.583
t	t	0.545
ˈu	ˈɵ	0.5
p	p	0.5
#>	k_#>	0.5
#>	a_#>	0.5
ə	a	0.471
ˈɔ	ˈɔ	0.444
ˈɒː	ˈoː	0.438
ˈoː	ˈøː	0.435
k	k	0.417
n	n	0.408
ˈøː	ˈoː	0.4
n	a	0.388
ˈɪ	-	0.385
ˈɛː	ˈeː	0.375
ˈɛː	-	0.375
ˈɛ	ˈɪ	0.375
ˈɛ	ˈɛ	0.375
ˈɒː	ˈɑː	0.375
ˈiə̯	ˈyː	0.353
ˈiə̯	-	0.353
ˈɔ	-	0.333
ˈœ	-	0.333
ˈeː	ˈɛ	0.333
ɾ_n	ɳː	0.333
ˈyː	-	0.3
m	mː	0.3
ə	-	0.294
k	kʰ	0.292
l_#>	#>	0.286
h_t	k_t	0.286
t	tʰ	0.273
ˈɛː	ˈɛ	0.25
ˈɛ	-	0.25
ˈæ	-	0.25
ˈu	ˈʊ	0.25
ˈu	-	0.25
ˈeː	ˈɛː	0.25
ˈeː	ˈeː	0.25
p	pʰ	0.25
p	-	0.25
ə	ɛ	0.235
ˈɔ	ˈɵ	0.222
ŋ	-	0.222
ˈuə̯	ˈøː	0.214
ʋ	-	0.2
z	ɧ	0.2
w	ˈœ_l	0.2
d	d	0.2
d	-	0.2
ˈɑ	ˈɑː	0.19
ˈɑ	-	0.19
ˈɒː	ˈa	0.188
t	tː	0.182
ˈiə̯	ˈʉː	0.176
ˈoː	ˈɔ	0.174
ˈæ	j	0.167
ˈeː	-	0.167
k	kː	0.167
ɦ	ɡ_ˈʉː	0.154
ˈuə̯	-	0.143
d̥	-	0.136
ˈoː	ˈuː	0.13
k	ɕ	0.125
n	nː	0.122
ˈiə̯	ˈiː	0.118
ɾ	ɛ_r	0.104
ɾ	-	0.104
v	v_ɛ	0.091
v	-	0.091
ˈoː	ˈœː	0.087
ˈoː	ˈœ	0.087
ˈoː	-	0.087
ɦ	jː	0.077
