Neapolitan	Neapolitan	probability
ˈɔ_v	w	1.0
ˈɔ_n	nʲ	1.0
ʧː	-	1.0
ʧ	k	1.0
ʦː	ʦ	1.0
ʦ	-	1.0
ʃ_ə	e	1.0
ɾ_t	r_t	1.0
ɲ	m	1.0
ə_ɾ	e_r	1.0
ə_n	e_n	1.0
ŋ	-	1.0
v_j	v	1.0
u	u	1.0
tː_i	ʦʲ	1.0
t	t	1.0
sː	-	1.0
s	s	1.0
rː	r	1.0
r	r	1.0
p_ə_#>	p_#>	1.0
p	p	1.0
o	-	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
lː_ə_#>	l_#>	1.0
l_ə_#>	r_#>	1.0
l	r	1.0
kː_j	kʲ	1.0
kː	k	1.0
k_j	p_l	1.0
j_ˈɛ	ˈe	1.0
j_ə	e	1.0
fː	f_e	1.0
f	f	1.0
dː	ʧ	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_ʤ	1.0
<#	<#_j	1.0
#>	e_#>	1.0
k	k	0.941
ə_#>	#>	0.927
n	n	0.864
d	d	0.769
ˈu	ˈu	0.767
ɾ	r	0.756
w_ˈɔ	ˈo	0.733
tː	p_t	0.7
j	j	0.692
w	-	0.667
ˈa	ˈa	0.647
ˈɔ	o̯ˈa	0.643
ˈe	ˈe	0.643
ˈi	ˈi	0.636
ɡ	ɡ	0.625
ʃ	ʧ	0.619
ʎː	j	0.6
ˈo	o̯ˈa	0.556
n_ə	n	0.538
ʤ	ʤ	0.5
ʤ	-	0.5
ɲː	n_ʤ	0.5
ɲː	n	0.5
e	e	0.5
e	-	0.5
ˈɛ	ˈe	0.474
ə	e	0.474
ə	ə	0.463
n_ə	n_e	0.462
v	v	0.455
i	e	0.455
ˈo	ˈu	0.444
ʃː	ʃ_t	0.429
ʎː	-	0.4
ɡ	-	0.375
i	i	0.364
w	ˈo	0.333
j	ʒ	0.308
a	a	0.308
a	-	0.308
tː	t	0.3
ʃː	t	0.286
ʃː	-	0.286
ʃ	s	0.286
w_ˈɔ	ˈu	0.267
ˈu	ˈo	0.233
d	z	0.231
a	ə	0.231
v	b	0.227
v	-	0.227
ˈɔ	ˈo	0.214
ˈe	ˈi	0.214
ˈɛ	ˈi	0.211
ˈi	ˈe	0.182
i	-	0.182
ˈa	ˈɨ	0.176
ɾ	d	0.156
a	ˈa	0.154
ˈɔ	ˈau̯	0.143
ˈe	-	0.143
n	-	0.136
ˈi	e̯ˈa	0.121
ˈɛ	ˈa	0.105
ˈɛ	j_ˈe	0.105
ˈɛ	j_ˈa	0.105
ʃ	f_l	0.095
v	r	0.091
ɾ	-	0.089
ə_#>	u_#>	0.073
ˈi	-	0.061
ˈa	ˈɨ_j	0.059
k	-	0.059
