Portuguese	Portuguese	probability
β_ɾ	r	1.0
ˈɐ_ɲ	ˈa_ɲ	1.0
ˈũ	-	1.0
ˈo_w	ˈɔː	1.0
ˈo_j	ˈɔ	1.0
ˈi_u	t	1.0
ˈe_ɾ	i	1.0
ˈe_n	ˈe_n	1.0
ˈa_β	ˈa_v	1.0
ˈa_ɾ	ˈaː	1.0
ʎ_ɐ	e	1.0
ʎ_u	l_i	1.0
ʃ_#>	#>	1.0
ɾ_ɐ	r_e	1.0
ɾ_v	r_b	1.0
ɾ_n	r	1.0
ɾ_#>	#>	1.0
ɫ	l	1.0
ɨ_ɾ	e_r	1.0
ɨ_#>	#>	1.0
ɔ	o	1.0
ɐ̃	-	1.0
ɐ_ʃ	s	1.0
ɐ_ɾ	a_r	1.0
ɐ_ð	a_d	1.0
ɐ_#>	#>	1.0
ð_ɨ	t	1.0
ð_u	t	1.0
w̃	ŋ	1.0
v_ˈa	v_ˈa	1.0
v_ɨ	f	1.0
t_ˈo	d_ˈu	1.0
t_ɐ	t_e	1.0
p	p	1.0
õ	o_n	1.0
o	-	1.0
n_u	ŋ	1.0
n	n	1.0
m_ɨ_#>	#>	1.0
m	m	1.0
l_u	ˈɛ_l	1.0
k_ɾ	k_r	1.0
j̃	-	1.0
j_ʃ	s	1.0
j_t	t	1.0
ĩ	-	1.0
i_ʃ	s	1.0
f_ɾ	f_r	1.0
f	f	1.0
ẽ	e_n	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʒ	<#	1.0
<#_ʁ	<#_r	1.0
<#_t	<#_t	1.0
<#_k	<#	1.0
u_#>	#>	0.971
t	t	0.912
<#_l	<#_l	0.9
d	d	0.875
<#_n	<#_n	0.846
ˈi	ˈi	0.808
l	l	0.786
ɡ	ɡ	0.778
v	v	0.774
ɐ	e	0.746
ʃ	s	0.741
ʒ	ʤ	0.727
ˈẽ	ˈi_n	0.714
#>	l_#>	0.714
i	i	0.667
<#	<#_v	0.667
ɾ	r	0.647
z	-	0.625
s	s	0.617
ð	d	0.615
ʁ	r	0.6
ˈɐ_j	ˈe	0.571
ˈa	ˈa	0.556
ˈɐ̃	ˈa	0.55
w	w	0.538
k	c	0.513
β	v	0.5
β	-	0.5
ˈɛ	j_ˈɛ	0.5
ˈõ	ˈo_n	0.5
ˈõ	ˈo	0.5
ˈĩ	ˈi_ŋ	0.5
ˈĩ	ˈi	0.5
ʎ	l	0.5
ʎ	j	0.5
k	k	0.487
w	-	0.462
ˈa	ˈaː	0.444
ˈɐ_j	ˈɛ	0.429
ˈu	ˈu	0.429
ɲ	ŋ	0.429
ɣ	ɡ	0.429
ˈe	ˈe	0.417
j	ˈɛ	0.417
ʁ	a	0.4
z	z	0.375
ɲ	ɲ	0.357
ɣ	-	0.357
ˈɐ	ˈa	0.333
ˈɐ	j	0.333
i	-	0.333
<#	<#_f	0.333
u	u	0.312
ˈo	ˈo	0.306
ˈɐ̃	ˈa_n	0.3
ɨ	-	0.3
s	ʧ	0.298
ˈu	ˈuː	0.286
ˈẽ	ˈɛ_n	0.286
#>	ŋ_#>	0.286
ˈɔ	ˈo	0.278
ʒ	-	0.273
ɨ	i	0.25
ɨ	e	0.25
u	o	0.25
u	-	0.25
j	i	0.25
ð	-	0.231
ˈɔ	ˈoː	0.222
ɡ	ŋ_k	0.222
ɲ	n	0.214
ɣ	k	0.214
l	-	0.214
ˈe	ˈeː	0.208
ˈɛ	ˈiː	0.2
ˈo	ˈɔ	0.194
ˈi	-	0.192
ˈu	ˈo	0.19
u	i	0.188
ˈɔ	ˈuː	0.167
ˈɐ	ˈe	0.167
ˈɐ	-	0.167
ˈe	-	0.167
j	ˈɔ	0.167
j	j	0.167
ð	t	0.154
<#_n	<#_ɲ	0.154
ˈɛ	ˈɛ	0.15
ˈɛ	j	0.15
ˈɐ̃	ˈo	0.15
ˈe	ˈiː	0.125
d	n_t	0.125
ɐ	a	0.113
ˈɔ	w_ˈɛ	0.111
ˈɔ	w_ˈa	0.111
ˈɔ	w	0.111
ˈo	ˈuː	0.111
ˈo	ˈoː	0.111
ˈo	w_ˈɛ	0.111
ʃ	p_l	0.111
ɨ	r	0.1
ɨ	i_s	0.1
<#_l	<#_j	0.1
v	-	0.097
ˈu	ˈoː	0.095
t	-	0.088
s	-	0.085
ˈe	j_ˈo	0.083
ɾ	ˈaː	0.078
ɾ	i	0.078
ʃ	l	0.074
ʃ	k_l	0.074
v	f	0.065
v	b	0.065
ɾ	ˈa	0.059
ɾ	-	0.059
ˈo	ˈa	0.056
ˈo	w_ˈi	0.056
ˈo	w	0.056
