Swedish	Yiddish	probability
b	b	1.0
f	f	1.0
h	h	1.0
kʰ	k	1.0
l	l	1.0
lː	l	1.0
pː	f	1.0
sː	z	1.0
ŋː	ŋ_ɡ	1.0
ɕ	k	1.0
ɖ	d	1.0
ɡː	k	1.0
ɳ	ʀ	1.0
ɵ	-	1.0
ʊ	-	1.0
ˈuː	ˈʊ	1.0
ˈæː	ˈɛ	1.0
ˈɪ	ˈɪ	1.0
ˈʊ	ˈʊ	1.0
ˈʏ	ˈɪ	1.0
a	-	0.071
d	d	0.171
mː	m	0.251
r	ʀ	0.91
ɡ	ɡ	0.891
ˈa	ˈa	0.581
ˈiː	ˈaɪ̯	0.761
ˈoː	ˈɔ	0.711
ˈœ	ˈɔ_ʀ	0.11
ˈɑː	ˈɔ	0.671
ˈɔ	ˈʊ	0.841
ˈɛː	ˈɛ	0.801
m	m	0.912
nː	-	0.082
tʰ	d	0.522
tː	s	0.432
ˈoː	ˈa	0.222
ˈɵ	ˈɪ	0.092
a	n	0.833
kː	k_ə	0.253
t	s	0.863
ŋ	ɡ	0.303
ɧ	z	0.173
ˈa	ʀ_#>	0.13
ˈøː	ˈɪ	0.123
ˈɛ	ˈɪ	0.063
ˈɵ	ˈɛ	0.143
ˈʉː	ˈɔ	0.083
a	ə_n	0.054
k	k	0.144
m	ɛ_m	0.054
n	-	0.114
ɛ	ə	0.914
ˈeː	ˈɛ	0.34
ˈyː	ˈaɪ̯_ə	0.764
ˈøː	ˈʊ	0.114
ˈœ	ˈɔɪ̯	0.304
ˈɛ	ˈɛɪ̯	0.124
p	p	0.155
p	f	0.845
s	-	0.205
s	z	0.545
v	v	0.645
ˈɛ	ˈɛ	0.585
j	ɡ	0.576
k	χ	0.856
n	n	0.886
tʰ	ʦ	0.456
v	f	0.106
ɛ	-	0.086
ˈa	t_#>	0.106
ˈeː	ˈɛɪ̯	0.66
ˈyː	ˈɪ	0.236
ˈøː	ˈɔɪ̯	0.636
d	t	0.807
kː	χ	0.747
t	t	0.137
ŋ	ɪ	0.697
ɧ	ʃ	0.827
ˈa	ˈɔ	0.097
ˈoː	ˈɛɪ̯	0.067
ˈøː	ˈɛɪ̯	0.127
ˈœ	ˈɪ	0.587
ˈɛ	ˈɔ	0.057
ˈʉː	ˈɪ	0.427
nː	n_ə	0.478
s	ʃ	0.218
tː	ʦ	0.18
tː	χ_t	0.388
ˈɛ	ˈaɪ̯	0.138
j	-	0.389
mː	m_ə	0.749
nː	n	0.439
v	b	0.249
ɡ	χ	0.109
ˈiː	ˈɪ	0.239
ˈɑː	ˈa	0.329
ˈɔ	ˈɔ	0.159
ˈɛː	ˈɔ	0.199
ˈɵ	ˈɔɪ̯	0.229
ˈɵ	ˈʊ	0.499
ˈʉː	ˈɔɪ̯	0.49
