Brazilian Portuguese	Brazilian Portuguese	probability
ˈɔ_j	ˈo_j	1.0
ˈu_ɾ	ˈu_r	1.0
ˈo_w	ˈɔ	1.0
ˈo_j	ˈɔ	1.0
ˈo_d	ˈu_tː	1.0
ˈĩ_j̃	ˈi_n	1.0
ˈi_#>	ˈe_#>	1.0
ˈe_w	ˈi_o	1.0
ˈe_k	ˈe_kː	1.0
ˈe_h	e	1.0
ʒ	ʤ	1.0
ʃ_t	s_t	1.0
ɾ_ɐ	r_a	1.0
ɦ_n	r_n	1.0
ɦ_m	r_m	1.0
ɐ̃	-	1.0
ɐ_#>	#>	1.0
w_ˈa	w_ˈa	1.0
w_s	l_s	1.0
w_#>	l_e_#>	1.0
v_ɐ	b_a	1.0
v_i	v_i	1.0
ũ	o_m	1.0
u_ʃ	i	1.0
s_ˈe	ʃː_e	1.0
p	p	1.0
o_h	o_r	1.0
j_ʃ	ʧ_e	1.0
j_ɐ	n_a	1.0
j_t	tː	1.0
j_b	pː	1.0
ĩ	-	1.0
h_k	r_k	1.0
ẽ	-	1.0
e_ʃ	s	1.0
e_ɡ	i_k	1.0
d_ɐ	t_a	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_s	<#_ʧ	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#	<#_a	1.0
f	f	0.957
m	m	0.941
u	o	0.933
k	k	0.932
ˈa	ˈa	0.93
v	v	0.909
ɐ	a	0.862
ɾ	r	0.824
ˈũ	ˈu	0.8
<#_h	<#_r	0.778
ˈi	ˈi	0.76
ʧ	t	0.75
ʃ_#>	#>	0.75
o	o	0.75
h	r_e	0.733
ˈɛ	ˈɛ	0.727
s	s	0.718
l	lː	0.706
a	a	0.696
t	t	0.682
ɦ	r	0.667
d	t	0.667
ˈɐ̃	ˈa	0.655
ˈu	ˈu	0.643
ʤ	d	0.625
i	e	0.619
w	l	0.615
ˈe_j	ˈa	0.6
ɡ	ɡ	0.571
w̃	n_o	0.545
ˈe	ˈe	0.543
b	b	0.536
ˈɔ	ˈɔ	0.5
ʎ	ʎː	0.5
#>	o_#>	0.474
j̃	ɲː	0.471
ˈẽ	ˈɛ_n	0.467
w̃	n_e	0.455
n	nː	0.444
ˈĩ	ˈi	0.429
j	j	0.429
j	e	0.429
e	e	0.421
ˈɔ	ˈo	0.4
ˈe_j	ˈe	0.4
ˈo	ˈo	0.387
ʤ	-	0.375
z	r	0.375
z	-	0.375
ʎ	kː_j	0.333
ɦ	-	0.333
ɡ	k	0.333
n	n	0.333
d	d	0.333
ˈo	ˈɔ	0.323
#>	e_#>	0.316
ˈĩ	ˈi_ŋ	0.286
ˈĩ	ˈe_n	0.286
ˈe	ˈɛ	0.286
ˈẽ	ˈe	0.267
e	-	0.263
ʧ	tː	0.25
ʃ_#>	i_#>	0.25
ʃ	sː	0.25
z	z	0.25
o	-	0.25
b	p	0.25
j̃	e	0.235
w	w	0.231
n	n_w	0.222
<#_h	<#	0.222
a	ˈa	0.217
ˈu	ˈo	0.214
ˈõ	ˈu	0.214
ˈõ	ˈo_n	0.214
ˈõ	ˈo	0.214
ˈõ	w	0.214
e	i	0.211
ˈũ	-	0.2
ˈɛ	j_ˈɛ	0.182
t	tː	0.182
l	l	0.176
j̃	n	0.176
ˈɐ̃	ˈa_n	0.172
ʎ	-	0.167
ˈo	w_ˈɔ	0.161
w	e	0.154
ˈu	-	0.143
ˈõ	ˈɔ	0.143
j	ʣː	0.143
i	i	0.143
i	-	0.143
t	n_t	0.136
ˈẽ	ˈɛ	0.133
ˈẽ	-	0.133
h	r	0.133
ʃ	ʧ_e	0.125
ʃ	ʃː	0.125
ʃ	p_j	0.125
ʃ	k_j	0.125
ʃ	f_j	0.125
ʃ	e	0.125
ˈi	ˈe	0.12
ˈi	-	0.12
l	-	0.118
j̃	ŋ_ɡ	0.118
e	ˈi	0.105
#>	n_a_#>	0.105
#>	i_#>	0.105
ˈɐ̃	ˈo	0.103
ˈɔ	w_ˈɔ	0.1
ɡ	-	0.095
i	o	0.095
ˈɛ	ˈe	0.091
v	b	0.091
ɾ	j	0.088
ɾ	e_r	0.088
a	-	0.087
ˈe	ˈi	0.086
ˈe	e	0.086
s	ʧː	0.077
s	ʦː	0.077
s	sː	0.077
b	p_e	0.071
b	e	0.071
b	-	0.071
ˈa	l_ˈa	0.07
ˈɐ̃	ˈa_ŋ	0.069
k	kː	0.068
h	rː	0.067
h	e	0.067
ˈo	ˈu	0.065
ˈo	ˈo_l	0.065
ɐ	n_a	0.062
m	mː	0.059
s	ʧ	0.051
