Czech	Proto-Slavic	probability
ˈuː	ǒ	1.0
ˈl̩	l	1.0
ˈaː	r	1.0
ʧ	ʧ	1.0
ʒ	ʒ	1.0
ʃ	ʒ_ĭ	1.0
ɲ	ɲ	1.0
ɪ	ǐ	1.0
ɦ	ɡ	1.0
ɟ	d	1.0
ɛ_#>	e_#>	1.0
x_#>	ɡ_ŭ_#>	1.0
x	x	1.0
v_j	v	1.0
v	v	1.0
s_#>	s_ŭ_#>	1.0
s	s	1.0
r̝̊	r	1.0
r̝	r	1.0
n_#>	n_ĭ_#>	1.0
n	n	1.0
m̩	m_ĭ	1.0
m	m	1.0
l_ˈa	ôː_l	1.0
l_iː	l_ŭ	1.0
k	k	1.0
f	v	1.0
d	d	1.0
c	t	1.0
b	b	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
o	o	0.846
z	z	0.833
p	p	0.833
l	l	0.815
r	r	0.765
t	t	0.743
a	ǎ	0.722
ˈa	aˀ	0.714
j	-	0.714
ˈr̩	r	0.667
<#	<#_s	0.667
#>	ĭ_#>	0.636
ˈu	ûː	0.6
ˈɪ	ɨ̌	0.5
ˈɪ	i	0.5
ˈɛː	ɛ̌	0.5
ˈɛː	-	0.5
ˈou̯	ǔː	0.5
ˈou̯	-	0.5
ˈiː	ɛˀ	0.5
ˈiː	ǐ	0.5
<#_ˈo	<#_ǒ	0.5
<#_ˈo	<#_ô	0.5
iː	ŭ	0.469
ˈo	o	0.412
iː	ŭ_j	0.406
ˈu	l	0.4
ˈo	ô	0.353
ˈr̩	ĭ̂_r	0.333
ʦ	ʦ	0.333
ʦ	k_t	0.333
ʦ	ĭ_ʦ	0.333
<#	<#_ô	0.333
#>	ŭ_#>	0.327
ˈa	-	0.286
j	ɛː	0.286
ˈɛ	e	0.281
a	a	0.278
ɛ	-	0.231
z	ŭ	0.167
p	b	0.167
ˈɛ	ɛ̂ː	0.156
ɛ	ɛ̌	0.154
ɛ	ŭ	0.154
ɛ	ě	0.154
ɛ	ẽ	0.154
ɛ	e	0.154
o	ǒ	0.154
t	t_i	0.143
ˈɛ	ĭ̌	0.125
ˈɛ	ê	0.125
iː	j	0.125
ˈo	ǒ	0.118
ˈo	ôː	0.118
r	r_ŭ	0.118
r	oˀ	0.118
t	d_ŭ	0.114
l	l_ŭ	0.111
l	e_l	0.074
ˈɛ	ŭ̂	0.062
ˈɛ	ě	0.062
ˈɛ	ẽ̂ː	0.062
ˈɛ	ẽ	0.062
ˈɛ	-	0.062
