Franco-Provençal	Galician	probability
ˈɛː_n	v	1.0
ˈy	ˈo_β	1.0
ʦ	θ_ʊ	1.0
ʎ	ɟ	1.0
ʃ_j	k	1.0
ʁ_o	ʊ	1.0
ɲ	ɲ	1.0
ɛ̃	e_n	1.0
ɛː	-	1.0
ɛ	e	1.0
ɑ̃	a_n	1.0
ð_ə	ɾ	1.0
y	e_j	1.0
w_ˈe	ˈo	1.0
v_ˈe	β_ˈe	1.0
u	-	1.0
s_ə	ʃ_ɐ	1.0
p	p	1.0
m	m	1.0
k_ʁ	k_ɾ	1.0
j_ˈe	ˈɛ	1.0
ĩ	ɑ	1.0
f_l	ʧ	1.0
ˈa	ˈa	0.936
f	f	0.922
k	k	0.907
ʁ	ɾ	0.837
ˈɔ	ˈo	0.814
t	t	0.809
a	ɐ	0.756
d	d	0.713
i	ɐ	0.693
ˈĩ	ˈi	0.683
ɡ	ɡ	0.67
ð	ɾ	0.653
ˈo	ˈo	0.65
ˈɛː	ˈe	0.644
l	l	0.627
ˈaː	ˈa	0.616
z	-	0.611
j	-	0.575
ə	ɐ	0.571
e	e_s	0.535
ˈi	ˈi	0.513
ʃ	k	0.511
v	b	0.508
ɔ	o	0.5
ɔ	-	0.5
b	b	0.475
ˈɔ̃	ŋ	0.466
ˈoː	ˈɔ	0.452
n	-	0.447
ˈɛ	ˈe	0.441
ˈu	ˈu	0.437
v	β	0.432
ˈi	ˈe	0.415
b	β	0.412
s	s	0.41
ˈoː	ˈo	0.408
ˈɑː	ˈa	0.403
z	θ	0.389
ˈaː	ˈa_j	0.384
ˈɛ̃	n	0.374
ˈø	-	0.373
ˈɛ̃	ˈe_n	0.358
ˈø	ˈɔ	0.354
ˈɛ	ˈɛ	0.353
o	ʊ	0.351
ˈo	-	0.35
ɡ	ɣ	0.33
ˈĩ	ˈi_ŋ	0.317
ʃ	θ	0.316
i	i	0.307
ˈɔ̃	ˈo	0.305
w	ˈɔ	0.305
ˈɑː	ˈa_l	0.299
ˈɑː	a	0.299
ˈɛː	-	0.298
n	ɲ	0.296
w	ˈo	0.289
d	ð	0.287
o	ɪ	0.277
ˈø	ˈo	0.272
e	e	0.269
ˈɛ̃	ɲ_ʊ	0.268
ˈɑ̃	n	0.262
n	n	0.257
ˈɑ̃	ˈa_n	0.251
ˈe	ˈa	0.25
s	ʃ	0.247
ˈɑ̃	ˈɑ_ŋ	0.244
ˈɑ̃	ˈɑ	0.244
a	a	0.244
ˈɔ̃	ˈo_ŋ	0.229
ˈu	-	0.22
ˈe	ˈɛ	0.218
l	-	0.211
ˈe	ˈi	0.21
s	ˈi_θ	0.207
ˈɛ	-	0.206
ə	e	0.198
ð	-	0.197
e	-	0.197
o	o	0.192
ˈɔ	-	0.186
w	ˈu	0.183
j	ˈe_j	0.177
ˈu	ˈɔ_l	0.174
ˈu	ˈɔ	0.169
ð	r	0.15
j	ˈa	0.145
ˈoː	-	0.14
s	θ	0.135
ʃ	k_ˈɑ	0.127
l	ˈe	0.117
b	-	0.114
w	-	0.108
o	-	0.108
ə	-	0.103
j	i	0.103
t	-	0.097
t	k	0.094
k	-	0.093
ˈe	-	0.092
f	β_ɪ	0.078
ə	ʊ	0.075
ˈe	ɾ	0.073
ˈi	-	0.072
o	u	0.072
w	ˈo_j	0.071
ˈa	ɣ_ʊ	0.064
v	-	0.06
ˈɛː	ˈɛ	0.059
ə	a	0.054
