Ladin	Ladin	probability
ˈɛ_ɡ	ˈa_ɡ	1.0
ˈɛ_n	ˈi_n	1.0
ˈu_r	ˈuː_r	1.0
ˈu	ˈu	1.0
ˈo_w	ˈoː	1.0
ˈo_s_#>	ˈoː_#>	1.0
ˈi_#>	ˈiː_#>	1.0
ˈi	ˈi	1.0
ʧ	ʧ	1.0
ʦ	ʧ	1.0
ʃ	s	1.0
ɲ	ɲ	1.0
ŋ	ŋ	1.0
z	z	1.0
w_t	l_t	1.0
u	u	1.0
t	t	1.0
s	s	1.0
r_ˈa	r_ˈa	1.0
r_t	r_t	1.0
p	p	1.0
n_#>	#>	1.0
m_#>	#>	1.0
m	m	1.0
l	l	1.0
j_a	e	1.0
i	i	1.0
f	f	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
r	r	0.958
ˈa	ˈa	0.946
d	d	0.9
v	v	0.885
w_ˈɛ	ˈuː	0.875
j	j	0.824
ˈo	ˈo	0.818
ɡ	ɡ	0.818
k	k	0.818
ʨ	c	0.792
#>	t_#>	0.778
a	e	0.759
d_l	l_i	0.714
e_r	r_i	0.667
<#	<#_v	0.667
ʥ	ɟ	0.6
j_ˈɛ	ˈiː	0.6
ˈe_j	ˈeː	0.538
e	i	0.529
n	n	0.52
o	o	0.5
<#_l	<#_j	0.5
<#_l	<#	0.5
ˈe_j	ˈe	0.462
ʒ	ʤ	0.412
ˈe	ˈaː	0.4
ʥ	-	0.4
j_ˈɛ	ˈɛ	0.4
n	ŋ	0.38
ˈɛ	j_ˈɛ	0.372
w	w	0.364
ʒ	z	0.353
ˈe	ˈe	0.35
e_r	r	0.333
<#	<#_j	0.333
o	u	0.286
d_l	l	0.286
w	v	0.273
ˈɔ	w_ˈa	0.261
ʒ	-	0.235
e	e	0.235
e	-	0.235
ˈɛ	ˈɛ	0.233
#>	e_#>	0.222
ˈɔ	ˈɔ	0.217
ˈɔ	w_ˈɛ	0.217
o	-	0.214
ʨ	ʧ	0.208
a	a	0.203
ˈɛ	ˈaː	0.186
ˈo	-	0.182
ɡ	v	0.182
w	l	0.182
w	-	0.182
j	-	0.176
ˈɔ	w	0.174
ˈɔ	ˈo	0.13
w_ˈɛ	ˈɔː	0.125
k	k_w	0.121
ˈɛ	ˈa	0.116
v	-	0.115
d	-	0.1
ˈe	ˈɛ	0.075
ˈe	ˈo	0.075
k	-	0.061
n	ˈi_n	0.06
ˈa	ˈaː	0.054
