East Frisian Low Saxon	East Frisian Low Saxon	probability
χ	x	1.0
ˈʏə̯	ˈu	1.0
ˈʊə̯	-	1.0
ˈʊ	ˈu	1.0
ˈɪə̯	ˈi	1.0
ˈɛə̯	ˈɑ	1.0
ˈɔː	-	1.0
ˈɒːɒ̯	ˈɑ	1.0
ˈɑːʊ̯	-	1.0
ˈɑːɑ̯	ˈɑ	1.0
ˈɑɪ̯	-	1.0
ˈɑ	ˈɑ	1.0
ˈœːy̯	ˈɔː	1.0
ˈœy̯	ˈɔː	1.0
ˈœ	ˈu	1.0
ˈøːø̯	-	1.0
ˈøy̯	-	1.0
ˈæːɪ̯	-	1.0
ˈæː	-	1.0
ˈyːʏ̯	ˈɔː	1.0
ˈyː	ˈiu̯	1.0
ˈuːu̯	-	1.0
ˈuː	ˈuː	1.0
ˈoːo̯	ˈɑu̯	1.0
ˈiːi̯	ˈi	1.0
ˈeːe̯	ˈe	1.0
ʊ	-	1.0
ɡ̊	ɑ_z	1.0
ɑɪ̯	e_x	1.0
ɐ_n	r_n	1.0
ɐ_d̥	r_ð	1.0
ɐ_#>	r_#>	1.0
ŋ	ŋ	1.0
w	w	1.0
v̥	β	1.0
s_l	s_l	1.0
s	s	1.0
o	-	1.0
m	m	1.0
j	jː	1.0
h	x	1.0
f	ɸ	1.0
d̥_#>	z_#>	1.0
b	b	1.0
<#_ˈʊ	<#_ˈu	1.0
<#_ˈoː_v	<#_ˈu	1.0
<#_ɡ	<#_ɣ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#	<#_x	1.0
k	k	0.939
z	s	0.9
l	l	0.854
p	p	0.846
ˈɑʊ̯	ˈɔː	0.818
ɡ	ɣ	0.818
r	r	0.81
n	n	0.784
t	t	0.776
ˈiː	ˈiː	0.769
ˈɑː	ˈɑ	0.75
ˈɪ	ˈi	0.731
ˈɔ	ˈu	0.727
ˈeː	ˈe	0.7
ˈøː	ˈu	0.667
v	w	0.667
ˈɛ	ˈe	0.625
z̥	s	0.625
ˈɛːɪ̯	j	0.6
ˈæɪ̯	ˈɑi̯	0.579
ˈʏ	ˈu	0.571
ˈoː	ˈɑu̯	0.55
ɣ̊	ɣ_ɑ	0.538
ɐ	r	0.531
ˈɒː	ˈɛː	0.5
ˈɒː	ˈɑ	0.5
ə	n	0.5
ə	-	0.5
d	θ	0.486
ˈʏ	-	0.429
#>	ɑ̃_#>	0.419
d	d	0.405
ˈɛːɪ̯	ˈɑi̯_w	0.4
z̥	s_ɑ̃	0.375
ˈøː	ˈɑu̯	0.333
d̥	θ	0.333
ˈæɪ̯	ˈeu̯	0.316
ˈoː	ˈu	0.3
ˈeː	-	0.3
ˈɔ	ˈɑ	0.273
#>	ɑ_z_#>	0.273
#>	z_#>	0.253
ˈɛ	-	0.25
ˈɑː	ˈe	0.25
d̥	ð	0.233
ˈiː	-	0.231
ɣ̊	ɣ_j	0.231
ɣ̊	ɣ	0.231
ˈɑʊ̯	-	0.182
ɡ	-	0.182
d̥	d_ɑ	0.167
ɐ	r_ɑ	0.156
p	pː	0.154
ˈoː	-	0.15
v	xʷ	0.133
d̥	ð_ɑ	0.133
ˈɛ	mː	0.125
ɐ	i	0.125
ˈɪ	ˈe	0.115
ˈæɪ̯	ˈe_xʷ	0.105
z	s_ˈuː	0.1
r	x_r	0.095
r	r_ˈi	0.095
ɐ	r_i	0.094
ɐ	e_r	0.094
t	t_ɑ	0.082
ˈɪ	-	0.077
l	lː	0.073
l	l_ˈeu̯	0.073
v	β_ɑ	0.067
v	β	0.067
v	w_ˈi	0.067
d̥	d_u	0.067
d̥	d	0.067
n	nː	0.062
t	tː	0.061
k	kʷ	0.061
#>	s_#>	0.056
d	ð_ɛː	0.054
d	ð	0.054
