American English	Yiddish	probability
b	b	1.0
d	t	0.714
d	d	0.239
f	f	0.89
f	b	0.071
f	χ	0.044
h	h	1.0
i	ɪ_k	0.794
i	ə	0.172
j	j	0.395
j	ɡ	0.206
k	k	0.695
k	χ	0.304
kʰ	k	0.752
kʰ	f	0.242
l	l	1.0
m	m	1.0
n	n	0.912
n	-	0.058
oʊ̯	-	0.644
oʊ̯	n	0.254
p	f	0.667
p	f_n	0.226
p	p	0.097
pʰ	f	1.0
s	z	0.574
s	ʃ	0.245
s	s	0.11
s	ʃ_v	0.063
t	s	0.26
t	χ_t	0.26
t	t	0.204
t	ʦ	0.155
t	s_n	0.114
tʰ	ʦ	0.879
tʰ	t	0.113
v	f	0.415
v	b	0.29
v	b_n	0.144
v	v	0.09
w	v	0.83
w	-	0.106
w	ʀ	0.056
z	z	0.776
z	n	0.182
ð	d	0.559
ð	t	0.433
ŋ	ŋ	0.923
ŋ	ɡ	0.078
ə	-	0.699
ə	ˈɛ	0.297
ɚ	ə	0.83
ɚ	ʀ	0.147
ɡ	ɡ	0.977
ɡ	-	0.047
ɪ	ɛ	1.0
ɫ	l	0.849
ɫ	-	0.063
ɫ	ʎ	0.063
ɫ	ɡ_l	0.047
ɹ	ʀ	1.0
ɾ	s	1.0
ʃ	ʃ	0.919
ʃ	ʧ	0.08
ʤ	k	1.0
ʧ	k	0.591
ʧ	χ	0.403
ˈaɪ̯	ˈaɪ̯	0.473
ˈaɪ̯	ˈɪ	0.305
ˈaɪ̯	ˈɔɪ̯	0.083
ˈaɪ̯	ˈa	0.072
ˈaɪ̯	ˈɛ	0.055
ˈaʊ̯	ˈɔɪ̯	0.645
ˈaʊ̯	ˈʊ	0.349
ˈeɪ̯	ˈa	0.374
ˈeɪ̯	ˈɔ_ɡ	0.316
ˈeɪ̯	ˈɛ_ɡ	0.145
ˈeɪ̯	ˈɔ	0.084
ˈeɪ̯	ˈɔɪ̯	0.07
ˈi	ˈɪ	0.329
ˈi	ˈɔɪ̯	0.223
ˈi	ˈɛ	0.172
ˈi	ˈɔ	0.13
ˈi	ˈaɪ̯	0.106
ˈoʊ̯	ˈɛɪ̯	0.435
ˈoʊ̯	ˈɔ	0.35
ˈoʊ̯	ˈa	0.122
ˈoʊ̯	ˈi	0.075
ˈu	ˈʊ	0.306
ˈu	ˈaɪ̯	0.202
ˈu	ˈɔ	0.145
ˈu	ˈa	0.145
ˈu	ˈɛɪ̯	0.139
ˈæ	ˈa	0.787
ˈæ	ˈɔ	0.13
ˈæ	ˈɛ	0.08
ˈɑ	ˈa	0.453
ˈɑ	ˈɔ	0.314
ˈɑ	ˈʊ	0.08
ˈɑ	ˈɛ	0.077
ˈɑ	ˈɛɪ̯	0.068
ˈɔ	ˈɔ	0.303
ˈɔ	ˈʊ	0.174
ˈɔ	ˈɪ	0.174
ˈɔ	ˈɛ	0.174
ˈɔ	ˈa	0.144
ˈɛ	ˈɛ	0.39
ˈɛ	ˈɔɪ̯	0.228
ˈɛ	ˈɔ	0.087
ˈɛ	ˈɪ	0.063
ˈɛ	-	0.054
ˈɛ_ɚ	ˈɔ	0.271
ˈɝ	ʀ	0.683
ˈɝ	ˈɔ_ʀ	0.235
ˈɪ	ˈɪ	0.75
ˈɪ	ˈɛ	0.181
ˈɪ	ˈaɪ̯	0.062
ˈʊ	ˈʊ	0.736
ˈʊ	ˈɔ	0.198
ˈʌ	ˈʊ	0.636
ˈʌ	ˈɔ	0.173
ˈʌ	ˈɛɪ̯	0.073
ˈʌ	ˈa	0.071
ˈʌ	ˈɔɪ̯	0.063
θ	d	0.623
θ	t	0.223
θ	-	0.126
