American English	Yiddish	probability
b	b	1.0
d	t	0.801
d	d	0.152
f	f	0.775
f	l_b	0.117
f	χ	0.077
h	h	1.0
i	ɪ	0.621
i	-	0.208
i	ə	0.17
j	j	0.531
j	ɡ	0.363
j	-	0.106
k	χ	0.492
k	k	0.475
kʰ	k	0.938
kʰ	-	0.062
m	m	1.0
n	n	0.936
oʊ̯	-	0.667
oʊ̯	n	0.333
p	f	0.933
p	p	0.067
pʰ	f	1.0
s	z	0.626
s	ʃ	0.221
s	s	0.154
t	t	0.771
t	s	0.12
t	ʦ	0.108
tʰ	ʦ	0.805
tʰ	t	0.137
tʰ	b	0.058
tː	ʦ	1.0
v	b	0.763
v	f	0.138
v	v	0.099
w	v	0.873
w	-	0.066
z	z	0.702
z	n	0.298
ð	d	0.616
ð	t	0.384
ŋ	ŋ	0.835
ŋ	ɪ	0.165
ə	-	0.906
ə	ˈɛ	0.094
ɚ	ə	0.66
ɚ	ʀ	0.293
ɡ	ɡ	0.978
ɪ	ɛ	1.0
ɫ	l	0.898
ɫ	ɡ_l	0.074
ɹ	ʀ	0.881
ɹ	ɛ	0.097
ɾ	s	0.78
ɾ	χ	0.22
ʃ	ʃ	0.919
ʃ	ʧ	0.081
ʔ	s	0.603
ʔ	χ	0.204
ʔ	ʦ	0.193
ʤ	k	1.0
ʧ	k	0.651
ʧ	χ	0.349
ˈaɪ̯	ˈɪ	0.446
ˈaɪ̯	ˈaɪ̯	0.401
ˈaɪ̯	ˈɔɪ̯	0.103
ˈaʊ̯	ˈɔɪ̯	0.566
ˈaʊ̯	ˈʊ	0.434
ˈeɪ̯	ˈa	0.379
ˈeɪ̯	ˈɔ	0.357
ˈeɪ̯	ˈɛ	0.224
ˈi	ˈɪ	0.292
ˈi	ˈɔɪ̯	0.241
ˈi	ˈɛ	0.178
ˈi	ˈɔ	0.119
ˈi	ˈaɪ̯	0.082
ˈi	ˈɛɪ̯	0.06
ˈoʊ̯	ˈɛɪ̯	0.702
ˈoʊ̯	ˈa	0.131
ˈoʊ̯	ˈɔ	0.096
ˈoʊ̯	ˈɪ	0.071
ˈu	ˈʊ	0.429
ˈu	ˈɪ	0.255
ˈu	ˈaɪ̯	0.099
ˈu	ˈa	0.089
ˈu	ˈɛɪ̯	0.066
ˈu	ˈɔ	0.062
ˈæ	ˈa	0.873
ˈæ	ˈɔ	0.078
ˈɑ	ˈa	0.41
ˈɑ	ˈɔ	0.362
ˈɑ	ˈɛ	0.129
ˈɔ	ˈa	0.424
ˈɔ	ˈɔ	0.202
ˈɔ	ʀ	0.153
ˈɔ	ˈɛ	0.111
ˈɔ	ˈɪ	0.111
ˈɛ	ˈɛ	0.455
ˈɛ	ˈɔɪ̯	0.146
ˈɛ	ˈɔ	0.108
ˈɛ	ˈa	0.071
ˈɛ	ˈɛɪ̯	0.068
ˈɛ	ˈaɪ̯	0.058
ˈɝ	ˈɔ	0.505
ˈɝ	ʀ	0.256
ˈɝ	ˈaɪ̯	0.24
ˈɪ	ˈɪ	0.804
ˈɪ	ˈɛ	0.164
ˈʊ	ˈʊ	0.684
ˈʊ	ˈɔ	0.316
ˈʌ	ˈʊ	0.693
ˈʌ	ˈɔ	0.119
ˈʌ	ˈɔɪ̯	0.096
ˈʌɪ̯	ˈaɪ̯	0.357
ˈʌɪ̯	ˈɪ	0.282
ˈʌɪ̯	ˈa	0.245
ˈʌɪ̯	ˈɛ	0.117
θ	d	0.677
θ	t	0.206
θ	-	0.117
