Bokmål Norwegian	Bokmål Norwegian	probability
ˈʊ	ɪ	1.0
ˈœʏ̯	ˈoː	1.0
ˈæː	-	1.0
ˈyː	ˈiə̯	1.0
ˈoː	ˈɒː	1.0
ʋ_#>	v̥_#>	1.0
ʈː	ɾ_t	1.0
ʈ	ɾ_t	1.0
ɾ_ə	ɾ_ə	1.0
ɳ	ɾ_n	1.0
ə_ɾ	ɾ	1.0
ə_#>	#>	1.0
ŋː	ŋ	1.0
ŋ	-	1.0
ç	k	1.0
tʰ	d	1.0
t_ə	t_n	1.0
t_#>	t_#>	1.0
t	t	1.0
sː	s	1.0
s_k	s	1.0
s_#>	z̥_#>	1.0
pː	p	1.0
pʰ	p	1.0
p	p	1.0
mː_ə	m_n	1.0
mː	m	1.0
m	m	1.0
l_#>	ə_l_#>	1.0
kː	k	1.0
kʰ	k	1.0
k_t	h_t	1.0
k_#>	#>	1.0
k	k	1.0
i	ç	1.0
d	d	1.0
b	b	1.0
<#_ˈɑ	<#_ˈɑ	1.0
<#_ɾ	<#_ɾ	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_h	<#	1.0
ɾ	ɾ	0.902
f	v	0.889
n	n	0.857
ˈʉ	ˈu	0.75
l	l	0.737
ɡ	ɦ	0.727
ˈɑ	ˈɑ	0.65
ˈɑː	ˈɒː	0.625
ʋ	ʋ	0.619
ˈɪ	ˈɪ	0.615
ˈiː	ˈi	0.615
<#	<#_ʋ	0.6
s	z	0.568
ˈuː	ˈuə̯	0.562
ə	ə	0.513
ˈeː	ˈiə̯	0.5
ˈeː	ˈeː	0.5
ʂ	ʃ_h	0.5
ʂ	z	0.5
ɡː	ɦ_ə	0.5
ɡː	-	0.5
tː	t	0.5
tː	h_t	0.5
j	ɦ	0.5
j	-	0.5
nː	n_d̥	0.471
ˈʉː	ˈyː	0.467
ˈɛ	ˈæ	0.444
lː	w	0.444
s	s	0.432
<#	<#_j	0.4
ˈøː	ˈoː	0.385
ə	n	0.385
ˈɑː	ˈɑ	0.375
ˈæɪ̯	ˈɛː	0.375
ˈæɪ̯	ˈeː	0.375
ˈʏ	ˈɪ	0.333
ˈʏ	ˈœ	0.333
ˈʏ	-	0.333
ˈœ	-	0.333
lː	l	0.333
ˈuː	ˈoː	0.312
ˈøː	ˈoː_d̥	0.308
ˈɔ	ˈɔ	0.3
ˈɔ	ˈoː	0.3
#>	d̥_#>	0.281
ɡ	-	0.273
l	w	0.263
ˈʉ	ˈœ	0.25
ˈæɪ̯	-	0.25
nː	n_d	0.235
ˈɪ	ˈɛ	0.231
ˈiː	ˈiə̯	0.231
ˈœ	ˈøː	0.222
ˈœ	ˈuə̯	0.222
ˈœ	ˈoː	0.222
lː	d̥	0.222
#>	ɦ̥_#>	0.219
ˈʉː	ˈeː	0.2
ˈʉː	ɦ	0.2
ˈɔ	ˈɑ	0.2
ˈɔ	-	0.2
ʋ	v	0.19
#>	n_#>	0.188
nː	n	0.176
ˈɛ	ˈɛ	0.167
ˈɛ	ˈɑ	0.167
#>	k_#>	0.156
ˈɪ	-	0.154
ˈøː	ˈuə̯	0.154
ˈøː	-	0.154
ˈiː	ˈɛ	0.154
ˈɑ	ˈɒː	0.15
n	n_ə	0.143
ˈʉː	-	0.133
ˈuː	ˈɛː	0.125
nː	n_ə	0.118
ˈɛ	ˈœ	0.111
ˈɛ	ˈiə̯	0.111
f	v_ˈøː	0.111
ˈɑ	ˈɔ	0.1
ˈɑ	-	0.1
ʋ	ʋ_ˈæ	0.095
ʋ	-	0.095
#>	ɾ_#>	0.094
ə	-	0.077
#>	v̥_#>	0.062
