German	Yiddish	probability
ˈʏ	ˈɪ	1.0
ˈɪ	ˈɪ	1.0
ˈɛː	ˈɛ	1.0
ˈɛ_ɐ	ˈa_ʀ	1.0
ˈɛ	ˈɛ	1.0
ˈɔʏ̯	ˈaɪ̯	1.0
ˈœ	ˈɛ	1.0
ˈøː	ˈɛ	1.0
ˈyː	ˈɪ	1.0
ˈuː	ˈʊ	1.0
ˈoː_n	ˈɔ_n	1.0
ˈoː	ˈɔɪ̯	1.0
ˈiː_ɐ	ˈɪ_ʀ	1.0
ˈiː	ˈɪ	1.0
ˈaʊ̯	ˈɔɪ̯	1.0
ʦ	ʦ	1.0
ʁ	ʀ	1.0
ɪ	ɪ	1.0
ɡ̊	ɡ	1.0
ɡ	ɡ	1.0
ə_#>	#>	1.0
z	z	1.0
x	χ	1.0
v	v	1.0
tʰ_ʁ	t_ʀ	1.0
tʰ	t	1.0
p͡f	p	1.0
p	p	1.0
n_d̥	n_t	1.0
n	n	1.0
m	m	1.0
l_ˈaː	l_ˈɔ	1.0
l	l	1.0
kʰ	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥	d	1.0
d	d	1.0
b̥	b	1.0
b	b	1.0
<#_ʁ	<#_ʀ	1.0
#>	ɡ_#>	1.0
t	t	0.953
ʃ	ʃ	0.931
ˈa	ˈa	0.914
ˈaː	ˈɔ	0.875
ˈʊ	ˈʊ	0.867
k	k	0.818
ˈeː	ˈɛ	0.8
ŋ	ŋ	0.8
s	s	0.774
ç	χ	0.75
ˈɔ	ˈɔ	0.706
ə_n	ə_n	0.556
ɐ	ə_ʀ	0.545
ˈaɪ̯	ˈaɪ̯	0.519
ˈaɪ̯	ˈɛɪ̯	0.481
ə_n	n	0.444
ə	ɡ	0.375
ə	n	0.375
ɐ	ʀ	0.341
ˈɔ	ˈʊ	0.294
ə	ə	0.25
ç	k	0.25
ˈeː	ˈɛɪ̯	0.2
ŋ	ŋ_ɡ	0.2
k	k_ə	0.182
s	z	0.161
ˈʊ	ˈɔ	0.133
ˈaː	ˈa	0.125
ˈa	ˈɔ	0.086
ʃ	ʧ	0.069
ɐ	ʀ_ə	0.068
s	d_z	0.065
