Bokmål Norwegian	East Low German	probability
ˈʉ	ˈʊ	1.0
ˈɪ_nː	ˈɪ	1.0
ˈɪ	ˈɪ	1.0
ˈɔ	ˈa	1.0
ˈɑ_ɾ	ˈaː	1.0
ˈøː_j	ˈaʊ̯_x	1.0
ˈuː_ɾ	ˈuː_æ	1.0
ˈiː_n_#>	ˈiː_n_#>	1.0
ˈeː_#>	ˈae̯_#>	1.0
ʋ_ə	m	1.0
ʋ_#>	f_#>	1.0
ʋ	w	1.0
ʂ	ʃ	1.0
ɾ_ə	æ	1.0
ɾ_#>	æ_#>	1.0
ɳ_#>	æ_n_#>	1.0
ɡː_#>	ç_#>	1.0
ɡː	-	1.0
ɡ_#>	x_#>	1.0
ə	-	1.0
ŋː_ə	ŋ	1.0
ŋ	ɪ	1.0
tː_ə	x_t	1.0
tː_#>	t_#>	1.0
tː	t	1.0
t_#>	t_#>	1.0
t	t	1.0
sː	s	1.0
s_k_ə_#>	ʃ_#>	1.0
s_k_#>	ʃ_#>	1.0
s_#>	s_#>	1.0
s	s	1.0
p_#>	p_#>	1.0
p	p	1.0
nː_ə	n	1.0
mː_ə	m	1.0
m_#>	m_#>	1.0
lː	l	1.0
l	l	1.0
kː	ŋ_k	1.0
k_#>	k_#>	1.0
j	-	1.0
d_#>	t_#>	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_ˈɔ	<#_ˈʊ	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_ʋ	<#_v	1.0
<#_ɾ	<#_r	1.0
<#_ç	<#_kʰ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_kʰ	1.0
<#_j	<#_j	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
ˈɑ	ˈa	0.875
ˈuː	ˈaʊ̯	0.846
ˈʉː	ˈuː	0.833
n	n	0.8
ɾ	r	0.783
<#_ɡ	<#_ɡ	0.778
<#	<#_v	0.778
ə_#>	n_#>	0.774
ˈæɪ̯	ˈae̯	0.75
l_#>	l_#>	0.75
ˈʏ	ˈʏ	0.714
ˈoː	ˈɒː	0.692
ˈiː	ˈiː	0.667
<#_tʰ	<#_d	0.619
ˈyː	ˈae̯	0.6
k	k	0.6
nː_#>	n_d_#>	0.545
ˈæː	ˈiː	0.5
ˈæː	ɾ	0.5
ˈeː	ˈɛː	0.5
ˈeː	ˈae̯	0.5
ɡ	ɡ	0.5
ɡ	-	0.5
ŋː_#>	ŋ_k_#>	0.5
ŋː_#>	ŋ_#>	0.5
lː_#>	l_d_#>	0.5
lː_#>	l_#>	0.5
<#_s	<#_ʃ	0.5
<#_s	<#_z	0.5
nː_#>	n_#>	0.455
ˈɑː	ˈa	0.444
ˈœ	ˈɔʏ̯	0.4
ˈøː	ˈaʊ̯	0.4
k	-	0.4
<#_tʰ	<#_tʰ	0.381
ˈɛ	ˈɛ	0.333
ˈɑː	ˈɒː	0.333
ˈøː	ˈɔʏ̯	0.3
ˈøː	ˈoː	0.3
ˈʏ	ˈyː	0.286
#>	t_#>	0.286
ˈɛ	ˈʏ	0.25
ˈɛ	ˈɪ	0.25
ˈæɪ̯	ˈɛ	0.25
l_#>	ɡ_l_#>	0.25
ˈɑː	ˈaː	0.222
<#_ɡ	<#_j	0.222
<#	<#_j	0.222
ˈœ	ˈʏ	0.2
ˈœ	ˈœː	0.2
ˈœ	-	0.2
ˈyː	ˈyː	0.2
ˈyː	ˈiː	0.2
n	-	0.2
#>	n_#>	0.196
ˈʉː	ˈae̯	0.167
ˈɛ	-	0.167
ˈiː	ˈɪ	0.167
ˈiː	ˈae̯	0.167
#>	ç_#>	0.161
ˈuː	ˈuː	0.154
ˈoː	ˈoː	0.154
ˈoː	ˈaʊ̯	0.154
ɾ	-	0.13
ə_#>	ç_#>	0.129
ˈɑ	ˈɔ	0.125
#>	d_#>	0.125
ə_#>	ŋ_#>	0.097
ɾ	æ	0.087
#>	f_#>	0.071
#>	æ_#>	0.054
