Yiddish	Yiddish	probability
ˈʊ_n	ˈõː	1.0
ˈɪ_ʀ	ɐ	1.0
ˈɪ_n	ˈĩː	1.0
ˈaɪ̯_n	ˈɑ̃ɪ̯	1.0
ˈa_ʀ	ˈɛ_ɐ	1.0
ʧ	ʃ	1.0
ʦ	ʣ̥	1.0
ʃ	ʃ	1.0
ʀ_ə	ɐ	1.0
ɫ	l	1.0
ɪ	ɪ	1.0
ɡ_ʀ	ɡ̊_r	1.0
ə_ʀ	ɐ	1.0
ə_n	ə	1.0
ə_#>	#>	1.0
ə	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
z	s	1.0
v	β	1.0
t_ə	r	1.0
t	d̥	1.0
s_t	ʃ_d̥	1.0
s	s	1.0
p	b̥	1.0
n_d	n	1.0
m	m	1.0
k_s	ɡ̊_s	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d_ʀ	d̥_r	1.0
b_n	β_ə	1.0
a	ɑ	1.0
<#_ʀ	<#_r	1.0
ˈaɪ̯	ˈaɪ̯	0.947
ˈa	ˈɑ	0.906
d	d̥	0.85
b	b̥	0.826
ɡ	ɡ̊	0.706
ˈɪ	ˈɪ	0.69
ˈɛ	ˈɛ	0.69
ˈɛɪ̯_n	ˈɛ̃ː	0.667
n	n	0.594
ˈɛɪ̯	ˈɛː	0.556
ɡ_#>	ʃ_#>	0.556
ˈʊ	ˈu	0.552
ʀ	ɐ	0.529
χ	ʃ	0.5
χ	x	0.5
ɡ_n	ə	0.5
ɡ_n	n	0.5
ɛ	ə	0.5
ɛ	-	0.5
ʀ	r	0.471
k	kʰ	0.462
ˈɛɪ̯	ˈeː	0.444
ɡ_#>	#>	0.444
ˈɔ	ˈɔ	0.424
k	ɡ̊	0.423
n	ə	0.359
ˈɔɪ̯	ˈoː	0.346
ˈɔɪ̯	ˈau̯	0.346
ˈʊ	ˈuː	0.345
ˈɛɪ̯_n	ˈẽː	0.333
ˈɔɪ̯	ˈɑː	0.269
ˈɪ	ˈiː	0.262
ˈɔ	ˈɑː	0.242
ˈɔ	ˈoː	0.182
ɡ	x	0.176
ˈɛ	ˈɛː	0.172
d	r	0.15
ˈɛ	ˈeː	0.138
ˈɔ	ˈɑ	0.121
ɡ	j	0.118
k	ʃ	0.115
ˈʊ	ˈɔ	0.103
ˈa	ˈɑː	0.094
b	β	0.087
b	-	0.087
ˈaɪ̯	ˈi	0.053
