Scots	East Low German	probability
θ	d	1.0
ˈəi̯	ˈiː	1.0
ˈɑː_#>	ˈae̯_#>	1.0
ˈø	ˈaʊ̯	1.0
ˈu	ˈuː	1.0
ˈeː_r	ˈaː	1.0
ʧ	kʰ	1.0
ʍ	v	1.0
ʃ	ʃ	1.0
ə_r	æ	1.0
ŋ	ŋ	1.0
ð	ɾ	1.0
ç_t	ç	1.0
ç	x	1.0
z	s	1.0
tʰ	tʰ	1.0
r_n	æ_n	1.0
p	p	1.0
n_ˈe	n_ˈɒː	1.0
n	n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k_ə	k	1.0
k_s	s	1.0
j	j	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
b	b	1.0
<#_ˈɛ	<#_ˈa	1.0
t	t	0.952
w	v	0.864
ˈe	ˈae̯	0.833
k	k	0.833
ˈʌ	ˈʊ	0.8
ˈa	ˈa	0.75
ˈɑː	ˈa	0.667
d	d	0.619
ɡ	ɡ	0.615
ˈuː	ˈuː	0.6
x	x	0.6
#>	ç_#>	0.6
ˈo	ˈɔ	0.571
r	r	0.556
ˈɪ	ˈɪ	0.475
ˈɛ	ˈɛ	0.462
ˈo	ˈuː	0.429
ˈeː	ˈoː	0.429
s	z	0.409
ˈuː	ˈʊ_l	0.4
x	ç	0.4
ˈi	ˈɔʏ̯	0.389
ˈɑː	ˈa_l	0.333
ˈiː	ˈiː	0.333
ˈiː	ˈae̯	0.333
r	æ	0.333
d	t	0.31
s	ʃ	0.295
s	s	0.295
ˈeː	ˈɛ	0.286
ˈeː	ˈɒː_n	0.286
ˈa	ˈœ	0.25
ˈɛ	ˈae̯	0.231
ɡ	j	0.231
ˈi	ˈɒː	0.222
ˈi	ˈaʊ̯	0.222
ˈʌ	ˈɒː	0.2
#>	ɡ_n_#>	0.2
#>	b_m_#>	0.2
ˈiː	ˈyː	0.167
ˈiː	ˈae̯_ŋ	0.167
ˈi	ˈae̯	0.167
ˈe	ˈa	0.167
k	kʰ	0.167
ˈɛ	ˈɪ	0.154
ˈɛ	-	0.154
ɡ	ç	0.154
ˈɪ	ˈʏ	0.15
w	w	0.136
ˈɪ	ˈaʊ̯	0.075
d	-	0.071
r	-	0.067
