Gascon	Gascon	probability
ˈu_ŋ	ˈõ	1.0
ˈu_n	ˈo	1.0
ˈe_ʎ	ʎ_u	1.0
ˈe_n	ˈẽ	1.0
ˈa_ɣ	ˈa_ɡ	1.0
ˈa_ŋ	ˈɐ̃	1.0
ˈa_#>	ˈa_h_#>	1.0
ʤ	-	1.0
ʒ	ʒ	1.0
ɲ_#>	j̃_u_#>	1.0
ɲ	j̃	1.0
ŋ_k	k	1.0
ð_e	h	1.0
ð	d	1.0
z_ˈa	j	1.0
y	-	1.0
w_ˈe	ˈo	1.0
u_n	õ	1.0
s_t	ʃ_t	1.0
s_a	s_a	1.0
r_#>	#>	1.0
p	p	1.0
n_ˈu	n_ˈɔ	1.0
mː	m	1.0
m_e	ũ	1.0
l_ˈu	ˈo_h	1.0
l_ɔ	ɐ	1.0
k_ɾ	k	1.0
k_l	ʃ	1.0
k_#>	ɡ_u_#>	1.0
h	f	1.0
f	f	1.0
e_#>	#>	1.0
d_ɾ	h	1.0
a_#>	ɐ_#>	1.0
<#_ʎ	<#_l	1.0
<#_ɡ	<#_ɡ	1.0
<#_w	<#_ˈo	1.0
<#_t	<#_t	1.0
<#_p_l	<#_ʃ	1.0
<#_n	<#_n	1.0
<#_e	<#_e	1.0
<#_a_w	<#_o	1.0
<#_a_r	<#_h	1.0
ɔ	ɐ	0.942
m	m	0.938
k	k	0.935
<#_d	<#_d	0.867
a	a	0.85
ˈɛ	ˈɛ	0.808
s_#>	ʃ_#>	0.8
s	s	0.795
ɾ	ɾ	0.781
ɣ	ɡ	0.778
ʦ	j_ʃ	0.75
z	z	0.75
w_#>	w_#>	0.75
l	l	0.735
ʎ	ʎ	0.727
<#_ˈa	<#_ˈa	0.714
n_#>	t_u_#>	0.667
i	i	0.667
n	-	0.625
#>	u_#>	0.613
b	v	0.588
ˈe	ˈe	0.571
ˈi	ˈi	0.562
u	o	0.562
β	b	0.556
ŋ	w̃	0.55
ˈɔ	ˈɔ	0.529
j	j	0.52
ʃ	ʃ	0.5
ʃ	s	0.5
ˈɔ	ˈo	0.471
ˈa	ˈa	0.453
β	v	0.444
ˈu	ˈo	0.435
ˈy	ˈu	0.417
b	b	0.412
j	-	0.4
t	t	0.383
n	n	0.375
ˈa	ˈɐ̃	0.358
w	w	0.345
ˈy	ˈũ	0.333
n_#>	ʧ_i_#>	0.333
i	ĩ	0.333
r	ɦ	0.316
e	e	0.3
<#_ˈa	<#_ˈo	0.286
#>	i_#>	0.274
ʎ	ʎ_u	0.273
l	-	0.265
r	ɾ	0.263
r	h	0.263
ʦ	s_u	0.25
ŋ	j̃	0.25
z	-	0.25
w_#>	#>	0.25
ɣ	ɡ_w	0.222
w	-	0.207
s_#>	#>	0.2
u	u	0.188
e	ˈe_h	0.175
e	i	0.175
ˈu	ˈõ	0.174
ˈe	ˈẽ	0.167
s	ʃ	0.159
r	ɦ_n	0.158
ˈi	ˈĩ	0.156
ˈi	ˈe	0.156
a	-	0.15
w	v	0.138
<#_d	<#	0.133
ˈu	ˈɔ	0.13
ˈu	ˈɐ̃	0.13
ˈu	-	0.13
t	ʧ	0.128
ˈy	ˈu_ɾ	0.125
ˈy	ˈo	0.125
ɾ	-	0.125
u	ˈɔ	0.125
u	-	0.125
ˈe	-	0.119
ˈɛ	-	0.115
#>	h_#>	0.113
t	l_u	0.106
t	d_u	0.106
w	v_i	0.103
ŋ	u	0.1
ŋ	-	0.1
e	ɾ_i	0.1
ˈa	ˈo	0.094
ɾ	l	0.094
t	ʤ	0.085
j	ˈe	0.08
ˈɛ	ˈe	0.077
e	ɾ	0.075
e	u	0.075
ˈe	ˈi	0.071
ˈe	ˈe_j	0.071
w	ˈo	0.069
w	v_u	0.069
w	u	0.069
k	ɡ	0.065
t	-	0.064
ˈi	ˈĩ_j̃	0.062
ˈi	-	0.062
m	-	0.062
ˈa	ˈɔ	0.057
