Proto-Slavic	Proto-Slavic	probability
̌_#>	ˈ_#>	1.0
̂_t	t	1.0
ˀ_l	ˈ_ʋ	1.0
ˀ	ˈ	1.0
ʦ	ʦʲ	1.0
ʎ	lʲ	1.0
ʃ_eː	ʃʲ	1.0
ɲ	nʲ	1.0
ɨː	ɪ	1.0
ɛː	i	1.0
x	x	1.0
ŭ_̌	ɔ_ˈ	1.0
ŭ_t	ɔ_tʲ	1.0
ŭ_#>	#>	1.0
uː_̂	ʊ	1.0
uː	u	1.0
u	u	1.0
tʲ	ʧ	1.0
t_ŭ_#>	t_#>	1.0
t_ĭ	tʲ	1.0
s_ŭ	s	1.0
rʲ	r	1.0
r_ŭ_#>	r_#>	1.0
o_d	ɔ_d	1.0
o_#>	ɔ_#>	1.0
m_ĭ	i_m	1.0
l_ĭ_#>	lʲ_#>	1.0
k_ŭ_#>	k_#>	1.0
j_ĭ	j	1.0
ĭː	ɛ	1.0
ĭ_ʧ	ʤ	1.0
ĭ_ʦ	ʦ	1.0
ĭ_#>	#>	1.0
iː	ɪ	1.0
i_#>	e_#>	1.0
i	ɪ	1.0
d_l	ɫ	1.0
d_ĭ	d	1.0
aː	ɑ	1.0
a_#>	ɐ_#>	1.0
<#_x	<#_x	1.0
<#_v	<#_ʋ	1.0
<#_t	<#_t	1.0
<#_r	<#_rʲ	1.0
<#_n	<#_nʲ	1.0
<#_l	<#_lʲ	1.0
<#_k	<#_k	1.0
<#_d	<#_d	1.0
̌	ˈ	0.949
̂	ˈ	0.941
b	b	0.938
ʒ	ʒ	0.857
z	z	0.857
t	t	0.857
k	k	0.857
n	n	0.842
ʧ	ʧ	0.833
p	p	0.833
a	ɑ	0.828
m	m	0.824
ɡ	ɦ	0.818
r	r	0.774
ɨ	ɪ	0.75
s	s	0.743
oː	ɔ	0.714
#>	ˈ_#>	0.714
õː	u	0.7
l	ɫ	0.667
d	d	0.667
l_ŭ	ɫ	0.625
o	ɔ	0.618
ẽː	ɐ	0.6
ẽ	ɐ	0.6
ŭ	e	0.533
j	j	0.5
j	-	0.5
e	ɛ	0.452
v	ʋ	0.423
ẽː	j_ɑ	0.4
ẽ	ɑ	0.4
<#	<#_w	0.4
<#	<#_j	0.4
l_ŭ	ɫ_e	0.375
v	ʋʲ	0.346
o	i	0.324
ĭ	ɛ	0.312
ĭ	ɔ	0.312
õː	ʊ	0.3
oː	i	0.286
#>	ɐ_#>	0.286
s	sʲ	0.257
ɨ	-	0.25
v	w	0.231
ŭ	ɪ_ˈ	0.2
<#	<#_z	0.2
e	ɔ	0.194
ɡ	-	0.182
m	mʲ	0.176
ʧ	ʧʲ	0.167
ŭ	-	0.167
p	pʲ	0.167
r	-	0.161
e	i	0.161
n	nʲ	0.158
l	lʲ	0.148
ʒ	ʒʲ	0.143
z	zʲ	0.143
t	tʲ	0.143
k	kʲ	0.143
d	ɔ_d	0.133
d	-	0.133
ĭ	ɛ_ˈ	0.125
ĭ	e	0.125
ĭ	-	0.125
l	-	0.111
a	a	0.103
ŭ	ɔ	0.1
e	e	0.097
e	-	0.097
l	ʍ	0.074
a	ɐ	0.069
d	dʲ	0.067
r	rʲ	0.065
b	bʲ	0.062
̂	-	0.059
o	ɔ_r	0.059
̌	ɔ_ˈ	0.051
