Yiddish	German	probability
ˈɪ_ʀ	ˈiː_ɐ	1.0
ˈɔ_n	ˈoː_n	1.0
ˈa_ʀ	ˈɛ_ɐ	1.0
ʧ	ʃ	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ʀ_ɛ	ɐ	1.0
ʀ_ə	ɐ	1.0
ɫ_ˈɔ	l_ˈaː	1.0
ɫ	l	1.0
ɪ	ɪ	1.0
ɡ_#>	#>	1.0
ɛ	-	1.0
ə_ʀ	ɐ	1.0
ə_n	ə_n	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
v	v	1.0
t_ʀ	tʰ_ʁ	1.0
s	s	1.0
n_t	n_d̥	1.0
m	m	1.0
k_ə	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
<#_ʀ	<#_ʁ	1.0
ˈa	ˈa	0.941
n	n	0.933
b	b	0.889
ˈɛɪ̯	ˈaɪ̯	0.867
t	t	0.804
ɡ	ɡ	0.767
z	z	0.75
ˈɔɪ̯	ˈaʊ̯	0.667
ˈaɪ̯	ˈaɪ̯	0.667
d	d	0.655
ə	-	0.6
ˈɪ	ˈɪ	0.568
ʀ	ʁ	0.562
χ	ç	0.522
ˈɛ	ˈɛ	0.516
p	p͡f	0.5
p	p	0.5
k	kʰ	0.5
χ	x	0.478
ˈɔ	ˈaː	0.452
ˈʊ	ˈʊ	0.448
ʀ	ɐ	0.438
ə	ə	0.4
ˈɔ	ˈɔ	0.387
ˈʊ	ˈuː	0.379
k	k	0.346
ˈɔɪ̯	ˈoː	0.333
ˈaɪ̯	ˈɔʏ̯	0.333
d	d̥	0.276
ˈɛ	ˈeː	0.258
z	s	0.25
ˈɪ	ˈiː	0.205
t	tʰ	0.196
ˈʊ	ˈɔ	0.172
k	ç	0.154
ˈɛɪ̯	ˈeː	0.133
ɡ	ɡ̊	0.133
ˈɪ	ˈʏ	0.114
ˈɪ	ˈyː	0.114
b	b̥	0.111
ɡ	ə	0.1
ˈɛ	ˈɛː	0.097
ˈɔ	ˈa	0.097
d	-	0.069
ˈɛ	ˈœ	0.065
ˈɛ	ˈøː	0.065
ˈɔ	ˈʊ	0.065
ˈa	ˈaː	0.059
