Ladin	Occitan	probability
#>	e_#>	1.0
<#_a	<#_a	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_ʒ	<#_ʤ	1.0
<#_ʨ	<#_k	1.0
<#_ˈa	<#_ˈa	1.0
a_#>	ɔ_#>	1.0
a_d	a_ð	1.0
a_n	a_n	1.0
a_v	a_β	1.0
d_e	d_ɾ	1.0
e_#>	e_#>	1.0
e_n	e_n	1.0
i	i	1.0
j_#>	ˈe_#>	1.0
j_ˈɛ	ˈɛ	1.0
k_#>	k_#>	1.0
l_#>	l_#>	1.0
l_a	l	1.0
l_b	β	1.0
l_ˈa	l_ˈa	1.0
m_#>	m_#>	1.0
n	n	1.0
n_#>	#>	1.0
n_t_#>	n_#>	1.0
o	u	1.0
p_#>	s_#>	1.0
r_ˈa	ɾ_ˈa	1.0
s_#>	s_#>	1.0
s_t	s_t	1.0
w	ɥ	1.0
ŋ	ŋ	1.0
ɲ_#>	ɲ_#>	1.0
ʃ	s	1.0
ʃ_#>	ʦ_#>	1.0
ʃ_p	s_p	1.0
ʦ	ʦ	1.0
ʧ	s	1.0
ʨ_a	k_ɔ	1.0
ˈa	ˈa	1.0
ˈa_n	ˈa_n	1.0
ˈa_n_#>	ˈa_#>	1.0
ˈa_w	ˈa_w	1.0
ˈa_ŋ	ˈa_ŋ	1.0
ˈe_#>	ˈa_#>	1.0
ˈe_j	ˈe	1.0
ˈi	ˈi	1.0
ˈi_#>	ˈi_#>	1.0
ˈi_n	ˈi_n	1.0
ˈɔ_n	ˈu_n	1.0
ˈɛ_d	ˈɛ	1.0
ˈɛ_n	ˈɛ_n	1.0
ˈɛ_n_#>	ˈe_#>	1.0
ˈɛ_r	ˈɛ_r	1.0
r	-	0.051
r_#>	r_#>	0.211
t_#>	t_#>	0.611
ˈe	ˈe_j	0.111
ˈɔ	ˈa_w	0.111
ˈɛ	-	0.051
ˈɛ	j_ˈɛ	0.051
<#	<#_s	0.2
<#	<#_e	0.32
<#_ɡ	<#_ʤ	0.222
a	-	0.312
m	m_b	0.2
r	r	0.282
w_ˈɛ	ɥ_ˈɔ	0.222
w_ˈɛ	ˈa_w	0.222
ˈo	ˈu	0.842
ˈo_w	β	0.2
ˈɔ	ˈɔ	0.722
d	-	0.333
j	j	0.583
t	t	0.833
ɡ	-	0.333
ɲ	ɲ_ɔ	0.333
ɲ	n	0.333
ɲ	ɲ	0.333
ʒ	z	0.333
f_#>	w_#>	0.714
r_#>	#>	0.684
v	β	0.714
ˈu	ˈu	0.214
ˈɛ	ˈɛ	0.564
<#_s	<#_e	0.095
<#_s	<#_s	0.905
d	ð	0.5
e	a	0.15
e	ɾ_e	0.25
e	-	0.25
e	e	0.35
j	e	0.25
k	k	0.5
k	s_k	0.5
l	l_ɔ	0.15
l	l	0.85
r_#>	e_#>	0.105
ʨ	s	0.25
ʨ	-	0.75
ˈe	-	0.185
<#	<#_v	0.16
<#	<#_a	0.16
f_#>	p_#>	0.286
v	w_ɾ	0.286
w_ˈɛ	ˈɔ	0.556
ˈe	ˈe	0.556
ˈu	ˈy	0.786
ˈɛ	ˈa	0.256
d	ˈu	0.167
j	ʎ	0.167
r	ɾ	0.667
t	ð	0.167
ɡ	ɣ	0.667
ʒ	-	0.667
ˈɔ	ˈu	0.167
ˈɛ	ˈa_j	0.077
<#	<#_ɥ	0.08
<#	<#_ˈa	0.08
<#_ɡ	<#_ɡ	0.778
a	a	0.688
m	m	0.8
ˈe	ˈɛ	0.148
ˈo	ˈɔ	0.158
ˈo_w	ˈu	0.8
t_#>	ʧ_#>	0.389
