Brazilian Portuguese	Brazilian Portuguese	probability
ˈɔ_j	ˈu	1.0
ˈu	ˈy	1.0
ˈo_ɡ	ˈɛ	1.0
ˈo_w	ˈɔ	1.0
ˈo_j	ˈo	1.0
ˈe_h	r_ə	1.0
ˈa_ɡ	ˈɛ	1.0
ˈa_j	ˈa	1.0
ʤ	d	1.0
ʎ_u	ˈɛ_ʎ	1.0
ɾ_i	r_ə	1.0
ɦ_v	r_b	1.0
ɦ	r	1.0
ɡ_ɐ	j_ə	1.0
ɐ̃	ã	1.0
ɐ_#>	#>	1.0
w̃_#>	n_#>	1.0
w̃	j_n	1.0
v_u	ˈɛ_f	1.0
v_i	f	1.0
ũ	ũ_m	1.0
t_ɐ	t_ə	1.0
s_ˈe	s_ˈɛ	1.0
s_u	j_s	1.0
p	p	1.0
õ	ũ	1.0
m	m	1.0
l	l	1.0
k_ɾ	k_r	1.0
k_a	ʧ_ə	1.0
j_#>	#>	1.0
j	j	1.0
ĩ	ĩ	1.0
i_#>	#>	1.0
f	f	1.0
ẽ	-	1.0
d_ɐ	ə	1.0
d_u	t	1.0
<#_ˈo	<#_w	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_h	<#_r	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
<#_a	<#_a	1.0
<#	<#_e	1.0
ɐ	ə	0.966
h	r	0.897
u_#>	#>	0.85
ˈẽ	ˈẽ	0.846
ʎ	ʎ	0.833
ɾ	r	0.833
ˈõ	ˈũ	0.818
ʒ	ʤ	0.8
i	-	0.8
v	v	0.786
ˈĩ	ˈĩ	0.75
w_#>	l_#>	0.75
n	n	0.75
d	-	0.75
ʃ	s	0.718
ˈi	ˈi	0.696
o	u	0.692
ˈe_j	ˈi	0.667
b	v	0.667
<#_ɡ	<#_ɡ	0.667
ˈɛ	ˈɛ	0.65
ɡ	-	0.643
a	a	0.643
w	w	0.615
#>	ə_#>	0.615
ʧ	t	0.6
ɾ_ˈe	r_ˈi	0.6
ˈɐ̃	ˈã	0.583
t	t	0.571
t_u	n_t	0.545
s	ʦ	0.542
ˈũ	ˈỹ	0.5
ˈũ	-	0.5
ʤ_i	θ	0.5
ʤ_i	t	0.5
z	z	0.5
z	-	0.5
k	k	0.488
j̃	n	0.476
ˈɔ	ˈɔ	0.471
s	s	0.458
t_u	t	0.455
ˈa	ˈa	0.425
e	e	0.417
ʧ	n_t	0.4
ɾ_ˈe	r	0.4
u	j	0.4
u	-	0.4
#>	n_#>	0.385
k	ʧ	0.366
ɡ	ɡ	0.357
ˈe_j	j	0.333
j̃	ɲ	0.333
e	ə	0.333
b	-	0.333
<#_ɡ	<#	0.333
o	-	0.308
ˈo	ˈu	0.296
ˈe	ˈɔ_j	0.296
t	n_t	0.286
ˈĩ	-	0.25
ˈa	ˈe	0.25
w_#>	#>	0.25
n	-	0.25
d	d	0.25
ˈɔ	w	0.235
w	l	0.231
ˈo	ˈɔ	0.222
a	-	0.214
ˈɐ̃	ˈã_j	0.208
ˈɛ	j_ˈɛ	0.2
ˈa	ˈɛ	0.2
ʒ	-	0.2
u	l	0.2
i	r	0.2
ˈo	ˈy	0.185
ˈõ	ˈũ_n	0.182
ˈɔ	ˈu	0.176
ʎ	-	0.167
ˈẽ	ˈã	0.154
w	-	0.154
ˈɛ	ˈe	0.15
ˈo	ˈũ_n	0.148
ˈe	ˈɛ	0.148
ˈe	ˈɔ	0.148
ˈe	ˈi	0.148
v	-	0.143
t	-	0.143
a	ˈa	0.143
ˈi	-	0.13
ˈɐ̃	ˈũ	0.125
ˈɔ	w_ˈɛ	0.118
ˈe	j	0.111
ʃ	p_l	0.103
h	r_ə	0.103
ɾ	r_ə	0.1
k	ʧ_j	0.098
j̃	j	0.095
j̃	-	0.095
ˈi	ˈɔ_j	0.087
ˈi	ˈɔ	0.087
ˈɐ̃	j	0.083
e	ˈɔ_j	0.083
e	ɛ	0.083
e	-	0.083
ʃ	ʦ	0.077
ˈa	j_ˈe	0.075
ˈo	w_ˈɛ	0.074
ˈo	-	0.074
ˈe	ˈa	0.074
ˈe	ə	0.074
v	v_ə	0.071
ɾ	-	0.067
u_#>	w_#>	0.067
ʃ	k_l	0.051
ʃ	f_l	0.051
