Danish	American English	probability
ˈɔ	ˈʌ	1.0
ˈɒː	-	1.0
ˈœː	ˈɛ	1.0
ˈœˀ_ð̞ˠ	ˈɛ_d	1.0
ˈœˀ	ˈi	1.0
ˈøː	ˈi	1.0
ˈø	ˈɪ	1.0
ˈæˀ	ˈeɪ̯	1.0
ˈyː_w	ˈaɪ̯	1.0
ˈyː	-	1.0
ˈy	ˈɪ	1.0
ˈoː	-	1.0
ʨ	θ	1.0
ʁ_ˈœ	ɹ	1.0
ʁ	ɹ	1.0
ɡ̊_ə	ŋ_k	1.0
ɕ	s	1.0
ɐˀ_n	ɹ_n	1.0
ŋˀ	ŋ	1.0
ŋ	ŋ	1.0
ð̞ˠ_ə	ʔ	1.0
w_ə	v	1.0
s_ɡ̊	ʃ	1.0
s_ə	z	1.0
s	s	1.0
pʰ	pʰ	1.0
n_ə	n	1.0
mˀ	m	1.0
m_ˈɔː	m	1.0
m	m	1.0
kʰ_n	n	1.0
kʰ	kʰ	1.0
i	i	1.0
h_ˈɛː	h	1.0
h	h	1.0
f	f	1.0
e	-	1.0
d̥	t	1.0
b̥_ə	p	1.0
b̥_j	b	1.0
b̥	b	0.867
n	n	0.864
ʋ	w	0.85
ˈuˀ	ˈaʊ̯	0.797
w	v	0.758
l	l	0.724
ə	-	0.696
ɐˀ	ɹ	0.628
ˈɑ	-	0.609
ˈɔˀ	ˈi	0.6
ˈeˀ	ˈoʊ̯	0.598
ˈœ	ˈʌ	0.59
ˈɛˀ	-	0.587
ˈiː	-	0.587
ð̞ˠ	d	0.583
ˈiˀ	ˈaɪ̯	0.582
ʦʰ	θ	0.582
ˈøˀ	ˈi	0.576
ɐ	ɚ	0.575
nˀ	n_d	0.571
ˈyˀ	-	0.556
lˀ	ɫ	0.544
ˈɑˀ	ˈɑ_ɹ	0.519
j	-	0.507
ˈo	ˈɔ	0.502
ˈuː	ˈʌ	0.5
ˈuː	-	0.5
ˈɑˀ	-	0.481
ˈʌ	-	0.477
ˈu	ˈʌ	0.465
ˈyˀ	ˈi	0.444
nˀ	n	0.429
ˈøˀ	ˈɛ	0.424
ˈiˀ	ˈɪ	0.418
ʦʰ	tʰ	0.418
ˈɛˀ	ˈi	0.413
ˈiː	ˈaɪ̯	0.413
ˈœ	ˈɪ	0.41
ˈɔˀ	-	0.4
ˈe	ˈɪ	0.397
ɐˀ	ˈɝ	0.372
ɡ̊	ʤ	0.36
ˈʌ	ˈʌ	0.341
ɐ	ɹ	0.304
ˈo	-	0.297
ˈæ	ˈɛə̯	0.286
l	ɫ	0.276
j	k	0.274
ˈɛ	ˈɑ	0.272
ˈoˀ	ˈʊ	0.271
ˈæ	ˈæ	0.262
ˈeˀ	ˈɛ	0.262
ɡ̊	ˈu	0.262
ˈoˀ	ˈu	0.259
ˈoˀ	ˈaʊ̯	0.259
ɡ̊	k	0.25
ˈe	ˈaɪ̯	0.248
ˈe	ˈɛ	0.246
w	k	0.242
ˈɑ	ɹ	0.24
ð̞ˠ	ˈi_ʔ	0.233
j	ˈeɪ̯	0.219
ˈɛ	ˈɪ	0.218
ˈoˀ	-	0.211
ˈæ	ˈɑ	0.205
ˈuˀ	ˈaɪ̯	0.203
ˈo	w	0.201
ˈu	-	0.195
lˀ	f	0.192
ˈu	ˈaʊ̯	0.186
ð̞ˠ	θ	0.183
ˈʌ	ɫ	0.182
ə	k	0.178
ˈɛ	ˈɛ	0.173
ˈɛ	-	0.173
ˈɛ	ˈæ	0.164
lˀ	ɫ_d	0.155
ˈu	ˈʊ	0.154
ˈɑ	ˈʌɪ̯	0.151
ˈæ	-	0.146
ˈeˀ	ˈɪ	0.14
b̥	p	0.133
ɡ̊	-	0.128
ə	d	0.126
ɐ	ð_ɚ	0.122
ˈe	-	0.109
lˀ	d	0.109
ˈæ	ˈeɪ̯	0.101
n	-	0.099
ʋ	w_ˈɔ	0.091
ʋ	-	0.059
