East Low German	American English	probability
ˈɔʏ̯	ˈi	1.0
ˈœː	ˈʌ	1.0
ˈyː	ˈi	1.0
ˈiː_#>	ˈi_#>	1.0
ˈeː	ˈoʊ̯	1.0
ˈaʊ̯_x	ˈaɪ̯	1.0
ˈaʊ̯_t	ˈɛ_d	1.0
ˈae̯_ŋ	ˈaɪ̯	1.0
ˈa_x	ˈeɪ̯	1.0
ˈa_l	ˈæ	1.0
ɾ	ð	1.0
ɪ	i	1.0
ɡ_l	ɫ	1.0
ŋ	ŋ	1.0
ç_#>	#>	1.0
æ_n	ɹ_n	1.0
z	s	1.0
x	-	1.0
w	w	1.0
v	w	1.0
tʰ	tʰ	1.0
t_n	ʔ	1.0
r	ɹ	1.0
p	p	1.0
kʰ_n	n	1.0
k_#>	#>	1.0
h	h	1.0
b_m	v	1.0
b	b	1.0
m	m	0.923
f	f	0.906
k	k	0.812
ˈʊ	ˈʌ	0.75
ˈɛ	ˈɛ	0.75
ɡ	ɡ	0.75
s	s	0.75
æ	ɚ	0.719
n	n	0.689
kʰ	kʰ	0.667
d	d	0.644
ˈʏ	ˈɪ	0.6
ˈoː	ˈɛ	0.6
ˈa	ˈæ	0.6
ç	ʤ	0.6
ˈuː	ˈaʊ̯	0.562
ˈɔ	ˈɑ	0.556
l	ɫ	0.543
ʃ	ʃ	0.52
ˈɪ	ˈɪ	0.5
ˈɛː	ˈɛ	0.5
ˈɛː	ˈi	0.5
ˈaː	ˈɑ_ɹ	0.5
ˈaː	ˈæ	0.5
j	ɡ	0.5
j	j	0.5
ʃ	s	0.48
ˈiː	ˈaɪ̯	0.462
l	l	0.457
t	ʔ	0.444
ˈoː	ˈi	0.4
ç	ʔ	0.4
ˈɒː	ˈi	0.385
ˈɒː	ˈeɪ̯	0.385
ˈae̯	ˈoʊ̯	0.368
d	θ	0.356
kʰ	ʧ	0.333
ˈae̯	ˈi	0.316
t	d	0.267
n	-	0.262
ˈʊ	ˈʊ	0.25
ˈɛ	ˈɪ	0.25
ˈuː	ˈɔ	0.25
ɡ	-	0.25
t	t	0.244
ˈaʊ̯	ˈu	0.235
ˈaʊ̯	ˈi	0.235
ˈɪ	ˈaɪ̯	0.231
ˈɒː	ˈʌ	0.231
ˈiː	ˈʌɪ̯	0.231
ˈɔ	ˈʌ	0.222
ˈɔ	ˈoʊ̯	0.222
ˈae̯	ˈɛ	0.211
ˈʏ	ˈʌ	0.2
ˈʏ	ˈɛ	0.2
ˈa	ˈɑ	0.2
ˈa	ˈeɪ̯	0.2
ˈuː	ˈʌ	0.188
æ	ɹ	0.188
k	ʧ	0.188
ˈaʊ̯	ˈʊ	0.176
ˈiː	ˈɪ	0.154
ˈiː	ˈi	0.154
s	z	0.125
s	k_s	0.125
ˈaʊ̯	ˈʌ	0.118
ˈaʊ̯	ˈoʊ̯	0.118
ˈaʊ̯	ˈaʊ̯	0.118
ˈɪ	ˈʌɪ̯	0.115
ˈae̯	ˈɪ	0.105
æ	d_ɚ	0.094
f	v	0.094
ˈɪ	ˈɛ	0.077
ˈɪ	ˈoʊ̯	0.077
m	v	0.077
