Brazilian Portuguese	Brazilian Portuguese	probability
ˈũ	ˈu	1.0
ˈu	ˈu	1.0
ˈo_ɡ	ˈɔ_k	1.0
ˈo_d	ˈu_tː	1.0
ˈo_b	ˈu_p	1.0
ˈĩ_j̃	ˈi_n	1.0
ˈe_j	ˈi_n	1.0
ˈe_h	ɪ	1.0
ˈa_d	ˈa_t	1.0
ʤ_i_#>	#>	1.0
ʤ	-	1.0
ʃ_t	s_t	1.0
ʃ_#>	#>	1.0
ɾ_ɐ	ɾ_a	1.0
ɾ_i	ɾ_ʊ	1.0
ɦ_n	ɾ_n	1.0
ɦ	ɾ	1.0
ũ	-	1.0
u_ʃ	ɪ	1.0
p	p	1.0
õ	-	1.0
n	nː	1.0
m_i	m_ɪ	1.0
l_e	l_i	1.0
j_t	tː	1.0
ĩ	-	1.0
h_k	r_k	1.0
ẽ	-	1.0
e_ʃ	ʃ	1.0
a_d	a_t	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_c	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_h	<#_ʐ	1.0
<#_d	<#_d	1.0
f	f	0.952
ɐ	a	0.922
ˈɛ	ˈɛ	0.909
u	ʊ	0.908
v	v	0.906
m	m	0.885
k	k	0.879
ˈa	ˈa	0.868
ˈi	ˈi	0.824
j_ʃ	ɕ_ɪ	0.75
d	t	0.75
<#_ˈo	<#_ˈɔ	0.714
<#	<#_a	0.714
ʧ	t	0.7
t	t	0.682
ʃ	ɪ	0.667
ˈɐ̃	ˈa	0.652
a	a	0.643
i	ɪ	0.633
z	ɾ	0.6
ˈo	ˈɔ	0.591
l	l	0.583
j	j	0.583
w̃	n_ʊ	0.556
ʎ	ɟː	0.538
ˈɔ	ˈu	0.533
ɡ	ɡ	0.524
s	s	0.523
ʒ	j	0.5
w	w	0.5
ˈe	ˈi	0.486
j̃	ɲː	0.471
ˈɔ	ˈɔ	0.467
ʎ	cː	0.462
b	b	0.458
ɾ	ɾ	0.444
w̃	n_ɪ	0.444
#>	ɪ_#>	0.44
e	i	0.438
ˈĩ	ˈi	0.429
o	-	0.417
ˈo	ˈu	0.409
ˈẽ	ˈɛ_n	0.4
ˈẽ	ˈi	0.4
z	-	0.4
ɡ	k	0.381
e	-	0.375
l	ɖː	0.361
a	ˈa	0.357
ʒ	ʤ	0.333
ʃ	ç	0.333
ɾ	r	0.333
o	u	0.333
ˈõ	ˈu	0.308
ˈõ	ˈo	0.308
h	ɾ_ɪ	0.306
ʧ	tː	0.3
ˈĩ	ˈi_ŋ	0.286
ˈĩ	ˈi_n	0.286
<#_ˈo	<#_ˈa	0.286
<#	<#_j	0.286
ˈɐ̃	ˈa_n	0.261
o	o	0.25
j_ʃ	ʃː	0.25
j	ɪ	0.25
h	r_ɪ	0.25
d	-	0.25
b	p	0.25
#>	ʊ_#>	0.24
#>	a_#>	0.24
j̃	n	0.235
ˈõ	ˈɔ	0.231
s	ɕ	0.227
ˈe	ˈɛ	0.216
ˈẽ	ˈɛ	0.2
e	ɪ	0.188
ˈi	-	0.176
ʒ	-	0.167
w	l	0.167
j	-	0.167
b	v	0.167
ˈõ	ˈɔ_n	0.154
h	ɪ_ɾ	0.139
h	ɪ	0.139
t	tː	0.136
i	ʊ	0.133
i	i	0.133
w	l_ɪ	0.125
w	-	0.125
b	-	0.125
k	kː	0.121
j̃	ʊ	0.118
j̃	ɪ	0.118
m	mː	0.115
ˈe	-	0.108
i	-	0.1
ɡ	-	0.095
ˈɛ	ˈi	0.091
t	ʧː	0.091
t	ʈ	0.091
s	ʦː	0.091
ˈɐ̃	ˈu	0.087
w	ɪ	0.083
ˈe	ɪ_ɾ	0.081
#>	l_ʊ_#>	0.08
ˈa	l_ˈa	0.079
ɾ	ˈa	0.074
ɾ	ɽ	0.074
ɾ	-	0.074
s	-	0.068
v	-	0.062
j̃	ɲ	0.059
l	-	0.056
h	ʐː	0.056
h	ɾ	0.056
h	r	0.056
ˈe	ˈi_ɾ	0.054
ˈe	i_ɾ	0.054
ˈa	ɾ	0.053
