Afrikaans	Afrikaans	probability
χ_ˈəɪ̯	j	1.0
χ_r	ɡ_r	1.0
ˈɪø̯	ˈøː	1.0
ˈɛː	ˈɛ	1.0
ˈə	ˈɪ	1.0
ˈɔː	-	1.0
ˈœ_r	ˈɔː	1.0
ˈœ	ˈʏ	1.0
ˈæː_r	ˈaː	1.0
ˈæː	-	1.0
ˈæ_ɫ	l	1.0
ˈyː	ˈyː	1.0
ˈoː	ˈaʊ̯	1.0
ˈa_ɫ	ˈaː	1.0
ˈa_r	ˈaː	1.0
ɫ	l	1.0
ɦ	h	1.0
ə_χ	i	1.0
ə_ŋ	n	1.0
ə_r	ɐ	1.0
ə_#>	#>	1.0
w	-	1.0
v̥_#>	m_#>	1.0
v	v	1.0
s_k	ʃ	1.0
r_t	d	1.0
r_s	s	1.0
n_d	n	1.0
m	m	1.0
j_ˈəɪ̯	ˈɛː	1.0
i	aɪ̯	1.0
d̥	d	1.0
d_ˈʊə̯	d_ˈaʊ̯	1.0
d_r	d_r	1.0
d	d	1.0
b	b	1.0
<#_p	<#_pʰ	1.0
v̥	f	0.967
ˈa	ˈa	0.857
ŋ	ŋ	0.846
n	n	0.846
p	b	0.833
ˈɑː	ˈoː	0.826
ˈœɪ̯	ˈuː	0.818
ˈəɪ̯	ˈiː	0.812
ˈʊə̯	ˈaʊ̯	0.737
ˈi	ˈaɪ̯	0.737
ˈɛ	-	0.667
ˈu	ˈaʊ̯	0.643
ˈæ	ˈɛ	0.6
j	-	0.6
ə	-	0.571
#>	m_#>	0.556
r	ɐ	0.553
ˈɔ	ˈʊ	0.542
n_d̥	n_n	0.5
n_d̥	n	0.5
r	r	0.447
#>	ŋ_#>	0.444
ə	ɪ	0.429
k	kʰ	0.419
t	d	0.415
ˈæ	-	0.4
j	ʒ	0.4
ˈɪə̯	ˈeː	0.389
k	ɡ	0.387
χ	ɡ	0.382
s	z	0.364
ˈu	ˈɔʏ̯	0.357
ˈɪə̯	ˈaɪ̯	0.333
ˈɛ	ˈø	0.333
ˈœu̯	ˈaʊ̯_l	0.333
ˈœu̯	l	0.333
ˈœu̯	-	0.333
s	ʃ	0.327
χ	ç	0.294
ˈɔ	ˈɔ	0.292
ˈɪə̯	-	0.278
χ	x	0.265
ˈʊə̯	ˈɔʏ̯	0.263
ˈi	-	0.263
t	tʰ	0.244
t	t	0.22
ˈəɪ̯	-	0.188
ˈœɪ̯	ˈyː	0.182
ˈɑː	-	0.174
ˈɔ	-	0.167
p	p	0.167
s	s	0.164
ŋ	ç	0.154
s	z̥	0.145
ˈa	-	0.143
t	d_n	0.122
k	ɡ_n	0.097
k	k	0.097
χ	n	0.059
n	ˈʏ_n	0.058
n	-	0.058
