Walloon	Walloon	probability
ˈɛ̃ː	-	1.0
ˈɛː	-	1.0
ˈɛ_j	ˈi_lː	1.0
ˈœ̃	ˈu_ɲː	1.0
ˈyː	ˈɔ	1.0
ˈy	ˈu	1.0
ˈoː	ˈɔ	1.0
ˈeː	-	1.0
ʧ_ɛ	k_a	1.0
ʒ	-	1.0
ɲː	ʤ_i	1.0
ɲ	ɲː	1.0
ɡ	ɡ	1.0
ɔ̃	o_n	1.0
ɔː	a	1.0
w_ˈɛː	ˈe	1.0
w_ˈa	w_ˈa	1.0
uː	u	1.0
p_#>	b_e_r_o_#>	1.0
p	p	1.0
j_ˈɛ	ˈɛ	1.0
ẽ	i_ŋ	1.0
d_w	d	1.0
d	d	1.0
<#_ʀ	<#_r	1.0
<#_ɔ	<#_o	1.0
<#_t	<#_t	1.0
<#_s	<#_ʧ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
ʀ	r	0.923
v	v	0.92
m	m	0.917
k	k	0.885
b	b	0.875
ʤ	ʤ	0.833
n	n	0.824
a	a	0.75
ɔ	o	0.714
f	f	0.71
s	s	0.694
ˈɑ̃	ˈa_n	0.667
ˈẽ	ˈi_n	0.667
<#_a	<#_a	0.6
ˈɛ_#>	#>	0.571
l	j	0.55
ˈɔ	ˈo	0.526
t	t	0.524
ˈɔː	ˈa	0.5
ˈu	ˈu	0.5
ˈu	-	0.5
ˈi	ˈi	0.5
ɛ	e	0.5
ɛ	-	0.5
i	i	0.5
i	-	0.5
ˈe	ˈa_r	0.471
l	l	0.45
ʧ	k	0.438
ˈɛ_#>	e_#>	0.429
ˈuː	w_ˈɔ	0.417
#>	o_#>	0.408
ˈɔ̃	ˈo_n	0.4
<#_a	<#	0.4
ˈɛ̃	ˈɛ_n	0.375
ˈɔ	ˈɔ	0.368
ˈøː	ˈo	0.364
ʃ	ʃː	0.364
ʃ	s_k	0.364
ˈa	ˈa	0.346
ˈɑ̃	ˈa	0.333
ˈiː	ˈi	0.333
ˈi	ˈi_r	0.333
ˈẽ	n_e	0.333
w	ˈe	0.333
#>	e_#>	0.319
j	ˈɛ	0.296
ˈe	ˈa	0.294
w	ˈɔ	0.292
ˈɔː	ˈa_l	0.286
ɔ	ˈɔ	0.286
ˈɛ	ˈe	0.28
ˈøː	ˈu	0.273
ʃ	-	0.273
ˈa	lː	0.269
ˈuː	ˈɔ	0.25
ʧ	kː	0.25
a	e	0.25
ˈiː	ˈɛ	0.238
ˈiː	ˈa	0.238
t	tː	0.238
#>	a_#>	0.23
j	a	0.222
ˈɔː	-	0.214
ˈɔ̃	ˈu_n	0.2
ˈa	r	0.192
ˈɛ̃	ˈa_n	0.188
ˈɛ̃	n	0.188
ʧ	k_a	0.188
ˈøː	ˈɔ_k	0.182
ˈøː	ˈe	0.182
n	a	0.176
ˈuː	ˈo_r	0.167
ˈuː	ˈo	0.167
ˈi	-	0.167
ʤ	-	0.167
w	ˈa	0.167
ˈɛ	ˈɛ	0.16
ˈɛ	ˈa	0.16
j	e	0.148
t	e_r	0.143
ˈɔ̃	ˈɔ_n	0.133
ˈɔ̃	ˈu_ŋ	0.133
ˈɔ̃	ˈo	0.133
f	v	0.129
ˈɛ̃	ˈe_n	0.125
ˈɛ̃	ˈa	0.125
ʧ	k_ˈa	0.125
w	ˈo_ʧ	0.125
b	b_w	0.125
ˈɛ	ˈi	0.12
ˈe	r	0.118
ˈe	-	0.118
ˈa	-	0.115
k	ɡ	0.115
j	ʎː_a	0.111
ˈɔ	ˈu_tː	0.105
ˈiː	ˈa_r	0.095
ˈiː	j_ˈɛ	0.095
t	t_r	0.095
w	-	0.083
s	s_t	0.083
m	mː	0.083
ˈɛ	ˈi_t	0.08
ˈɛ	ˈa_d	0.08
ˈɛ	e	0.08
v	p	0.08
ˈa	o	0.077
j	ˈi	0.074
j	t_a	0.074
j	kː_j	0.074
f	p_r	0.065
f	p	0.065
s	ʧː	0.056
s	ʧ	0.056
s	ʦ	0.056
s	-	0.056
