Luxembourgish	Luxembourgish	probability
ˈɛː	-	1.0
ˈɛ	-	1.0
ˈɔ	ˈʊ	1.0
ˈɑʊ̯	ˈuː	1.0
ˈɑ_l	ˈaː	1.0
ˈæːʊ̯	ˈuː	1.0
ˈæ	-	1.0
ˈuː_ɐ	ˈɔː	1.0
ˈuː	-	1.0
ˈoː	ˈoː	1.0
ˈiː_ɐ	ˈaː	1.0
ˈiə̯	-	1.0
ˈe_ŋ	n	1.0
ˈe	ˈʏ	1.0
ʑ	-	1.0
ʃ_t	s	1.0
ʀ_ə	ɐ	1.0
ʀ_#>	ɐ_n_#>	1.0
ɡ̊	-	1.0
ɡ	ɡ	1.0
ə_ɕ	i	1.0
ə_n	ŋ	1.0
ɕ_ə	ɡ	1.0
ɕ_t	ç	1.0
ɐ	ɐ	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
z	z	1.0
w	v	1.0
v̥	f	1.0
v_ə	m	1.0
v	v	1.0
tʰ	tʰ	1.0
pʰ	pʰ	1.0
p	b	1.0
n_ə	n	1.0
n_d̥	n	1.0
n_#>	#>	1.0
m	m	1.0
kʰ	kʰ	1.0
j	ʒ	1.0
h	h	1.0
f_ə	b_m	1.0
f	f	1.0
e	aɪ̯	1.0
d̥	d	1.0
d_ˈiː	ˈɛː	1.0
d_ˈe	d_ˈɪ	1.0
d	d	1.0
b_ˈiː	b	1.0
b	b	1.0
<#_ˈeː	<#	1.0
<#_n	<#_n	1.0
n	n	0.966
l	l	0.959
ə	-	0.95
ʀ	r	0.933
ʃ	ʃ	0.867
ˈəʊ̯	ˈaʊ̯	0.818
ˈæːɪ̯	ˈiː	0.75
ˈu	-	0.7
s	d	0.667
k	ɡ	0.667
f_#>	b_#>	0.667
ˈeː	ˈaɪ̯	0.643
ʦ	tʰ	0.643
χ	ɡ	0.571
t	d	0.562
ˈɜɪ̯	ˈaɪ̯	0.522
ˈʊ	ˈaʊ̯	0.5
ˈʊ	-	0.5
ˈuə̯	ˈoː	0.5
ˈuə̯	ˈa	0.5
ˈo	ˈʊ	0.5
ˈiː	ˈɪ	0.5
ˈiː	ˈøː	0.5
ˈi	ˈɔʏ̯	0.5
ˈi	-	0.5
#>	ç_#>	0.5
#>	d_#>	0.5
ˈɑ	ˈɪ	0.476
ˈə	ˈɪ	0.471
ˈaː	ˈa	0.467
ˈɑɪ̯	ˈiː	0.444
t	t	0.438
χ	x	0.429
ɕ	ɡ	0.429
ˈeː	-	0.357
ʦ	d	0.357
ˈɑɪ̯	ˈyː	0.333
ˈɑ	ˈa	0.333
k	ç	0.333
f_#>	#>	0.333
ˈu	ˈaʊ̯	0.3
ˈaː	ˈaʊ̯	0.3
ˈə	ˈʏ	0.294
ɕ	ç	0.286
ɕ	x	0.286
ˈo	-	0.278
ˈæːɪ̯	-	0.25
ˈə	-	0.235
ˈɑɪ̯	-	0.222
ˈo	ˈɔ	0.222
s	ˈeː_d	0.2
ˈəʊ̯	ˈoː	0.182
ˈɜɪ̯	ˈɔʏ̯	0.174
ˈaː	ˈoː	0.133
ʃ	s	0.133
s	ˈɪ_d	0.133
ˈɜɪ̯	-	0.13
ˈaː	ˈaː	0.1
ˈɑ	ˈɔ	0.095
ˈɑ	-	0.095
ˈɜɪ̯	ˈoː	0.087
ˈɜɪ̯	ˈaʊ̯	0.087
ʀ	-	0.067
