Yiddish	Yiddish	probability
χ_t	χ	1.0
ˈɪ_n	ˈəɪ̯	1.0
ˈɛɪ̯_n	n	1.0
ˈɛ_n	ˈi_n	1.0
ˈɔ_ɫ	ˈɔ_ɫ	1.0
ˈaɪ̯_ʦ	i	1.0
ˈaɪ̯_ə	ˈyː	1.0
ˈa_ɫ	ˈœu̯	1.0
ʧ	s	1.0
ʦ	t	1.0
ʃ_t	s_t	1.0
ʀ_ɛ	r	1.0
ɫ_#>	#>	1.0
ɫ	ɫ	1.0
ɪ	ə	1.0
ɡ_ə	ə	1.0
ɡ_n	n	1.0
ɛ	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
t_ʀ	d_r	1.0
t_#>	#>	1.0
s_t	s	1.0
s	t	1.0
p	p	1.0
n_ə	n	1.0
m	m	1.0
k_ə	k	1.0
k_s	s	1.0
j	j	1.0
h	ɦ	1.0
f_n	p	1.0
d_ə_ʀ	r	1.0
d_z	s	1.0
b_#>	v̥_#>	1.0
a	-	1.0
<#_ˈɔɪ̯	<#_ˈʊə̯	1.0
<#_ʀ	<#_r	1.0
<#_n	<#_n	1.0
#>	d̥_#>	1.0
ʀ	r	0.943
v	v	0.931
ɡ	χ	0.913
z	s	0.913
b	b	0.889
f	v̥	0.778
k	k	0.773
χ	k	0.733
ˈa	ˈa	0.697
ʃ	s	0.682
ˈɛɪ̯	ˈɪə̯	0.636
ə	ə	0.607
d	d	0.56
ˈɔɪ̯	ˈʊə̯	0.542
n	n	0.521
ˈʊ	ˈɔ	0.5
ˈɛ_ʀ	ˈɑː_r	0.5
ˈɛ_ʀ	r	0.5
ˈɪ	ˈə	0.474
ˈaɪ̯	ˈəɪ̯	0.474
n	-	0.451
d	d̥	0.44
ˈɛ	ˈɪə̯	0.409
t	d̥	0.405
ˈɔ	ˈɑː	0.393
ə	-	0.393
t	d	0.378
ˈʊ	ˈu	0.357
ʃ	s_k	0.318
ˈɔɪ̯	ˈœɪ̯	0.292
ˈɛɪ̯	ˈəɪ̯	0.273
χ	χ	0.267
k	χ	0.227
f	p	0.222
ˈaɪ̯	ˈi	0.211
ˈɪ	ˈi	0.184
ˈɛ	ˈæ	0.182
ˈa	ˈɑː	0.182
ˈɔ	ˈa	0.179
t	t	0.162
ˈɔ	ˈɔ	0.143
ˈɛ	ˈɛ	0.136
ˈɛ	ˈɑː	0.136
ˈɛ	ˈa	0.136
b	-	0.111
ˈɔ	ˈʊə̯	0.107
ˈɔ	-	0.107
ˈaɪ̯	ˈɪə̯	0.105
ˈaɪ̯	ˈə	0.105
ˈaɪ̯	ˈœɪ̯	0.105
ˈɛɪ̯	w	0.091
ɡ	-	0.087
z	s_ə	0.087
ˈɔɪ̯	ˈɔ	0.083
ˈɔɪ̯	-	0.083
ˈɪ	ˈœ	0.079
ˈɪ	ˈæ	0.079
ˈɪ	ˈu	0.079
ˈʊ	ˈɪø̯	0.071
ˈʊ	-	0.071
ˈɔ	ˈɪø̯	0.071
v	-	0.069
ˈa	ˈə	0.061
ˈa	ˈæː	0.061
ʀ	-	0.057
t	-	0.054
ˈɪ	ˈɛ	0.053
ˈɪ	-	0.053
