American English	American English	probability
ˈʌ_ð	ˈuː	1.0
ˈʊ	ˈuː	1.0
ˈɝ_s	ʂ	1.0
ˈɛə̯	ˈa	1.0
ˈoʊ̯_n	ˈeː_n	1.0
ˈaɪ̯_#>	ɡ_a_#>	1.0
ʧ	k	1.0
ʤ	ɡː	1.0
ɾ	tː	1.0
ɹ_ʔ	ʈː	1.0
ɹ_n	ɳ	1.0
ə	ɛ	1.0
ð	-	1.0
z	s_a	1.0
w_ˈʊ	ˈɵ	1.0
tʰ	tʰ	1.0
pʰ	pʰ	1.0
oʊ̯	-	1.0
l	l	1.0
kʰ	kʰ	1.0
f_#>	v_#>	1.0
f	f	1.0
d_ˈɛ	d_ˈøː	1.0
d_ˈi	j_ˈʉː	1.0
d_ɹ	d_r	1.0
d_#>	#>	1.0
b	b	1.0
<#_ˈʌ	<#_ˈɵ	1.0
<#_ɹ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_w	<#	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
d	d	0.967
h	h	0.913
ɹ	r	0.9
w	v	0.864
s	s	0.857
ɫ	l	0.833
θ	tʰ	0.8
n	n	0.757
ʔ	t	0.75
ɚ	r	0.75
t	t	0.7
p	p	0.7
m	m	0.696
θ_#>	d_#>	0.667
ŋ	ŋː	0.636
k	k	0.625
ˈaɪ̯	ˈiː	0.6
ɡ	j	0.6
ˈeɪ̯	ˈɑː	0.538
ˈaʊ̯	ˈʉː	0.538
ˈi_#>	ˈɛː_#>	0.5
ˈi_#>	ˈeː_#>	0.5
ʃ	ɧ	0.5
ʃ	s_k	0.5
j	ɡ	0.5
j	-	0.5
i	ɪ	0.5
i	-	0.5
#>	ɛ_#>	0.467
ˈɑ	ˈa	0.455
v	-	0.429
ˈu	-	0.417
ˈaɪ̯	ˈɪ	0.4
ɡ	ɛ	0.4
#>	ɡ_#>	0.4
ˈɛ	ˈɛ	0.391
ˈʌɪ̯	ˈiː	0.375
ˈʌɪ̯	-	0.375
ˈi	ˈøː	0.346
θ_#>	#>	0.333
ˈɔ	-	0.333
ˈu	ˈoː	0.333
ˈɪ	ˈɪ	0.31
m	mː	0.304
p	pː	0.3
v	v_ɛ	0.286
v	v_a	0.286
ˈʌɪ̯	ˈɛ	0.25
ˈu	ˈuː	0.25
ˈoʊ̯	ˈeː	0.25
ˈoʊ̯	-	0.25
ʔ	tː	0.25
k	kː	0.25
ˈeɪ̯	-	0.231
ˈaʊ̯	ˈɵ	0.231
ˈaʊ̯	ˈuː	0.231
ˈɔ	ˈɔ	0.222
ˈɔ	ˈuː	0.222
ˈɔ	ˈa	0.222
ˈʌ	ˈʊ	0.214
ˈʌ	ˈɵ	0.214
ˈʌ	ˈɔ	0.214
ˈʌ	ˈoː	0.214
θ	ɕ	0.2
ˈæ	ˈɛ	0.2
ˈæ	ˈɑː	0.2
ˈæ	ˈa_l	0.2
ˈæ	ˈa	0.2
ˈæ	-	0.2
t	t_ɛ	0.2
ˈi	ˈoː	0.192
ˈoʊ̯	ˈɛː	0.188
ˈoʊ̯	ˈoː	0.188
ˈɑ	ˈʉː	0.182
ˈɑ	ˈɑː	0.182
ˈɑ	-	0.182
ŋ	ŋ	0.182
ŋ	kː	0.182
ˈɛ	ˈøː	0.174
ˈɛ	-	0.174
ˈɪ	ˈʏ	0.172
ɫ	lː	0.167
ɚ	ɛ_r	0.167
ˈi	ˈœ	0.154
ˈeɪ̯	ˈa	0.154
ˈʌ	-	0.143
ˈɪ	ˈeː	0.138
w	-	0.136
#>	r_#>	0.133
ˈoʊ̯	ˈøː	0.125
k	a	0.125
s	ɧ	0.119
n	nː	0.108
ˈɪ	ˈɵ	0.103
ˈɪ	ˈiː	0.103
ˈɪ	-	0.103
ɹ	ˈæː	0.1
t	ʈ	0.1
ˈɛ	ˈʉː	0.087
ˈɛ	ˈɑː	0.087
ˈɛ	d	0.087
h	j	0.087
ɚ	r_a	0.083
n	-	0.081
ˈi	ˈœː	0.077
ˈi	ˈyː	0.077
ˈi	ˈiː	0.077
ˈi	-	0.077
ˈeɪ̯	jː	0.077
ˈɪ	ˈɛ	0.069
n	kʰ_n	0.054
