Swedish	Luxembourgish	probability
ˈʉː_ɡ	ˈɜɪ̯	1.0
ˈɪ_s	ˈə	1.0
ˈɛː_s	z̥	1.0
ˈœː	-	1.0
ˈæ	ˈɛː	1.0
ˈa_r	ˈaː	1.0
ʊ	ŋ	1.0
ʈː	ʦ	1.0
ʈ	t	1.0
ʂ	ˈuː_ʃ	1.0
ɵ	-	1.0
ɳ	ʀ	1.0
ɪ	ə	1.0
ɡː	-	1.0
ɖ	-	1.0
ɕ	d	1.0
ɔ	e	1.0
ŋː	ŋ	1.0
ŋ	-	1.0
sː	z̥	1.0
s_k	ʃ	1.0
rː	-	1.0
r_a	ɐ	1.0
pː	p	1.0
pʰ	pʰ	1.0
p	f	1.0
nː	n	1.0
n_d	n	1.0
n	n	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kː	k	1.0
kʰ	kʰ	1.0
jː	ˈoː	1.0
j_ˈʉː	d_ˈɜɪ̯	1.0
h	h	1.0
f_r	f_ʀ	1.0
f	f	1.0
d_ɛ	ɐ	1.0
b	b	1.0
k	ɕ	0.801
mː	m	0.768
ˈiː	ˈæːɪ̯	0.729
ˈɑː	ˈaː	0.724
v	v	0.719
ɛ	ɐ	0.692
t	s	0.689
a	ə_n	0.683
ˈɔ	-	0.68
ˈɪ	ˈɑ	0.645
ɡ	ɡ	0.644
ɧ	ʃ	0.64
ˈyː	ˈɑɪ̯	0.621
ˈa	ˈɑ	0.616
ˈeː	ˈeː	0.611
tʰ	d	0.603
ˈʊ	-	0.6
ˈæː	-	0.596
ˈɵ	ˈo	0.576
ˈʏ	ˈe	0.571
d	d̥	0.566
r	ʀ	0.551
ˈoː	ˈoː	0.487
ˈuː	ˈu	0.486
s	z	0.478
s	ʃ	0.455
r	ɐ	0.449
tː	s	0.448
ˈʏ	-	0.429
ˈɛː	ˈiə̯	0.42
ˈæː	ˈɛː	0.404
ˈʊ	ˈɔ	0.4
tʰ	ʦ	0.397
ˈyː	ˈɜɪ̯	0.379
ˈøː	ˈɜɪ̯	0.365
ɧ	z	0.36
ˈœ	ˈə	0.353
ˈɛ	ˈə	0.347
j	ɡ	0.343
ˈɔ	ˈo	0.32
ˈɛː	ˈeː	0.317
ˈœ	ˈaː	0.316
t	t	0.311
j	-	0.311
ɡ	-	0.309
ɛ	-	0.308
d	d	0.301
ˈuː	-	0.286
ˈoː	-	0.286
tː	ɕ_t	0.281
ˈɑː	-	0.276
tː	ʦ	0.271
ˈɛː	ˈɜɪ̯	0.263
ˈɵ	ˈə	0.252
ˈɪ	-	0.25
ˈʉː	-	0.238
ˈa	ˈaː	0.237
mː	ˈu_m	0.232
ˈuː	ˈaː	0.229
j	h	0.229
a	-	0.229
ˈʉː	ˈæːʊ̯	0.226
v	w	0.206
ˈʉː	ˈɜɪ̯	0.2
ˈøː	ˈəʊ̯	0.199
k	χ	0.199
ˈeː	ˈi	0.195
ˈeː	-	0.194
ˈʉː	ˈɑʊ̯	0.191
ˈøː	-	0.175
ˈɵ	-	0.172
ˈœ	ˈo	0.165
ˈœ	-	0.165
ˈɛ	-	0.159
ˈøː	ˈaː	0.149
ˈa	-	0.147
ˈʉː	ˈiː	0.144
ˈoː	ˈu	0.143
ˈɛ	ˈɛ	0.141
ˈiː	ˈɑɪ̯	0.135
ˈiː	ˈe	0.135
ˈɛ	ˈeː	0.134
d	t	0.133
ˈɛ	ˈiː	0.13
j	ʑ	0.117
ˈøː	ˈi	0.113
ˈɪ	ˈə	0.105
ˈɛ	ˈaː	0.09
a	ɐ	0.088
ˈoː	ˈɜɪ̯	0.084
v	-	0.075
s	t	0.067
