Québécois French	Québécois French	probability
ʦ	t	1.0
ʣ	d	1.0
ʏ	ˈu	1.0
ʊ	ˈu	1.0
ʁ_#>	#>	1.0
ɪ	ˈi	1.0
ɛɪ̯	ˈɛ_s	1.0
ɛ_l	l_ə	1.0
ɑ	-	1.0
œ̃ʏ̯̃	ˈu_n	1.0
œ_n	ə_n	1.0
æɛ̯_d	a_j	1.0
y	ˈu	1.0
w_ɛ_ʁ_#>	ˈɛ_#>	1.0
w_ɛ	ˈe	1.0
p_l	k_j	1.0
o	w_ˈɔ	1.0
i_ʁ	ˈi	1.0
f_l	ʃ	1.0
e_#>	ˈa_#>	1.0
ã_#>	ˈɛ_n_t_ə_#>	1.0
<#_ʒ	<#_j	1.0
<#_ʁ	<#_r	1.0
<#_œ	<#_w	1.0
<#_t	<#_t	1.0
<#_oʊ̯	<#_ˈa	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
p	p	0.909
m	m	0.864
#>	ə_#>	0.855
n	n	0.833
ɑɔ̯	ˈɔ	0.8
z	-	0.8
d	d	0.778
oʊ̯	ˈɛ_lː	0.75
f	f	0.75
k	k	0.737
v	v	0.72
ʒ	ʤ	0.714
ɡ	ɡ	0.7
ɲ	ɲː	0.667
øʏ̯	ˈɔ_k	0.667
l	l	0.667
ʁ	ɾ	0.62
ɥ	ˈu	0.6
b	b	0.583
ʃ	k	0.556
s	s	0.533
a	a	0.529
ɛ_#>	ʃ_ə_#>	0.5
ɛ_#>	#>	0.5
aœ̯	ˈo	0.5
aœ̯	-	0.5
æɛ̯	ˈa	0.483
ɛ	ˈi	0.476
a	ˈa	0.471
e	ˈa	0.462
ã	n	0.455
œ	ə	0.444
w	-	0.444
t	t	0.438
ɔ	ˈɔ	0.429
i	ˈi	0.429
b	v	0.417
ɥ	ˈɔ	0.4
w	ˈe	0.389
ẽɪ̯̃	ˈa_n	0.375
ɲ	ɲ	0.333
ɛ	ə	0.333
œ	-	0.333
øʏ̯	-	0.333
e	ʃ	0.308
ɡ	-	0.3
ɒ̃ʊ̯̃	ˈo_n	0.3
ɒ̃ʊ̯̃	w_ˈɔ	0.3
s	ʃ	0.3
u	ˈu	0.294
j	ʎː	0.294
j	-	0.294
ʒ	-	0.286
ɔ	w	0.286
ɔ	u	0.286
k	k_w	0.263
t	tː	0.25
oʊ̯	-	0.25
æɛ̯	ˈɛ	0.241
u	u	0.235
e	ə	0.231
œ	e	0.222
d	-	0.222
ɒ̃ʊ̯̃	ˈu_n	0.2
ɒ̃ʊ̯̃	ˈo	0.2
ɑɔ̯	-	0.2
z	z	0.2
i	j_ˈɛ	0.19
t	ʃː	0.188
ẽɪ̯̃	ˈi_n	0.188
ẽɪ̯̃	n	0.188
ã	ˈɛ	0.182
ã	ˈa_nː	0.182
ã	ŋ	0.182
j	kː_j	0.176
ʃ	kː_ə	0.167
ʃ	k_a	0.167
w	ˈu	0.167
n	ˈɔ_n	0.167
l	lː	0.167
l	j	0.167
ʁ	r	0.155
i	ə	0.143
i	tː_ə	0.143
m	mː	0.136
t	s_t	0.125
f	ˈɔ_v	0.125
ẽɪ̯̃	ˈa	0.125
ẽɪ̯̃	ɲː	0.125
u	ˈu_tː	0.118
u	ˈu_kː	0.118
u	ˈu_j	0.118
u	ˈo	0.118
j	ˈɛ	0.118
j	j	0.118
ʃ	k_ˈa	0.111
æɛ̯	ˈe	0.103
æɛ̯	-	0.103
s	ʃː	0.1
ɛ	ˈɛ	0.095
ɛ	ˈa	0.095
i	-	0.095
p	p_w	0.091
f	-	0.083
v	v_j	0.08
v	p	0.08
v	-	0.08
ʁ	ə	0.07
æɛ̯	a	0.069
s	ʦ	0.067
#>	t_ə_#>	0.058
