Eastphalian	Eastphalian	probability
ˈɛə̯	ˈɑː	1.0
ˈɔʏ̯	ˈøː	1.0
ˈøː	-	1.0
ˈyː	ˈyː	1.0
ˈaː	-	1.0
ˈaɪ̯	ˈeː	1.0
ɣ̊	ˈɑː_ɡ	1.0
ɡ	ɡː	1.0
ɒː	ɔ	1.0
ɐ_t	ʈː	1.0
ɐ_n	ɳː	1.0
ɐ_#>	#>	1.0
ŋ_k	kː	1.0
ç_t	tː	1.0
ç	ɡ	1.0
z̥_#>	s_#>	1.0
v_ˈʊ	ˈɵ	1.0
v_ə	v_a	1.0
t_ə	t	1.0
t_n	t_a	1.0
r	r	1.0
n_ə_#>	nː_#>	1.0
n_n	nː_a	1.0
n_#>	#>	1.0
l_ə	lː	1.0
k_ə	k	1.0
f_#>	v_#>	1.0
f	f	1.0
d̥_#>	#>	1.0
d̥	d	1.0
d_ˈɛɪ̯	j_ˈʉː	1.0
d_ɐ	r	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_j	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
s	s	0.938
b	b	0.909
h	h	0.875
v	v	0.857
d	tʰ	0.846
l	l	0.829
z	s	0.824
ɣ	ɡ	0.8
j	ɡ	0.8
ˈeo̯	ˈøː	0.778
ˈaʊ̯	ˈuː	0.778
ŋ	ŋː	0.778
ˈiː	ˈiː	0.769
ˈoː	-	0.75
ˈa	ˈa	0.708
ˈuː	ˈʉː	0.667
ɐ	r	0.667
p	p	0.625
m	m	0.625
ˈœ	-	0.6
x	-	0.6
w	v	0.6
ə	a	0.593
ˈɪ	ˈɪ	0.583
#>	ɛ_#>	0.583
ˈɛː	-	0.571
ˈɒː	ˈoː	0.571
n	n	0.56
ˈɔ	-	0.556
ʃ	s_k	0.538
t	t	0.519
ˈʊ	ˈɵ	0.5
ˈeː	ˈɛ	0.5
ˈeː	-	0.5
ʃ	ɧ	0.462
ˈɛ	-	0.455
ˈʏ	ˈʏ	0.444
ˈɛː	ˈɛː	0.429
ˈɪ	-	0.417
ə	-	0.407
ˈœ	ˈɔ	0.4
x	ˈɔ	0.4
w	-	0.4
k	kʰ	0.381
k	k	0.381
p	pː	0.375
ˈɛ	ˈɛ	0.364
ˈʏ	ˈɛ	0.333
ɐ	ɛ_r	0.333
ˈʊ	-	0.3
n	a	0.3
t	tː	0.296
ˈɒː	ˈɑː	0.286
ˈɛɪ̯	ˈeː	0.273
ˈoː	ˈøː	0.25
#>	d_#>	0.25
ˈiː	-	0.231
ˈɛɪ̯	ˈʉː	0.227
ˈʏ	ˈɵ	0.222
ˈɔ	ˈœ	0.222
ˈɔ	ˈa	0.222
ˈeo̯	-	0.222
ˈaʊ̯	-	0.222
ŋ	ɡ_a	0.222
m	mː	0.208
ˈʊ	ˈʊ	0.2
ɣ	-	0.2
j	jː	0.2
ˈɛɪ̯	ˈɛ	0.182
ˈɛɪ̯	-	0.182
ˈɛ	j	0.182
z	ɧ	0.176
ˈuː	ˈɵ	0.167
ˈuː	-	0.167
ˈa	-	0.167
#>	ɡ_#>	0.167
d	ɕ	0.154
t	-	0.148
ˈɒː	ˈa	0.143
v	-	0.143
k	kː	0.143
ˈɛɪ̯	ˈyː	0.136
ˈa	ˈɛ	0.125
h	j	0.125
k	ɕ	0.095
b	-	0.091
m	mː_a	0.083
m	a	0.083
s	ʂ	0.062
n	d_a	0.06
l	ˈœ_l	0.057
l	ɛ_l	0.057
l	lː	0.057
