Emilian	Emilian	probability
ˈʌ_ŋ	ɒ̃ʊ̯̃	1.0
ˈʌ	-	1.0
ˈɛ_ð	i	1.0
ˈɛ_s	ɛɪ̯	1.0
ˈɛ_r	e	1.0
ˈɛ_l	oʊ̯	1.0
ˈɔ_t	ɥ_i	1.0
ˈɔ_s	o	1.0
ˈæ_ŋ	ã	1.0
ˈæ	-	1.0
ˈuː_ɡ	øʏ̯	1.0
ˈi	i	1.0
ˈe_ŋ	ẽɪ̯̃	1.0
ˈa_n	ã	1.0
ˈa_d	w	1.0
ʧ_#>	#>	1.0
ʤ	ɡ_l	1.0
t_e	t	1.0
t_#>	#>	1.0
s_#>	#>	1.0
r_t	ʁ	1.0
r_#>	#>	1.0
p_ˈo	p	1.0
n_a_#>	n_#>	1.0
m_#>	#>	1.0
m	m	1.0
l_#>	#>	1.0
k_w	k	1.0
k_a	ʃ	1.0
k_#>	#>	1.0
j_ˈɔː	ɪ	1.0
j_ˈa	l	1.0
j_a	j	1.0
f	f	1.0
d_e	d	1.0
d_#>	#>	1.0
a_#>	#>	1.0
<#_t	<#_t	1.0
<#_s	<#_e	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
r	ʁ	0.941
v	v	0.88
b	b	0.875
t	t	0.867
p	p	0.8
s	s	0.783
ð	ʒ	0.778
θ	s	0.765
d	-	0.7
l	l	0.696
ˈo_ŋ	ɒ̃ʊ̯̃	0.667
ˈiː	i	0.667
a	a	0.667
ˈa_ŋ	ẽɪ̯̃	0.636
k	k	0.63
ˈɛː	æɛ̯	0.6
ˈɔ	u	0.6
ɲ	ɲ	0.6
z	z	0.6
i	i	0.6
ˈa	w	0.583
ˈuː	y	0.571
n	-	0.556
e	-	0.545
ˈɛ	æɛ̯	0.542
ɡ	ɡ	0.533
ˈɛ_d	æɛ̯	0.5
ˈɛ_d	e	0.5
ʧ	k_l	0.5
ʧ	-	0.5
z_#>	ɛ_#>	0.5
z_#>	#>	0.5
v_#>	f_#>	0.5
v_#>	#>	0.5
ɡ	-	0.467
n	n	0.444
ˈɔː	ɑɔ̯	0.438
ˈuː	-	0.429
ˈɛː	ɛ	0.4
ˈɔ	-	0.4
ˈe	ɪ	0.4
ɲ	-	0.4
z	-	0.4
i	-	0.4
ŋ	ẽɪ̯̃	0.375
k	ʃ	0.37
ˈa_ŋ	ã	0.364
u	u	0.364
j	ɛ	0.357
ˈo_ŋ	œ̃ʏ̯̃	0.333
ˈo	y	0.333
#>	ɛ_#>	0.333
#>	e_#>	0.333
ˈaː	æɛ̯	0.318
ˈaː	a	0.318
ŋ	ã	0.312
ˈe	i	0.3
ˈe	-	0.3
d	ʣ	0.3
j	l	0.286
ˈʌu̯	aœ̯	0.273
u	-	0.273
e	ʁ	0.273
ˈɛ	ɛ	0.25
ˈɔː	œ	0.25
ˈa	æɛ̯	0.25
θ	-	0.235
ˈaː	-	0.227
ˈo	ʏ	0.222
ˈo	u	0.222
ˈo	-	0.222
ð	-	0.222
l	-	0.217
j	j	0.214
ˈɛ	e	0.208
ˈiː	w	0.2
p	-	0.2
ˈɔː	-	0.188
ŋ	-	0.188
ˈʌu̯	œ	0.182
ˈʌu̯	øʏ̯	0.182
ˈʌu̯	w	0.182
ˈʌu̯	u	0.182
u	ɔ	0.182
u	ɑɔ̯	0.182
e	ɛ	0.182
ˈa	-	0.167
#>	j_#>	0.167
#>	f_#>	0.167
j	-	0.143
ˈaː	ɑ	0.136
ˈiː	-	0.133
t	ʦ	0.133
s	-	0.13
ˈɔː	øʏ̯	0.125
ŋ	ɒ̃ʊ̯̃	0.125
b	-	0.125
v	-	0.12
a	ʁ	0.111
a	æɛ̯	0.111
a	j	0.111
s	s_œ	0.087
l	ɛ_l	0.087
