Luxembourgish	Scots	probability
ˈɜɪ̯_ə	ˈiː	1.0
ˈɛː	-	1.0
ˈɛ	ˈɛ	1.0
ˈə_ɕ	ˈaː	1.0
ˈə_n	ˈaːɪ̯	1.0
ˈɔ	ˈʌ	1.0
ˈɑ_n	ˈɪ_n	1.0
ˈɑ_l	ˈɑː	1.0
ˈæːɪ̯	ˈəi̯	1.0
ˈuː	ˈɪ	1.0
ˈuə̯_ɕ	x	1.0
ˈuə̯	-	1.0
ˈoː_ə	ˈeː	1.0
ˈo_ŋ	ˈøː	1.0
ˈiː_ɐ	r	1.0
ˈiː	ˈɪ	1.0
ˈaː_n	ɛ	1.0
ʃ_l	s_l	1.0
ʀ	r	1.0
ɣ̊	-	1.0
ɡ̊	-	1.0
ə	-	1.0
z̥	z	1.0
z	s	1.0
w	w	1.0
v̥	f	1.0
s	t	1.0
pʰ	pʰ	1.0
p	p	1.0
n_ə	n	1.0
m	m	1.0
l_ˈiː	l_ˈɪ	1.0
l_ˈaː	l_ˈi	1.0
l	l	1.0
kʰ	kʰ	1.0
j	j	1.0
h	h	1.0
f_ʀ	f_r	1.0
f_ə	p	1.0
f	f	1.0
e	-	1.0
d̥	d	1.0
d_ə	d	1.0
b	b	1.0
ˈəʊ̯	-	0.844
t	t	0.809
ɡ	ɡ	0.794
ˈi	ˈi	0.705
ʦ	tʰ	0.671
ˈæːʊ̯	ˈu	0.667
ʃ	s	0.65
ˈeː	ˈe	0.642
ŋ	ŋ	0.612
v	w	0.584
ˈo_l	ˈʌu̯	0.579
ˈoː	ˈi	0.57
k	k	0.566
n	-	0.565
ˈə	ˈɪ	0.551
χ	k	0.54
ˈo	ˈʌ	0.537
ˈɜɪ̯	ˈi	0.529
ɕ	ç	0.525
ɐ	r	0.525
ˈɑʊ̯	ˈuː	0.506
ˈiə̯	ˈɛ	0.5
ˈiə̯	ˈa	0.5
ə_ɕ	i	0.5
ˈɑʊ̯	ˈu	0.494
ˈe	ˈɪ	0.486
d	d	0.485
ɕ	k	0.475
ɐ	ə_r	0.475
χ	-	0.46
ˈɑ	ˈɪ	0.431
ˈoː	-	0.43
ˈo_l	ˈuː	0.421
n	n	0.412
ŋ	n	0.388
d	θ	0.38
ˈu	ˈø	0.376
ʃ	ʃ	0.35
ˈæːʊ̯	-	0.333
ʦ	t	0.329
ˈu	ˈɪ	0.313
ˈɑ	ˈa	0.311
ˈu	-	0.311
ˈɑɪ̯	ˈiː	0.3
ˈɑɪ̯	-	0.3
ˈi	ˈɪ	0.295
k	ɡ	0.29
ˈeː	-	0.277
ˈɑ	ˈɑː	0.258
ˈe	ˈɛ	0.257
ˈe	-	0.257
ˈɜɪ̯	ˈiː	0.25
ə_ɕ	ɪ	0.25
ə_ɕ	e	0.25
v	-	0.249
ˈo	ˈu	0.224
ˈɜɪ̯	-	0.221
ɡ	j	0.206
ˈə	-	0.201
ˈaː	ˈa	0.201
ˈɑɪ̯	ˈəi̯	0.2
ˈɑɪ̯	ˈaɪ̯	0.2
t	d	0.191
ˈaː	ˈeː_r	0.176
v	ʍ	0.167
ˈaː	ˈo	0.163
ˈəʊ̯	ˈe	0.156
ˈə	ˈi	0.149
k	ʤ	0.144
d	ð	0.135
ˈo	ˈo	0.134
ˈaː	ˈɑː	0.13
ˈo	ˈi	0.105
ˈaː	ˈiː	0.101
ˈə	ˈɛ	0.098
ˈaː	ˈɛ	0.095
ˈeː	ˈɛː	0.081
ˈaː	ˈeː	0.08
ˈaː	ˈe	0.055
