East Frisian Low Saxon	American English	probability
χ	ˈʌɪ̯	1.0
ˈʏə̯	ˈɪ	1.0
ˈʊə̯	-	1.0
ˈɪ_χ	ˈʌɪ̯	1.0
ˈɛə̯	-	1.0
ˈɔː	ˈɛ	1.0
ˈɒːɒ̯	-	1.0
ˈɑːʊ̯	-	1.0
ˈɑːɑ̯	-	1.0
ˈɑ_χ	ˈʌɪ̯	1.0
ˈɑ_l	ˈæ	1.0
ˈɑ_d̥	ˈæ_θ	1.0
ˈœːy̯	ˈu	1.0
ˈœy̯	ˈi	1.0
ˈœ	ˈʌ	1.0
ˈøy̯	ˈi	1.0
ˈæːɪ̯	-	1.0
ˈuːu̯	-	1.0
ˈoːo̯	ˈi	1.0
ˈiːi̯	ˈɪ	1.0
ʊ	ˈʌ	1.0
ɫ	ɫ	1.0
ɣ̊	ʤ	1.0
ɡ̊	-	1.0
ɡ_l	ɫ	1.0
ɡ	ɡ	1.0
ə	-	1.0
ɑɪ̯	t_i	1.0
ɐ_ɣ̊	i	1.0
ɐ_m	ɹ_m	1.0
ŋ	ŋ	1.0
z̥	z	1.0
w	w	1.0
t_n	ʔ	1.0
s_k	ʃ	1.0
s	s	1.0
r	ɹ	1.0
o	-	1.0
n_n	n	1.0
m	m	1.0
k_ˈøː	kʰ	1.0
k_n	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d_ˈoː	d_ˈɛ	1.0
d_n	d	1.0
b	b	1.0
d̥	d	0.877
z	s	0.872
p	p	0.86
v	w	0.784
d	θ	0.765
ˈuː	ˈaʊ̯	0.747
ˈiː	ˈaɪ̯	0.716
l	ɫ	0.693
n	n	0.687
ˈeː	-	0.67
ˈɪ	ˈɪ	0.619
ˈøːø̯	ˈoʊ̯	0.593
ˈɔ	ˈɑ	0.558
t	ʔ	0.528
ˈʊ	ˈʌ	0.504
ˈeːe̯	ˈɛ_ð	0.5
ˈeːe̯	-	0.5
ɐ	ɚ	0.5
ˈʏ	ˈɪ	0.493
ˈøː	ˈi	0.468
ˈɑ	ˈɛə̯	0.45
ˈæɪ̯	ˈoʊ̯	0.446
ˈɔ	ˈoʊ̯	0.442
ˈøːø̯	-	0.407
k	k	0.407
ˈøː	-	0.379
k	ʧ	0.377
ˈɑː	ˈɑ	0.375
ˈɑː	ˈæ	0.375
ˈɒː	ˈeɪ̯	0.363
ˈɛ	ˈɪ	0.361
ˈɒː	-	0.359
t	t	0.348
ˈʊ	-	0.34
ˈeː	ˈɪ	0.33
ˈɑʊ̯	ˈʊ	0.303
ˈʏ	ˈɛ	0.299
ˈɑʊ̯	ˈu	0.298
n	-	0.298
ˈiː	ˈʌɪ̯	0.284
ɐ	ɹ	0.28
l	l	0.28
ˈæɪ̯	ˈi	0.276
ˈɛ	ˈɛ	0.268
ˈuː	ˈaɪ̯	0.253
ˈoː	-	0.253
ˈɑː	ˈɔ	0.25
ˈoː	ˈi	0.246
ˈɪ	ˈaɪ̯	0.236
v	v	0.216
k	kʰ	0.216
ˈʏ	-	0.209
ˈoː	ˈɔ	0.207
ˈɑ	ˈeɪ̯	0.206
ˈɑ	-	0.206
ˈɑʊ̯	ˈi	0.202
ˈɑʊ̯	ˈaʊ̯	0.197
ˈɛ	ˈæ	0.186
ˈɛ	-	0.186
ˈɒː	ˈi	0.186
ˈʊ	ˈʊ	0.156
ˈøː	ˈɔ	0.153
ˈoː	ˈɛ	0.153
d	ð	0.144
ˈoː	ˈʌ	0.14
p	pʰ	0.14
ˈɑ	ˈʌ	0.139
ɐ	ˈɝ	0.129
z	-	0.128
t	ɾ	0.124
d̥	θ	0.123
ˈæɪ̯	ˈɛ	0.093
ˈæɪ̯	-	0.093
ˈɒː	ˈɑ	0.092
ˈæɪ̯	ˈu	0.091
d	d	0.091
ˈɪ	ˈɛ	0.089
ˈɪ	-	0.056
ɐ	ˈi_ɚ	0.054
