Icelandic	Icelandic	probability
θ	d	1.0
ˈʏː	-	1.0
ˈɛi̯	ˈɛɪ̯	1.0
ˈɔu̯	-	1.0
ˈɔ	ˈɔ	1.0
ˈɑu̯	ˈa	1.0
ˈœːy̯	ˈɔɪ̯	1.0
ˈœː	-	1.0
ˈœ	-	1.0
ˈu	ˈʊ	1.0
ˈou̯	-	1.0
ˈi	ˈɪ	1.0
ˈaːu̯	-	1.0
ˈai̯	ˈɪ	1.0
ʰt͡n̥	s_ə	1.0
ʰt	χ_t	1.0
ʰp	-	1.0
ʰk	ŋ_k	1.0
ʰc	-	1.0
ʏ_r̥_#>	#>	1.0
ɲ	ŋ	1.0
ɣ	ɡ	1.0
ɡ̊	ɡ	1.0
ɟ̊ː	-	1.0
ɟ̊	ɡ	1.0
ɛ	-	1.0
ɑu̯	ɪ	1.0
ç	h	1.0
x	χ	1.0
v_ˈɪː	v	1.0
v_ʏ_r̥_#>	b_#>	1.0
v_a	b_n	1.0
t͡n̥	n	1.0
t͡l̥	ɫ	1.0
tʰ	ʦ	1.0
s_t	ʃ_t	1.0
s_k	ʃ	1.0
s_j	z	1.0
s_c	ʃ	1.0
s_#>	z_#>	1.0
r̥_t	ʀ_ʦ	1.0
r	ʀ	1.0
n̥	n	1.0
n	n	1.0
m_ʏ	ə_m	1.0
m	m	1.0
l̥	ɫ	1.0
l	ɫ	1.0
kʰ_v	v	1.0
kʰ	k	1.0
k_ʏ	χ	1.0
k	χ	1.0
j_ˈɛː	ˈɪ	1.0
j_ˈɛ	ˈɛ	1.0
h	h	1.0
f	f	1.0
cʰ	k	1.0
c	-	1.0
b̥	b	1.0
aːu̯	ˈaɪ̯_ʦ	1.0
a_#>	#>	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
<#_d̥	<#_t	1.0
ˈa	ˈa	0.875
ˈiː	ˈaɪ̯	0.867
ˈɪ	ˈɪ	0.833
ŋ	ŋ	0.778
ð	t	0.75
ˈɛːi̯	ˈɛɪ̯	0.714
t	s	0.7
ˈuː	ˈɔɪ̯	0.692
ˈɪː	ˈɪ	0.667
ˈɛː	ˈɛ	0.667
v	v	0.667
p	f	0.667
r̥_#>	ʀ_#>	0.649
ˈoːu̯	ˈʊ	0.643
r̥	ʀ	0.625
ˈɔː	ˈʊ	0.6
ˈɑːu̯	ˈɔ	0.6
ʏ	ə	0.6
a	n	0.6
<#	<#_v	0.6
d̥	d	0.583
ˈɛ	ˈɛ	0.571
nː	n_ə	0.571
ɪ	ə	0.556
ˈʏ	ˈʊ	0.5
ˈaːi̯	ˈɪ	0.5
ˈaːi̯	ˈa	0.5
ˈaː	ˈɔ	0.5
ˈaː	ˈa	0.5
ˈau̯	ˈɛ	0.5
ˈau̯	-	0.5
#>	ʀ_#>	0.5
#>	n_#>	0.5
ɪ	-	0.444
nː	n	0.429
d̥	t	0.417
s	z	0.414
ˈɔː	-	0.4
ˈɑːu̯	ˈɛ	0.4
r̥	χ	0.375
ˈoːu̯	-	0.357
j	ˈɪ	0.353
r̥_#>	#>	0.351
ˈɪː	-	0.333
ˈɛː	ˈɪ	0.333
p	-	0.333
s	ʃ	0.31
ˈuː	-	0.308
ˈʏ	-	0.3
j	ˈɛ	0.294
ˈɛːi̯	-	0.286
ˈɛ	-	0.286
v	-	0.238
ŋ	-	0.222
ˈʏ	ˈɔ	0.2
ʏ	-	0.2
t	t	0.2
<#	<#_t	0.2
<#	<#_j	0.2
ˈɪ	ˈɔ	0.167
ð	d	0.167
a	ə_n	0.167
ˈɛ	ˈa	0.143
s	s	0.138
ˈiː	-	0.133
ʏ	n	0.133
ˈa	ˈɔ	0.125
j	ˈaɪ̯	0.118
j	n	0.118
j	-	0.118
t	ʦ	0.1
a	ɡ_n	0.1
v	b	0.095
ð	-	0.083
s	t	0.069
s	-	0.069
ʏ	a	0.067
a	ə	0.067
a	-	0.067
