Québécois French	Québécois French	probability
ʦ	t	1.0
ʣ	d	1.0
ʒ	ʃ	1.0
ʏ	-	1.0
ʊ	ˈo	1.0
ɲ	ɲ_ɐ	1.0
ɛɪ̯	ˈɛ_s	1.0
ɔ_n	ˈo_ɐ	1.0
œ̃ʏ̯̃	ˈu_ŋ	1.0
æɛ̯_n_#>	ˈa_#>	1.0
v_ʁ	β_ɾ	1.0
t_ʁ	ɾ	1.0
t_#>	t_ɐ_#>	1.0
t	t	1.0
s_ɛ	s_ˈe	1.0
p_æɛ̯	p_ˈa	1.0
p_l	ʧ	1.0
p	p	1.0
o	ˈɔ_s	1.0
m	m	1.0
l_#>	#>	1.0
j_ɛ	ˈɛ	1.0
j_æɛ̯	ˈɛ	1.0
i_ʁ	ˈi_ɾ	1.0
f_l	ʧ	1.0
ã_#>	ˈe_n_t_ʊ_#>	1.0
<#_ʒ	<#	1.0
<#_ʁ	<#_r	1.0
<#_æɛ̯	<#_a_ʃ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_e	1.0
f	f	0.913
k	k	0.905
b	b	0.857
ɥ	ˈo	0.778
w_ɛ	ˈe	0.778
ʃ	k	0.765
d	d	0.75
ʁ	ɾ	0.746
v	b	0.731
ɪ	ˈi	0.714
<#_e	<#_e	0.714
y	ˈu	0.7
ɡ	ɡ	0.636
øʏ̯	ɣ_ʊ	0.6
z	θ	0.6
s	s	0.575
ɔ	ˈo	0.571
l	l	0.571
ɛ_#>	θ_#>	0.5
ɛ_#>	#>	0.5
ɑɔ̯	ˈɔ	0.5
aœ̯_ʁ	ˈo_ɾ	0.5
aœ̯_ʁ	ɾ	0.5
e	ˈa_ɾ	0.462
ɔ	o	0.429
a	a	0.423
øʏ̯	w	0.4
z	-	0.4
#>	ʊ_#>	0.392
u	ˈo	0.389
a	ˈa	0.385
œ	ˈɔ	0.368
ɡ	ɣ	0.364
oʊ̯	ˈa_l	0.364
j	ɟ_ɐ	0.333
ẽɪ̯̃	ɲ_ʊ	0.318
œ	e	0.316
w	ˈe	0.316
ɑɔ̯	o	0.3
y	-	0.3
ɛ	ˈe	0.294
ɪ	-	0.286
ã	ˈa_n	0.286
<#_e	<#	0.286
j	-	0.278
oʊ̯	ˈɛ_l	0.273
ẽɪ̯̃	ˈɑ_ŋ	0.273
æɛ̯	ˈa	0.258
#>	ɐ_#>	0.254
ɒ̃ʊ̯̃	ˈo_ŋ	0.25
ɒ̃ʊ̯̃	ˈo	0.25
s	θ	0.25
d	ð	0.25
ʃ	k_ɐ	0.235
n	ɲ	0.231
n	n_ɐ	0.231
n	-	0.231
#>	ɪ_#>	0.231
ɥ	ˈu	0.222
w_ɛ	e	0.222
i	ˈe	0.217
ã	ˈe_n	0.214
ɑɔ̯	-	0.2
æɛ̯	a	0.194
v	β	0.192
a	-	0.192
oʊ̯	ˈo_w	0.182
oʊ̯	-	0.182
l	ʊ	0.179
ɛ	ˈɛ	0.176
ɛ	ˈa	0.176
ɛ	ʊ	0.176
ɛ	j	0.176
i	j_t	0.174
i	j	0.174
ɒ̃ʊ̯̃	ˈo_n	0.167
ɒ̃ʊ̯̃	ŋ	0.167
ɒ̃ʊ̯̃	-	0.167
u	ˈɔ	0.167
u	o	0.167
u	-	0.167
j	ɟ_ʊ	0.167
æɛ̯	ˈɛ	0.161
w	ˈu	0.158
n	ɐ	0.154
n	n	0.154
e	ˈa_ð	0.154
e	ɾ	0.154
e	-	0.154
l	-	0.143
b	β_ɐ	0.143
ã	ˈe	0.143
ã	n	0.143
ã	-	0.143
ẽɪ̯̃	ŋ	0.136
i	ˈi	0.13
i	i	0.13
æɛ̯	ˈe	0.129
æɛ̯	e	0.129
u	u	0.111
j	ˈɛ	0.111
j	ˈe	0.111
l	ɐ	0.107
œ	ˈo	0.105
œ	a	0.105
œ	-	0.105
w	ˈɔ	0.105
w	ˈu_n	0.105
w	ˈe_ð	0.105
w	ð	0.105
w	e	0.105
k	k_w	0.095
ẽɪ̯̃	ˈi_ŋ	0.091
ẽɪ̯̃	ˈi_n	0.091
ẽɪ̯̃	t_ʊ	0.091
i	θ_ʊ	0.087
i	ˈi_ɣ	0.087
f	β_ʊ	0.087
v	-	0.077
e	ˈa	0.077
ʁ	r	0.075
s	-	0.075
ã	ɑ	0.071
æɛ̯	ˈa_ɣ	0.065
æɛ̯	-	0.065
#>	s_#>	0.062
ʁ	-	0.06
