Proto-Slavic	Latvian	probability
̌	-	1.0
̂	-	1.0
ˀ	-	1.0
ʦ	-	1.0
ʒ	ʣ	1.0
ʃ	s_ɛ	1.0
ɲ	u_n	1.0
ɨ_ˀ	uː	1.0
ɡ_ŭ	ɡ̊	1.0
ɛː_ˀ	ɛː	1.0
x	s_s	1.0
v	v	1.0
ŭ_̂	i	1.0
uː_̂	au̯	1.0
u	u	1.0
t_r	j	1.0
t_ĭ	i	1.0
t	t	1.0
p	p	1.0
õː_̌	uɔ̯	1.0
õː_̂	uɔ̯	1.0
õː	uɔ̯	1.0
oː_̂	a	1.0
o_̂	a	1.0
l_o	l̩	1.0
k_o	ʦ	1.0
k	k	1.0
j_ĭ	s	1.0
ĭ_̂	i	1.0
ĭ_ˀ	i	1.0
ẽː	e	1.0
ẽ	-	1.0
eː	ʃ	1.0
e_̂	æ	1.0
a_ˀ	aː	1.0
b	b	0.931
r	r	0.857
l	l	0.855
m	m	0.844
ɡ	ɡ	0.804
n	n	0.724
z	z	0.697
s	s	0.686
ʧ	k	0.685
ɛː	-	0.653
a	-	0.647
o	-	0.624
i	iɛ̯	0.619
ŭ	s	0.582
a_̌	a	0.571
e	ɛ	0.515
a_̌	ɛ	0.429
ĭ	i	0.42
i	iː	0.381
o	a	0.376
e	-	0.373
a	ɛ	0.353
d	d	0.33
ŭ	-	0.328
ʧ	ʧ	0.315
s	-	0.314
z	z̥	0.303
ɛː	iɛ̯	0.301
n	s	0.276
ĭ	s	0.27
d	-	0.251
ĭ	-	0.248
ɡ	ɡ̊	0.196
d	d̥	0.171
m	ɲ	0.156
l	-	0.145
r	r̩	0.143
d	t	0.126
d	d_u	0.121
e	a	0.112
b	b̥	0.069
ĭ	ɛ	0.062
