Proto-Slavic	Lithuanian	probability
ʦ	-	1.0
ʒ	ɡʲ	1.0
ʎ	-	1.0
ʃ	ɕ	1.0
ɲ	nʲ	1.0
ɨ	uː	1.0
u	ʊ	1.0
rʲ	rʲ_oː	1.0
p	pʲ	1.0
oː	-	1.0
o_̂	aː_̌	1.0
j_ĭ	s	1.0
ĭ_̂	ɪ	1.0
ĭ_ˀ	ɪ_ˈ	1.0
iː	-	1.0
ẽ	-	1.0
eː	ɛ	1.0
e_̂	ɛ	1.0
aː	-	1.0
a_ˀ	oː	1.0
ɡ	ɡ	0.882
ˀ	̂	0.765
z	ʑ	0.741
k	k	0.681
v	vʲ	0.638
b	b	0.637
r	r	0.609
m	mʲ	0.601
i	iə̯	0.582
l	ɫ	0.58
ẽː	ɛ	0.56
n	n	0.558
e	-	0.552
ʧ	k	0.549
x	ʃ	0.532
õː	ɐ	0.495
x	s	0.468
ɛː	-	0.467
ʧ	kʲ	0.451
ŭ	ɐ_s	0.444
n	-	0.442
ẽː	-	0.44
ĭ	ɪ	0.425
l	lʲ	0.42
uː	ɐʊ̯	0.414
r	rʲ	0.391
̂	̌	0.387
a	ɐ	0.37
b	bʲ	0.363
t	tʲ	0.348
uː	-	0.343
ĭ	ɪ_ˈ	0.343
t	-	0.336
ɛː	eː	0.324
k	-	0.319
s	ʃ	0.317
d	d	0.312
̌	̌	0.31
o	ɐ	0.307
s	sʲ	0.296
̂	-	0.29
d	dʲ	0.29
õː	-	0.277
̌	-	0.276
v	v	0.274
a	eː	0.269
z	ʒ	0.259
i	iː	0.259
s	ɕ	0.253
o	aː	0.252
a	oː	0.249
e	æː	0.247
uː	ɛʊ̯	0.243
o	-	0.243
̌	ˈ	0.241
m	m	0.241
d	-	0.24
õː	ɐ_ŋ	0.228
t	t	0.227
e	ɛ	0.201
̂	̂	0.194
̌	̂	0.172
ɛː	aɪ̯	0.167
o	æː	0.165
ŭ	ʊ_ˈ	0.162
m	nʲ	0.159
i	æɪ̯	0.159
s	s	0.135
̂	ˈ	0.129
ĭ	-	0.128
ˀ	ˈ	0.118
ˀ	-	0.118
ɡ	ʒ	0.118
ŭ	-	0.114
a	uə̯	0.111
ŭ	ʊ	0.103
d	n_d	0.09
t	m_t	0.089
v	-	0.088
ŭ	ɐ	0.072
d	t	0.068
ĭ	ɐ	0.065
