Eastphalian	Eastphalian	probability
ˈɛə̯	ˈɒː	1.0
ˈɔʏ̯	ˈuə̯	1.0
ˈɔ_l	ˈu	1.0
ˈɔ	ˈɔ	1.0
ˈɒː	ˈɒː	1.0
ˈœ_l	w	1.0
ˈøː	ˈoː	1.0
ˈyː	ˈiə̯	1.0
ˈeo̯	ˈoː	1.0
ˈaː	ˈɑ	1.0
ˈaʊ̯	ˈuə̯	1.0
ʃ_#>	s_#>	1.0
ɪ_ç	ç	1.0
ɣ̊	ɦ̥	1.0
ɡ	ɦ	1.0
ə_#>	#>	1.0
ə	ə	1.0
ɒː	iə̯	1.0
ç	-	1.0
z̥	z̥	1.0
z_ə	z̥	1.0
z	z	1.0
w	ʋ	1.0
v̥	ˈyː_v̥	1.0
v_ə	v_ə	1.0
t	t	1.0
r	ɾ	1.0
p	p	1.0
k	k	1.0
f_#>	v̥_#>	1.0
f	v	1.0
d	d	1.0
b	b	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_h	<#	1.0
d̥	d̥	0.92
m	m	0.905
v	ʋ	0.895
n	n	0.879
ɣ	ɦ	0.846
ˈiː	ˈi	0.833
ˈuː	ˈyː	0.8
ˈa	ˈɑ	0.792
ʃ	ʃ_h	0.778
l	l	0.774
ɐ	ɾ	0.75
j	ɦ	0.75
ˈoː	ˈoː	0.714
x	h	0.714
s	s	0.706
ˈeː	ˈeː	0.625
ˈɪ	ˈɪ	0.619
ŋ	ŋ	0.6
ˈɛɪ̯	ˈiə̯	0.591
ˈɛː	-	0.571
ˈʏ	-	0.556
ˈɛ	ˈæ	0.556
ˈʊ	ˈu	0.5
ˈɛ	-	0.444
ˈɛː	ˈeː	0.429
ŋ	ŋ_k	0.4
ˈeː	-	0.375
ˈɛɪ̯	ˈɛː	0.318
ˈʊ	ˈœ	0.3
s	z	0.294
ˈoː	ˈøː	0.286
x	ɦ̥	0.286
j	j	0.25
l	w	0.226
ˈʏ	ˈɪ	0.222
ˈʏ	ˈœ	0.222
ʃ	s	0.222
ˈʊ	ˈuə̯	0.2
ˈuː	ˈu_ʋ	0.2
ˈɪ	ˈɛ	0.19
ˈɪ	-	0.19
ˈiː	-	0.167
ɣ	-	0.154
ɐ	ə_ɾ	0.139
ˈa	ˈæ	0.125
ɐ	ɾ_ə	0.111
v	v	0.105
m	v_n	0.095
ˈɛɪ̯	ˈeː	0.091
ˈa	-	0.083
d̥	-	0.08
n	-	0.061
