Ukrainian	Proto-Slavic	probability
bʲ	b	1.0
i	ɛː	1.0
j	j_ĭ	1.0
kʲ	k	1.0
m	m	1.0
mʲ	m	1.0
n	n	1.0
p	p	1.0
pʲ	p	1.0
rʲ	r	1.0
sʲ	s	1.0
x	x	1.0
z	z	1.0
zʲ	z	1.0
ʊ	õː	1.0
ʋʲ	v	1.0
ʍ	-	1.0
ʦ	ʦ	1.0
ʦʲ	ʦ	1.0
ʧ	ʧ	1.0
ˈa	ǎ	1.0
lʲ	l	0.811
ɔ	e	0.161
ɦ	ɡ_ŭ	0.211
ˈi	ǒ	0.051
ˈɑ	aˀ	0.21
k	k_ŭ	0.2
ˈi	ɛ̌	0.172
ˈi	ɛ̂ː	0.32
ˈɪ	i	0.312
d	d	0.953
lʲ	l_ĭ	0.143
nʲ	ɲ	0.083
t	t	0.813
w	v	0.873
ɛ	-	0.053
ɦ	-	0.103
ʒ	ʒ	0.513
ˈi	-	0.053
ˈɪ	ŭ	0.133
b	b_ĭ	0.34
b	b	0.594
tʲ	t_ĭ	0.814
ʋ	v	0.904
ˈi	ô	0.144
ˈi	ɛˀ	0.164
ˈɑ	ǎ	0.594
ˈɔ	ô	0.234
ˈɪ	ǐ	0.304
b	b_ŭ	0.065
e	i	0.095
e	ŭ	0.885
s	s_ŭ	0.295
ɐ	ẽ	0.385
ˈɑ	ẽ	0.155
ˈɪ	ɨ̌	0.175
tʲ	t	0.186
ɦ	ɡ	0.686
ʋ	l	0.096
ˈi	ôː	0.096
ˈɔ	ŭ̂	0.066
ˈɔ	ĭˀ	0.066
ˈɔ	ôː	0.16
ˈɪ	ɨˀ	0.076
nʲ	n	0.917
t	t_ŭ	0.187
w	-	0.127
ɐ	ẽː	0.067
ɔ	-	0.117
ɛ	e	0.947
ʒ	ʒ_ĭ	0.487
ˈɔ	ŭ̌	0.067
ˈɛ	ê	0.057
ˈɛ	ě	0.157
ˈɛ	ĭ	0.547
k	k	0.748
r	r	0.888
ɔ	o	0.698
ɫ	l	0.978
ˈɔ	ĭ̂	0.088
s	s	0.699
ɐ	aˀ	0.109
ɐ	a	0.439
ˈɔ	ǒ	0.289
ˈɛ	ĭ̌	0.239
