West Flemish	Standard German	probability
ˈɛː	ˈaɪ̯	1.0
ˈɒː_t	ˈa_s	1.0
ˈi	ˈaɪ̯	1.0
ʃ_h	ʃ	1.0
ɾ_ə	ɐ	1.0
ɾ_t	ɐ_ʦ	1.0
ɾ_d̥	ɐ_t	1.0
ɪ	ɪ	1.0
ɦ_ə	k_ə	1.0
ɦ	ɡ	1.0
ə_ɾ	ɐ	1.0
ŋ	ŋ	1.0
ç	ɪ_ç	1.0
w	l	1.0
m	m	1.0
l	l	1.0
iə̯	eː	1.0
b	b	1.0
n	n	0.905
ʋ	v	0.902
ˈɑ	ˈa	0.835
ˈyː	ˈaʊ̯	0.83
v̥	b̥	0.812
v	f	0.772
ˈɪ	ˈɪ	0.765
ˈu	ˈʊ	0.764
z	z	0.749
ˈuə̯	ˈuː	0.723
z̥	z̥	0.654
j	ˈaɪ̯	0.648
ˈɒː	ˈaː	0.577
ɾ	ɐ	0.575
ˈøː	-	0.574
h	x	0.568
d̥	d̥	0.562
s	ʃ	0.559
p	f	0.524
ə	ə	0.507
ˈæ	ˈɛ	0.504
ˈiə̯	ˈiː	0.481
p	p͡f	0.476
d	d	0.458
s	s	0.441
ˈɛ	ˈɪ	0.439
d̥	t	0.438
h	ç	0.432
ə	-	0.43
ˈøː	ˈoː	0.426
ˈɔ	ˈɔ	0.419
d	tʰ	0.405
ˈœ	ˈʏ	0.402
k	kʰ	0.401
ˈœ	ˈɔ	0.397
ɾ	ʁ	0.39
t	s	0.387
ˈoː	ˈɔ	0.376
j	j	0.352
z̥	z_ə	0.346
t	t	0.325
ˈeː	ˈeː	0.294
ˈeː	ˈɛ	0.292
ˈeː	ˈaɪ̯	0.292
ˈɔ	ˈʊ	0.291
ˈæ	ˈɪ	0.289
t	ʦ	0.289
ˈɛ	ˈaɪ̯	0.281
ˈɛ	-	0.281
ˈuə̯	ˈyː	0.277
k	ç	0.265
ˈoː	ˈoː	0.24
ˈɔ	-	0.237
ˈu	ˈa_l	0.236
ˈoː	ˈaʊ̯	0.235
ˈiə̯	ˈɔʏ̯	0.229
v	b	0.228
ˈæ	-	0.207
ˈœ	-	0.201
v̥	-	0.188
ˈɒː	ˈa	0.182
k	k	0.171
ˈyː	ˈɔʏ̯	0.17
ˈɑ	ˈaː	0.165
ˈiə̯	ˈeː	0.164
k	x	0.163
z	ʃ	0.155
ˈoː	ˈøː	0.149
d	t	0.138
ˈɒː	ˈeː	0.136
ˈɪ	-	0.132
ˈiə̯	-	0.126
ˈeː	-	0.121
ˈɒː	ˈɛː	0.106
ˈɪ	ˈʏ	0.103
ʋ	-	0.098
z	-	0.096
n	ə_n	0.095
ə	l	0.064
ˈɔ	ˈœ	0.053
