Proto-Germanic	East Franconian	probability
β_ɑ	m	1.0
ˈɛː	ˈoː	1.0
ˈɑi̯_w	ˈiː	1.0
ˈɑi̯_k	ˈaː_ŋ	1.0
ˈɑ_ŋ	ˈɒ	1.0
ˈɑ_kʷ	ˈɒː	1.0
ˈu_ŋ	ˈʊ	1.0
ˈĩː	ˈaɪ̯	1.0
ˈiː	ˈaɪ̯	1.0
ˈiu̯	ˈaɪ̯	1.0
ˈi_ŋ	ˈɪ	1.0
ˈi_j	ˈaɪ̯	1.0
ˈeː	ˈiː	1.0
ˈeu̯	ˈiː	1.0
ɸ	f	1.0
ɣ_j	ŋ	1.0
ɡʷ	-	1.0
ɡ	ŋ	1.0
ɛː	ɐ	1.0
ɔːu̯	-	1.0
ɑː	-	1.0
ɑi̯	ˈɒ_n	1.0
ɑ_l	l	1.0
ð_ɛː	ɾ	1.0
ð	d̥	1.0
z	-	1.0
x_t	ç_d̥	1.0
x_s	ɡ̊_s	1.0
x_l	l	1.0
wː	ˈaɪ̯	1.0
u	-	1.0
t_ɑ	z̥	1.0
t_s	s	1.0
s_t	ʃ_d̥	1.0
s_l	ʃ_l	1.0
s_k	ʃ	1.0
r_ɔː	ɐ	1.0
r_ɑ	ɐ	1.0
r_u	ɐ	1.0
r_t	ɐ_ʦ	1.0
r_n	ɐ_n	1.0
pː	b̥͡v̥	1.0
nː	n	1.0
n_θ	n	1.0
n_s	n_s	1.0
n_d	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_d	l_d̥	1.0
l	l	1.0
kʷ	-	1.0
k_ˈɑ	ˈa	1.0
k_i	x	1.0
jː	ˈɛː	1.0
iː	-	1.0
i	-	1.0
e_x	eː	1.0
e	ɐ	1.0
d	d̥	1.0
n	n	0.932
b	b̥	0.921
ɔː	-	0.83
ˈuː	ˈaʊ̯	0.822
j	-	0.79
w	v	0.784
ˈi	ˈɪ	0.756
ˈɑi̯	ˈaː	0.723
θ	d̥	0.692
ɣ_ɑ	ŋ	0.686
ɔːː	-	0.667
ɔ̃ː	n	0.666
p	f	0.656
ɑ_n	n	0.644
k	ç	0.611
x	h	0.604
xʷ	v	0.56
r	ɐ	0.549
s	s	0.538
ˈɔː	ˈuː	0.535
β	b̥	0.511
ɑ	-	0.507
ˈe	ˈɛ	0.503
β	β	0.489
ˈɑu̯	ˈaː	0.473
ˈɑ	ˈɒ	0.454
r	r	0.451
ɣ	ɡ̊	0.449
xʷ	-	0.44
k	-	0.389
ˈu	ˈʊ	0.372
ɑ	ɐ	0.372
ˈɑu̯	ˈuː	0.369
ˈu	ˈɔ	0.364
ɑ_n	a	0.356
ɔ̃ː	a	0.334
ɔːː	a	0.333
ɣ_ɑ	ɣ̊	0.314
t	ʦ	0.314
t	s	0.31
θ	-	0.308
ˈɑ	ˈoː	0.298
t	d̥	0.298
ˈɑi̯	-	0.277
ˈɔː	ˈiː	0.247
x	-	0.228
s	ʃ	0.222
ˈɔː	-	0.218
w	-	0.216
ɣ	ç	0.21
ˈɑ	ˈɛ	0.191
ˈu	ˈɪ	0.191
ɣ	ŋ	0.19
s	z̥	0.187
p	b̥͡v̥	0.187
ˈuː	-	0.178
ɔː	ɐ	0.17
x	x	0.168
ˈe	ˈiː	0.164
ˈɑu̯	ˈeː	0.158
p	v̥	0.157
ˈe	ˈeː	0.139
j	n	0.132
ˈi	ˈiː	0.131
ɑ	i	0.121
ˈe	-	0.114
ɣ	ɣ̊	0.112
ˈe	ˈɪ	0.079
b	-	0.079
t	z̥	0.078
j	j	0.078
ˈu	ˈuː	0.074
n	-	0.068
ˈɑ	ˈɔ	0.057
ˈi	ˈaɪ̯	0.057
ˈi	-	0.057
s	-	0.053
