Yiddish	Yiddish	probability
ˈɪ_ʀ	ˈiː_ʁ	1.0
ˈɪ_ɫ	ˈi_l	1.0
ˈɔ_ʀ	ˈu_ʁ	1.0
ˈɔ_ɡ	ˈaː_ʋ	1.0
ˈaɪ̯_ə	ˈiː	1.0
ˈa_ʀ	ʁ	1.0
ʧ	ʃ	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ʀ	ʁ	1.0
ɫ_ˈɪ	l_ˈiː	1.0
ɫ	l	1.0
ɪ_k	i	1.0
ɡ_ə	ə	1.0
ɡ_n	j_ə	1.0
ɡ_#>	#>	1.0
ɡ	ɡ̊	1.0
ə_n	ə	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
n_t	n_d̥	1.0
m	m	1.0
j	j	1.0
h	h	1.0
f_n	f_ə	1.0
f	f	1.0
d_z	z̥	1.0
d	d̥	1.0
a	ə	1.0
<#_ʀ	<#_ʁ	1.0
b	b̥	0.905
s	s	0.895
ˈa	ˈɒ	0.88
v	ʋ	0.88
t	t	0.809
n	n	0.762
ˈɪ	ˈi	0.72
ə	ə	0.72
z	s	0.667
p	p͡f	0.667
k	kʰ	0.632
ˈɛɪ̯	ˈəi̯	0.615
ˈʊ	ˈu	0.538
χ	x	0.5
ˈaɪ̯	ˈiː	0.467
ˈɛ	ˈe	0.385
k	k	0.368
χ	ʃ	0.357
ˈaɪ̯	ˈi	0.333
z	z̥	0.333
p	p	0.333
ˈɔɪ̯	ˈyː	0.32
ˈʊ	ˈʊː	0.308
ˈɔɪ̯	ˈoː	0.28
ə	-	0.28
ˈɔ	ˈoː	0.261
ˈɔ	ˈo	0.261
n	ə	0.238
ˈɛɪ̯	ˈeː	0.231
ˈɔ	ˈɒː	0.217
ˈɪ	ˈiː	0.2
ˈaɪ̯	ˈei̯	0.2
ˈɛ	ˈæː	0.192
t	d̥	0.191
ˈɔ	ˈɒ	0.174
ˈɔɪ̯	ˈʊː	0.16
ˈɛɪ̯	ˈei̯	0.154
ˈɛ	ˈæ	0.154
χ	i_ʃ	0.143
ˈa	ˈɒː	0.12
v	w	0.12
ˈɛ	ˈeː	0.115
s	ʃ	0.105
b	ʋ	0.095
ˈɔ	ˈu	0.087
ˈɪ	ˈu	0.08
ˈɔɪ̯	-	0.08
ˈʊ	ˈøː	0.077
ˈʊ	ˈo	0.077
ˈɛ	ˈɛ	0.077
ˈɛ	-	0.077
